model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_base_seed,calibration_path_used_in_kernel,heldout_path_used_in_prediction,heldout_events_used_in_calibration,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
radial_recoil_markov_surrogate,1.0,0.0,0.58,20.0,20.0,1.0,121249.0,0.15990108603347156,0.16660841604263024,0.04025805039429986,0.549636558924069,0.5385549106326213,0.011081648291447754,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90159511313364,0.8977103424506039,0.003884770683036165,0.6813516616739878,0.6706091522002315,0.010742509473756212,0.3444863932705001,0.3302563514537057,0.014230041816794436
radial_recoil_markov_surrogate,1.0,0.0,0.58,100.0,20.0,5.0,108141.0,0.6199099230510379,0.6244853324897498,0.0073266883954988815,0.31903545961101276,0.2825033492140283,0.03653211039698445,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6772691330995508,0.6748742076596806,0.002394925439870188,0.2554240325150389,0.25770578929215066,0.002281756777111732,0.03277508186777066,0.03757140173250425,0.0047963198647335906
radial_recoil_markov_surrogate,1.0,0.0,0.58,200.0,20.0,10.0,91756.0,1.2054428816362925,1.1970958003749623,0.006972776329777108,0.23372420572500996,0.17003137790337108,0.06369282782163888,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4762715725052917,0.4733264732392782,0.0029450992660134956,0.07899797995000972,0.07641999280253814,0.0025779871474715804,0.003218817757081484,0.0035374896626027496,0.0003186719055212656
radial_recoil_markov_surrogate,1.0,0.0,0.58,400.0,20.0,20.0,58986.0,2.34961156944255,2.302522122507715,0.020451246254932443,0.1680046947364724,0.08241548506967367,0.08558920966679873,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24757147481116046,0.2367746362454057,0.010796838565754752,0.010288589743932345,0.005007075510426834,0.005281514233505511,-0.0010084047736158286,-0.0015893870932790705,0.0005809823196632419
radial_recoil_markov_surrogate,1.0,0.0,0.58,600.0,20.0,30.0,26216.0,3.5142823415209627,3.5092386999443375,0.0014372466531573647,0.12066044643051499,0.04880248109629837,0.07185796533421662,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12956942158532014,0.10971466137823888,0.019854760207081268,0.0037748682176662967,0.003664696471714173,0.00011017174595212348,0.004174707917162775,-0.002099056579231919,0.006273764496394694
radial_recoil_markov_surrogate,1.0,1.0,0.58,20.0,20.0,1.0,121249.0,0.1612361872765469,0.16660841604263024,0.032244642219686814,0.5545973275412766,0.5385549106326213,0.016042416908655266,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008384546445182,0.8977103424506039,0.0031281121939142897,0.6794466286550626,0.6706091522002315,0.008837476454831017,0.34336349173797087,0.3302563514537057,0.013107140284265184
radial_recoil_markov_surrogate,1.0,1.0,0.58,100.0,20.0,5.0,108141.0,0.6278183476027731,0.6244853324897498,0.005337219210153288,0.3224814980437041,0.2825033492140283,0.039978148829675764,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6741500884880701,0.6748742076596806,0.0007241191716105266,0.2505273251852497,0.25770578929215066,0.007178464106900928,0.028999500381800845,0.03757140173250425,0.008571901350703404
radial_recoil_markov_surrogate,1.0,1.0,0.58,200.0,20.0,10.0,91756.0,1.2247393158906272,1.1970958003749623,0.02309214977364915,0.23128903372555176,0.17003137790337108,0.06125765582218068,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470804688329963,0.4733264732392782,0.0025217849093152056,0.07644940628497675,0.07641999280253814,2.9413482438608862e-05,0.0034222275971255794,0.0035374896626027496,0.00011526206547717022
radial_recoil_markov_surrogate,1.0,1.0,0.58,400.0,20.0,20.0,58986.0,2.4275924916126934,2.302522122507715,0.05431885664957803,0.1716756799052015,0.08241548506967367,0.08926019483552783,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352878864467655,0.2367746362454057,0.001486749798640219,0.009687218451568141,0.005007075510426834,0.004680142941141307,0.0026683682079518597,-0.0015893870932790705,0.00425775530123093
radial_recoil_markov_surrogate,1.0,1.0,0.58,600.0,20.0,30.0,26216.0,3.660882084591153,3.5092386999443375,0.0432126160723183,0.17062458316059503,0.04880248109629837,0.12182210206429667,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12229662403181632,0.10971466137823888,0.012581962653577444,-0.0015010696979301378,0.003664696471714173,0.005165766169644311,0.0020799168056149673,-0.002099056579231919,0.004178973384846886
