metric,cooling_direction,high_temperature_mean,high_temperature_ci95_low,high_temperature_ci95_high,low_temperature_mean,low_temperature_ci95_low,low_temperature_ci95_high,effect_ratio,directional_ci95_separated,trend_pass,independent_replicates_per_temperature,thermodynamic_claim_allowed
event_rate,decrease,0.02248391821788221,0.022390744697014235,0.022577091738750187,0.005154755365679992,0.005030739724616566,0.005278771006743418,4.361781815598583,True,True,5,False
exchange_mean,increase,42.5715492804109,42.43049199609818,42.712606564723615,160.93515774614963,156.95703130634217,164.91328418595708,3.7803453354750984,True,True,5,False
stationary_persistence_mean,increase,41.79804144332029,41.56486792543955,42.03121496120102,167.96463586470767,163.12500329220714,172.8042684372082,4.018481011663526,True,True,5,False
persistence_exchange_ratio,increase,0.9818273515414259,0.9781261374534876,0.9855285656293641,1.0435869106482634,1.035828048031987,1.0513457732645397,1.0629026671643214,True,True,5,False
count_fano,increase,0.9974047017005521,0.9687941369934796,1.0260152664076245,1.1776375553809788,1.161577414842593,1.1936976959193646,1.180701828829495,True,True,5,False
correlated_diffusion,decrease,0.001334592365068477,0.0013204917369113627,0.0013486929932255915,0.0002779904475865755,0.0002731194622683317,0.0002828614329048193,4.800856923879877,True,True,5,False
