replicate,temperature,lag,block_size,block_count,calibration_jump_count,raw_calibration_jump_msd,raw_calibration_jump_fourth_moment,calibration_green_kubo_factor,event_correlation_lag_count,correlated_jump_kernel_maximum_count,correlated_jump_kernel_minimum_samples,count_tail_probability,predicted_event_msd,predicted_event_fourth_moment,predicted_mean_count,predicted_count_variance,heldout_events_used_in_prediction,macro_fit_parameter_count,jump_direction_correlation_included,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_event_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_event_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_event_fs_k7p25,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error
1.0,0.45,20.0,20.0,1.0,82267.0,0.06685790296787428,0.017188045710302895,0.4331490099658668,8.0,60.0,500.0,0.0,0.006061677104742978,0.0018395919819884999,0.10001026968887317,0.13510284775819395,0.0,0.0,1.0,0.0,0.9720452360811461,0.9742726065504118,0.002227370469265688,0.9961888155493978,0.895697967567467,0.9031194881740169,0.007421520606549881,0.9869354035484145,0.7116051454127655,0.7273620752980499,0.01575692988528432,0.9694851476821855,0.04301633635864755,0.039439034265083064,0.09070460674874115,0.8287191636611133,0.6894572448102572,0.13926191885085615
1.0,0.45,100.0,20.0,5.0,82267.0,0.06685790296787428,0.017188045710302895,0.4331490099658668,8.0,60.0,500.0,0.0,0.02502299218098221,0.010786873761004925,0.5000513484443658,1.156791031020882,0.0,0.0,1.0,0.0,0.957325893755065,0.9637263303218477,0.006400436566782686,0.9846358143579843,0.8501460610042978,0.8712844740845151,0.021138413080217355,0.9500402842115573,0.6269552751840575,0.6701586799370863,0.04320340475302886,0.8921883203790417,0.06740214542683207,0.0570676716703697,0.18109156119344827,1.4122834571919842,1.6297339342658397,0.21745047707385545
1.0,0.45,200.0,20.0,10.0,82267.0,0.06685790296787428,0.017188045710302895,0.4331490099658668,8.0,60.0,500.0,3.3306690738754696e-16,0.04536742984191994,0.024332048055114724,1.0001026968887317,3.150574185943224,0.0,0.0,1.0,0.0,0.9440152662078146,0.9531991465279716,0.009183880320156934,0.9726738667658941,0.8126537094477415,0.8424536039827798,0.029799894535038285,0.9145807634702977,0.566749873764224,0.6251232912663965,0.05837341750217251,0.8249698635796103,0.0904203145283982,0.07543971565197483,0.1985770856498612,1.6056695758952992,2.0528096750212144,0.4471400991259151
1.0,0.45,500.0,20.0,25.0,82267.0,0.06685790296787428,0.017188045710302895,0.4331490099658668,8.0,60.0,500.0,8.881784197001252e-16,0.10037891035394392,0.07622366466883869,2.5002567422218296,12.159494958165492,0.0,0.0,1.0,0.0,0.9121980207053402,0.9252086699236458,0.013010649218305637,0.941867817918848,0.7320485524674663,0.7741688168233672,0.042120264355900994,0.8307940751405608,0.4549701650320973,0.533395281820343,0.07842511678824571,0.6805364765852232,0.14858743637006464,0.12726889615088294,0.16750785827440207,1.6424150701339215,2.240207131422164,0.5977920612882426
1.0,0.45,1000.0,20.0,50.0,82267.0,0.06685790296787428,0.017188045710302895,0.4331490099658668,8.0,60.0,500.0,7.970069049179074e-12,0.18209930895989765,0.1880714718411954,5.00051348444366,33.19936781629646,0.0,0.0,1.0,0.0,0.8700221357124701,0.8825336715723144,0.012511535859844325,0.8992884078169925,0.6392473939519536,0.6840225543370759,0.0447751603851223,0.7286321882285822,0.34888487729229384,0.43196745142274323,0.0830825741304494,0.5295390972792874,0.2319198753443928,0.21371648432894896,0.08517541860470379,1.492418308691593,2.035011317785304,0.5425930090937112
1.0,0.45,2000.0,20.0,100.0,82267.0,0.06685790296787428,0.017188045710302895,0.4331490099658668,8.0,60.0,500.0,0.00039789654352295756,0.32969466015399773,0.47611830060542304,10.001026968887306,84.12459236475398,0.0,0.0,1.0,0.0,0.8019498366625697,0.8061233874084176,0.004173550745847909,0.8290083727094808,0.5142326590666453,0.5436221107653332,0.029389451698687896,0.5863887119011965,0.2373103997842083,0.29754222992878293,0.060231830144574644,0.36083373446440214,0.3796601474869077,0.38494087781746295,0.013718289313662702,1.231757263257105,1.5320813966552245,0.3003241333981195
1.0,0.45,3000.0,20.0,150.0,82267.0,0.06685790296787428,0.017188045710302895,0.4331490099658668,8.0,60.0,500.0,0.007953741833420791,0.455901360962405,0.7839373631551018,15.001540453330943,138.18088519226995,0.0,0.0,1.0,0.0,0.7418375747472343,0.7425593344166428,0.0007217596694084616,0.7665240758890335,0.4252600769628903,0.44897180267658227,0.023711725713691956,0.4841214716013179,0.1745936300625488,0.22221602781950803,0.04762239775695923,0.26427290076373255,0.505177433777808,0.5507382500974113,0.08272680590379322,1.0307179067274195,1.3301724324025965,0.29945452567517705
2.0,0.45,20.0,20.0,1.0,82671.0,0.06696280252995465,0.01739188491334692,0.46063840885780605,8.0,60.0,500.0,0.0,0.006113906203564939,0.0018908200526704673,0.10049965596231022,0.13618000248550524,0.0,0.0,1.0,0.0,0.9720907267326905,0.975085284203826,0.0029945574711355283,0.996159353719208,0.8958682049054774,0.9059230562568693,0.010054851351391947,0.9868384409372717,0.7120845987675491,0.7335770580014349,0.021492459233885763,0.9692295163070186,0.04295045522315455,0.038152024480352674,0.12577132689964965,0.8416841950445624,0.6641054641430317,0.17757873090153065
2.0,0.45,100.0,20.0,5.0,82671.0,0.06696280252995465,0.01739188491334692,0.46063840885780605,8.0,60.0,500.0,3.3306690738754696e-16,0.025376726074929044,0.011198462577451246,0.5024982798115512,1.1672537869046642,0.0,0.0,1.0,0.0,0.9570933712830095,0.9663158180281514,0.009222446745141832,0.9844369581265621,0.8494639604399621,0.8792594732386941,0.02979551279873205,0.9494339176387343,0.6257592406685959,0.6847219017867405,0.05896266111814463,0.8909634806804423,0.06781716257823595,0.052775278088095054,0.2850176263407318,1.445794569725686,1.6163795842344126,0.17058501450872665
2.0,0.45,200.0,20.0,10.0,82671.0,0.06696280252995465,0.01739188491334692,0.46063840885780605,8.0,60.0,500.0,4.440892098500626e-16,0.046225377283589233,0.025415695107444364,1.0049965596231023,3.171093785186189,0.0,0.0,1.0,0.0,0.9433465565867954,0.9579937366175421,0.01464718003074661,0.972185388530368,0.810722494534158,0.8562828584879376,0.0455603639537796,0.9131100135007993,0.5637758921678195,0.6480499865399985,0.08427409437217892,0.8224513939068532,0.091596610496983,0.06724485325845257,0.3621356291006472,1.6365344663116543,2.1053026915279753,0.468768225216321
