replicate,temperature,block_size,count_value,heldout_probability,single_clock_probability,two_clock_probability,hmm_probability,poisson_probability
1.0,0.58,20.0,0.0,0.7478247243276234,0.7603064417728332,0.7602838472156241,0.7573735005283475,0.7524172901916414
1.0,0.58,20.0,1.0,0.20972544103456522,0.20080225023565634,0.20086145466234423,0.1992073471784529,0.21403578384976293
1.0,0.58,20.0,2.0,0.03717144058920074,0.033701678524205594,0.03365770668433111,0.03756496650535915,0.030442759201157014
1.0,0.58,20.0,3.0,0.004866019513562999,0.004574819282994297,0.004577120518831403,0.005241388629990845,0.002886625065243443
1.0,0.58,20.0,4.0,0.0003793845722438948,0.0005476024257469873,0.0005513546831756219,0.0005608838248647865,0.00020528537374599293
1.0,0.58,20.0,5.0,3.298996280381694e-05,6.02757294219896e-05,6.134273816672704e-05,4.822965242944786e-05,1.167926799540292e-05
1.0,0.58,50.0,0.0,0.5071711931644797,0.5270364694295829,0.5265819969494142,0.5224166156972633,0.494493466344354
1.0,0.58,50.0,1.0,0.3092462618248398,0.30790232092819025,0.30885602182841254,0.3006756141238898,0.34823285181520003
1.0,0.58,50.0,2.0,0.13077001322347676,0.11617542611592876,0.11582317208509643,0.12414239298255111,0.12261650288307359
1.0,0.58,50.0,3.0,0.04048418268741735,0.03582214900142169,0.0356120385324057,0.04006559432057928,0.028783052682334623
1.0,0.58,50.0,4.0,0.010253280439426304,0.00981031388423636,0.009802977149383628,0.010181004564033378,0.005067409987039443
1.0,0.58,50.0,5.0,0.0017495676940290916,0.002483691829423062,0.0025174913871258394,0.0020966586149617716,0.000713715650946424
1.0,0.58,50.0,6.0,0.00022378191435255823,0.0005945412776973,0.0006167342067422125,0.0003610163722790943,8.376896542624153e-05
1.0,0.58,50.0,7.0,8.137524158274845e-05,0.0001364624252557054,0.00014604713788997234,5.332681688281047e-05,8.42741330541807e-06
1.0,0.58,50.0,8.0,2.0343810395687112e-05,3.031324699906507e-05,3.3714111104086004e-05,6.893904087112629e-06,7.418455370266298e-07
2.0,0.58,20.0,0.0,0.744641192917055,0.7575698326185658,0.7575698039033204,0.7573466941274358,0.7504031854890542
2.0,0.58,20.0,1.0,0.2112594743049427,0.20344492967390312,0.2034450039103176,0.1992206762385192,0.21547424973391047
2.0,0.58,20.0,2.0,0.03887867116429826,0.03390496312750819,0.033904909861340364,0.03763088293790095,0.030936137529941805
2.0,0.58,20.0,3.0,0.004676327227441051,0.0044988225614079275,0.004498823579142814,0.005202452547521283,0.0029610486526141905
2.0,0.58,20.0,4.0,0.0005360868955620252,0.0005205438148951513,0.0005205486452432069,0.0005492534154491497,0.00021256230956423488
2.0,0.58,20.0,5.0,8.247490700954234e-06,5.492630658267117e-05,5.492783428945287e-05,4.6542042192247406e-05,1.2207225411819319e-05
2.0,0.58,50.0,0.0,0.503448275862069,0.5204949692886087,0.520487242360107,0.5232274429451748,0.49068544962544375
