block_index,diffusion,alpha_relaxation_time,diffusion_alpha_product,ngp_peak,ngp_peak_time,overlap_chi4_peak,overlap_chi4_peak_time,temperature,block_size,diffusion_lag
0.0,0.0009135332389402605,16.909115356549464,0.015447038919283129,0.5534841012279299,16.0,4.729267405089148,32.0,0.58,2999.0,1024.0
1.0,0.0009607823687524732,16.565649265364602,0.01591598374109967,0.5342898675455685,16.0,4.471174203277533,16.0,0.58,2999.0,1024.0
2.0,0.0008970016011965545,17.703281781285217,0.015879872104246632,0.559601097184744,16.0,5.204502240537618,32.0,0.58,2999.0,1024.0
3.0,0.000905499410609821,17.338211625312972,0.015699740407749244,0.5636941876893622,16.0,6.747392362476036,32.0,0.58,2999.0,1024.0
4.0,0.0008841034522559053,17.649482576757666,0.015603968476641904,0.5623819165283583,16.0,4.6090089369884275,16.0,0.58,2999.0,1024.0
5.0,0.0009134947426309368,17.366200970496152,0.015863933286020506,0.5581469292151002,16.0,5.535081631376134,16.0,0.58,2999.0,1024.0
6.0,0.0008746761103381858,17.756103662720708,0.015530839686470163,0.5609135368786555,16.0,5.1567178681432555,32.0,0.58,2999.0,1024.0
7.0,0.0009394498995897227,16.610462596852326,0.015604697418751761,0.5423960561431442,16.0,5.7600905081922065,32.0,0.58,2999.0,1024.0
8.0,0.0008533473473663519,17.368502440365543,0.014821365485211945,0.5526440261410575,16.0,7.424413539552596,32.0,0.58,2999.0,1024.0
9.0,0.0009481197693222361,16.644423435328843,0.015780906908005602,0.5356067258308459,16.0,5.790813154484486,32.0,0.58,2999.0,1024.0
