replicate,threshold_scales,dominant_mechanism,dominant_mechanism_stable,gamma_shape_misspecification_all_thresholds,temporal_waiting_memory_all_thresholds,temporal_waiting_memory_dominant_any_threshold,persistent_particle_environment_all_thresholds,maximum_sequence_shuffle_relative_error,maximum_median_sequence_shuffle_relative_error,long_window_shuffle_failure_any_threshold,long_window_shuffle_failure_all_thresholds,minimum_temporal_ordering_contribution_fraction,minimum_particle_identity_contribution_fraction
1.0,0.9;1;1.1,mixed_particle_environment_and_event_memory,1.0,1.0,1.0,0.0,1.0,0.1971491784740136,0.10909418571685348,1.0,0.0,0.07244208930095337,0.092655882547959
2.0,0.9;1;1.1,mixed_particle_environment_and_event_memory,1.0,1.0,1.0,0.0,1.0,0.18804489926926982,0.10551355779771854,1.0,0.0,0.07589078244369309,0.08748488896548952
3.0,0.9;1;1.1,mixed_particle_environment_and_event_memory,1.0,1.0,1.0,0.0,1.0,0.18828466226803442,0.11178191462078668,1.0,0.0,0.07283454598798127,0.0885761369784323
