temperature,model,segment_length,tau_L,replicate_1_full_path_baseline,replicate_2_full_path_baseline,replicate_3_full_path_baseline,replicate_1_paired_excess,replicate_2_paired_excess,replicate_3_paired_excess,replicate_1_excess,replicate_2_excess,replicate_3_excess,replicate_first_mean_paired_excess,mean_paired_excess_score,replicate_first_standard_error,replicate_first_t95_ci_low,replicate_first_t95_ci_high,paired_excess_t95_ci_low,paired_excess_t95_ci_high,paired_degradation_identified,independent_replicate_count,replicate_count,full_path_baseline_max_model_difference,ci95_method,post_run_exploratory,global_source_segment_schedule_preserved,paired_excess_equivalence_claim_allowed,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
0.45,within_particle_segment_shuffle,1.0,20.0,0.8995207301161963,2.0953229763876298,3.323585313166641,21.097687034077772,21.40597217586854,17.735481022906335,21.097687034077772,21.40597217586854,17.735481022906335,20.079713410950884,20.079713410950884,1.1754898339316568,15.02198886800189,25.137437953899877,15.02198886800189,25.137437953899877,1.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
0.45,within_particle_segment_shuffle,2.0,40.0,0.8995207301161963,2.0953229763876298,3.323585313166641,18.17594971372724,18.532007983512266,14.289533496578754,18.17594971372724,18.532007983512266,14.289533496578754,16.999163731272755,16.999163731272755,1.3587085019049607,11.153112886397718,22.845214576147793,11.153112886397718,22.845214576147793,1.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
0.45,within_particle_segment_shuffle,5.0,100.0,0.8995207301161963,2.0953229763876298,3.323585313166641,12.248944681099346,12.757609872683231,8.094779635677437,12.248944681099346,12.757609872683231,8.094779635677437,11.03377806315334,11.03377806315334,1.4768173986438575,4.67954565129788,17.3880104750088,4.67954565129788,17.3880104750088,1.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
0.45,within_particle_segment_shuffle,10.0,200.0,0.8995207301161963,2.0953229763876298,3.323585313166641,9.536989355200703,10.146301302060516,4.887464281426826,9.536989355200703,10.146301302060516,4.887464281426826,8.190251646229347,8.190251646229347,1.660734631116695,1.0446872519969057,15.33581604046179,1.0446872519969057,15.33581604046179,1.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
0.45,within_particle_segment_shuffle,25.0,500.0,0.8995207301161963,2.0953229763876298,3.323585313166641,5.269897805460916,5.742175619670745,0.46431180555267426,5.269897805460916,5.742175619670745,0.46431180555267426,3.8254617435614446,3.8254617435614446,1.6860959109513884,-3.4292234305857847,11.080146917708674,-3.4292234305857847,11.080146917708674,0.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
0.45,within_particle_segment_shuffle,50.0,1000.0,0.8995207301161963,2.0953229763876298,3.323585313166641,2.6569166593925932,3.6429259462406343,-2.404836266539052,2.6569166593925932,3.6429259462406343,-2.404836266539052,1.298335446364725,1.298335446364725,1.8733360732372313,-6.7619791231907165,9.358650015920166,-6.7619791231907165,9.358650015920166,0.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
0.45,within_particle_segment_shuffle,125.0,2500.0,0.8995207301161963,2.0953229763876298,3.323585313166641,1.3296706950594936,2.9769808785395293,-1.7891345763044566,1.3296706950594936,2.9769808785395293,-1.7891345763044566,0.8391723324315222,0.8391723324315222,1.3975461369881155,-5.17398336905735,6.852328033920394,-5.17398336905735,6.852328033920394,0.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
0.45,cross_particle_segment_splice,1.0,20.0,0.8995207301161963,2.0953229763876298,3.323585313166641,23.485051300284553,23.539274600650707,19.82909196175722,23.485051300284553,23.539274600650707,19.82909196175722,22.284472620897493,22.284472620897493,1.2277901120218306,17.001718143648695,27.56722709814629,17.001718143648695,27.56722709814629,1.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
0.45,cross_particle_segment_splice,2.0,40.0,0.8995207301161963,2.0953229763876298,3.323585313166641,20.240299894330363,20.60888328500328,16.032519955633457,20.240299894330363,20.60888328500328,16.032519955633457,18.9605677116557,18.9605677116557,1.4678852333805659,12.644767305054359,25.27636811825704,12.644767305054359,25.27636811825704,1.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
0.45,cross_particle_segment_splice,5.0,100.0,0.8995207301161963,2.0953229763876298,3.323585313166641,15.347124437155925,16.37662585947062,10.293370533666243,15.347124437155925,16.37662585947062,10.293370533666243,14.00570694343093,14.00570694343093,1.8798093439748456,5.9175401378648385,22.09387374899702,5.9175401378648385,22.09387374899702,1.0,3.0,3.0,1.887379141862766e-15,student_t_paired_independent_restarts_df2,1.0,1.0,0.0,0.0,0.0,0.0
