temperature,wave_number,tested_lag_count,contiguous_valid_lag_count,longest_contiguous_valid_lag,first_invalid_lag,all_tested_lags_valid,maximum_absolute_error,unit_interval_failure_count,error_tolerance,observed_msd_used,observed_ngp_used,heldout_prediction_claim_allowed,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
0.58,2.0,7.0,7.0,600.0,-1.0,1.0,0.003183954266170519,0.0,0.03,1.0,1.0,0.0,0.0,0.0,0.0
0.58,4.0,7.0,7.0,600.0,-1.0,1.0,0.01968285068742348,0.0,0.03,1.0,1.0,0.0,0.0,0.0,0.0
0.58,7.25,7.0,0.0,0.0,10.0,0.0,1.330535118611184,2.0,0.03,1.0,1.0,0.0,0.0,0.0,0.0
