record_type,persistence_exchange_ratio,persistence_mean,exchange_mean,diffusion_coefficient,tau_alpha,stokes_einstein_product,late_time,late_ngp,time,ngp,alpha_decay
summary,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,80.0,0.01206525084641428,nan,nan,nan
summary,2.0,2.0,1.0,0.35,4.120501633085027,1.4421755715797593,160.0,0.006294360053571047,nan,nan,nan
summary,4.0,4.0,1.0,0.35,6.29523721557856,2.203333025452496,320.0,0.0032742665153918504,nan,nan,nan
summary,8.0,8.0,1.0,0.35,10.300386195028285,3.6051351682598995,640.0,0.001729194212431996,nan,nan,nan
summary,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,960.0,0.0012088813331420799,nan,nan,nan
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.03,0.5721284068633921,0.9896959890999123
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.03117897004537877,0.5532489583070292,0.9892932271773062
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.03240427243635424,0.535093536163327,0.98887481080701
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.03367772798784608,0.5176351751494043,0.9884401386257049
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.03500122907098224,0.5008479468013353,0.9879885867366383
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.03637674242518654,0.48470692100495194,0.9875195079110214
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.037806312080778365,0.46918812901283274,0.9870322307648648
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.0392920623964277,0.45426852789243555,0.9865260589108183
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.0408362012159791,0.4399259663524198,0.9860002700846008
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.042441023149335746,0.4261391518961991,0.9854541152456363
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.044108912982278904,0.4128876192536691,0.9848868176515406
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.045842349220289784,0.40015170004388495,0.984297571906141
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.04764390777164028,0.38791249362319946,0.9836855429807512
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.049516265775225374,0.37615183907504146,0.9830498652084717
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.05146220557882556,0.3648522882990795,0.9823896412513368
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.053484618873710914,0.35399708015902076,0.9817039410401887
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.05558651099173109,0.34357011564969575,0.9809918006872261
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.057771005371276725,0.333555934045416,0.9802522213712488
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.06004134819874847,0.32393968999282685,0.9794841681956981
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.062400913232431215,0.31470713151263324,0.978686569019689
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.06485320681594176,0.3058445788756341,0.9778583132623285
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.06740187308870009,0.2973389043194741,0.9769982506807217
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.07005069940116676,0.2891775125733852,0.9761051901221968
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.07280362194289375,0.2813483221589559,0.9751778982514092
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.07566473159175216,0.2738397474356197,0.9742150982531329
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.07863827999302886,0.2666406813600932,0.9732154685117105
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.08172868587742524,0.2597404789294032,0.9721776412683092
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.08494054162734713,0.2531289412774232,0.9711002012573211
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.0882786201012435,0.24679630039497044,0.9699816843234575
curve,1.0,1.0,1.0,0.35,2.8964617096967666,1.0137615983938684,nan,nan,0.09174788172613478,0.24073320444349444,0.968820576021315
