record,model,held_clone_index,history_length,history_time_tau,slow_mode_count,state_mode_count,captured_force_history_variance_fraction,trajectory_sha256,lag_frames,observed_msd,predicted_msd,observed_ngp,predicted_ngp,wave_number,observed_fs,predicted_fs,fs_scaled_absolute_error
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,32.0,0.028119457721418897,0.022998269328673177,0.08959249966470417,0.26941214113966017,7.25,0.7834184638616619,0.8219570319139775,0.049192825839653474
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,64.0,0.03633832572436463,0.04149613483102314,0.13201521259695448,0.14565093520149897,1.0,0.9939640458149674,0.9931113137477863,0.0008579103748989263
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,64.0,0.03633832572436463,0.04149613483102314,0.13201521259695448,0.14565093520149897,3.0,0.9471141633970025,0.9399146103891334,0.007601568307295261
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,64.0,0.03633832572436463,0.04149613483102314,0.13201521259695448,0.14565093520149897,7.25,0.7314194978022237,0.7012034339180726,0.04131153732563135
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,128.0,0.04304096716247475,0.07668721862387891,0.15329296943182302,0.0779680980141002,1.0,0.9928553657749642,0.9873060844365339,0.005589214229706978
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,128.0,0.04304096716247475,0.07668721862387891,0.15329296943182302,0.0779680980141002,3.0,0.9377182989743547,0.8917707235378594,0.04899933752679376
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,128.0,0.04304096716247475,0.07668721862387891,0.15329296943182302,0.0779680980141002,7.25,0.6913636184215047,0.5191418627471559,0.24910445254200536
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,256.0,0.053666678270374815,0.14769616368367625,0.16977451969244428,0.046286512151784365,1.0,0.9910998381426172,0.9756965489737034,0.015541612031518926
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,256.0,0.053666678270374815,0.14769616368367625,0.16977451969244428,0.046286512151784365,3.0,0.9229886666167816,0.8021015739864271,0.13097353954893787
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,256.0,0.053666678270374815,0.14769616368367625,0.16977451969244428,0.046286512151784365,7.25,0.6328132871197634,0.28445725411568007,0.550487861260971
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,400.0,0.06701836938024032,0.22746884157662964,0.24582412043589308,0.045201824181233086,1.0,0.9889049829261702,0.962820122312966,0.026377519644019933
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,400.0,0.06701836938024032,0.22746884157662964,0.24582412043589308,0.045201824181233086,3.0,0.9052987582069099,0.7122348258729068,0.21325991070218336
held_curve,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,400.0,0.06701836938024032,0.22746884157662964,0.24582412043589308,0.045201824181233086,7.25,0.5765793778972775,0.14460070536861144,0.7492093701027696
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,1.0,0.00017184456337676634,0.00017008464709892602,0.006096013908619247,0.015201775697002207,1.0,0.9999713596495858,0.9999716529707106,2.9332952578287287e-07
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,1.0,0.00017184456337676634,0.00017008464709892602,0.006096013908619247,0.015201775697002207,3.0,0.999742266374433,0.9997449063900692,2.640696232426749e-06
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,1.0,0.00017184456337676634,0.00017008464709892602,0.006096013908619247,0.015201775697002207,7.25,0.9984957026299639,0.9985111250230148,1.5445627868237543e-05
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,2.0,0.0006760754790630951,0.0006742578410236447,0.006297379164590611,0.01827186042253981,1.0,0.9998873271029378,0.9998876301691951,3.031004085133735e-07
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,2.0,0.0006760754790630951,0.0006742578410236447,0.006297379164590611,0.01827186042253981,3.0,0.9989864009318942,0.998989137631061,2.739475897055072e-06
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,2.0,0.0006760754790630951,0.0006742578410236447,0.006297379164590611,0.01827186042253981,7.25,0.994094805471887,0.9941110760075847,1.6367187121579788e-05
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,4.0,0.0025509729833545023,0.0026336288202140354,0.007367262060328006,0.018038228513331145,1.0,0.9995749283246746,0.9995611605221663,1.3773657299974794e-05
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,4.0,0.0025509729833545023,0.0026336288202140354,0.007367262060328006,0.018038228513331145,3.0,0.9961808617522988,0.9960575383120294,0.00012379623520623808
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,4.0,0.0025509729833545023,0.0026336288202140354,0.007367262060328006,0.018038228513331145,7.25,0.9779005906606164,0.9771987412161155,0.0007177104208790603
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,8.0,0.00832404917297206,0.009959480166143383,0.014765669429553485,0.023454752977188686,1.0,0.9986136288368089,0.9983414969373217,0.0002725096990757597
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,8.0,0.00832404917297206,0.009959480166143383,0.014765669429553485,0.023454752977188686,3.0,0.9875922293957351,0.9851744774135591,0.0024481277902067868
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,8.0,0.00832404917297206,0.009959480166143383,0.014765669429553485,0.023454752977188686,7.25,0.9296946394219306,0.916531545218639,0.014158513607732804
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,16.0,0.01841706918041355,0.03570072659059906,0.058647658035706485,0.018447458476873013,1.0,0.9969354187052918,0.9940677941575581,0.0028764396308216785
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,16.0,0.01841706918041355,0.03570072659059906,0.058647658035706485,0.018447458476873013,3.0,0.9727701312672095,0.9478766032106853,0.02559034992583066
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,16.0,0.01841706918041355,0.03570072659059906,0.058647658035706485,0.018447458476873013,7.25,0.851516840148548,0.7319152826936155,0.140457066514466
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,32.0,0.027979053831948843,0.12171482768186538,0.09029398434225122,0.009133156557301847,1.0,0.9953484902025329,0.9799189605099767,0.015501635702905005
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,32.0,0.027979053831948843,0.12171482768186538,0.09029398434225122,0.009133156557301847,3.0,0.9589630391872777,0.8331426724268944,0.13120460499396946
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,32.0,0.027979053831948843,0.12171482768186538,0.09029398434225122,0.009133156557301847,7.25,0.7843636225355252,0.34361225129426565,0.5619222495511603
held_curve,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,64.0,0.036410270149510864,0.3654251496251269,0.1369306002645696,-0.0006481408065983629,1.0,0.9939521946400143,0.940908748947904,0.05336619404650678
