temperature,kernel_model,lag,replicate_count,predicted_msd,observed_msd,msd_relative_error,predicted_fourth_moment,observed_fourth_moment,predicted_ngp,observed_ngp,ngp_absolute_error,maximum_count_tail_probability,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.45,lag_conditioned,20.0,3.0,0.0419154726020052,0.03949186469853002,0.06136980165348804,0.005215870662500122,0.004358074301659739,0.7812682608462493,0.6766043934790436,0.10466386736720579,1.1102230246251565e-16,0.9727255693975755,0.9742347768868319,0.0015092074892564256,0.8979210782174865,0.9029575283359126,0.005036450118426128,0.7161157414411706,0.7268548226920929,0.010739081250922267
0.45,lag_conditioned,50.0,3.0,0.050291268623069624,0.04695635520102237,0.07102155624665363,0.008942886715744492,0.007866374695904966,1.1215037199319835,1.1406078866688234,0.0191041667368399,0.0,0.9675996863660892,0.9696913070864693,0.0020916207203801607,0.8815469761757662,0.8886703237343586,0.007123347558592452,0.6837318326895258,0.6995204967944827,0.01578866410495694
0.45,lag_conditioned,100.0,3.0,0.06123097819516485,0.057100198209926144,0.07234265580045962,0.015309746166410435,0.01411335245273373,1.450060707766093,1.5972048553147098,0.14714414754861682,0.0,0.9610726424640038,0.9636844599785942,0.0026118175145903866,0.8618905484858937,0.8709383880301901,0.009047839544296332,0.6482598427438585,0.6685948251395887,0.020334982395730172
0.45,lag_conditioned,200.0,3.0,0.07981898647058938,0.07520056123369137,0.06141477086249281,0.029467936039132156,0.028383001374182756,1.7751633485541563,2.011392781175742,0.2362294326215859,0.0,0.950343076229483,0.9533016497076988,0.00295857347821582,0.8319016526732996,0.8424183294324846,0.010516676759184995,0.5998227417306542,0.6236796305483269,0.023856888817672672
0.45,lag_conditioned,500.0,3.0,0.128123678347936,0.1262955126161884,0.014475302359343356,0.08263331879119297,0.08409026771246454,2.0202830754677232,2.163159893849566,0.14287681838184296,0.0,0.9240925169580153,0.9255414798411173,0.001448962883102034,0.767310664262488,0.7737458591055776,0.006435194843089631,0.5127115032909264,0.5291930232489127,0.0164815199579863
0.45,lag_conditioned,1000.0,3.0,0.20614735884351099,0.2096882357573943,0.01688638802789122,0.20240746227608905,0.2133528256573274,1.8577367528603328,1.911397588989531,0.05366083612919814,2.220446049250313e-16,0.8848261512937197,0.8837103017827217,0.0011158495109979683,0.6836217055552801,0.6839386458670308,0.0003169403117506686,0.4199617539632279,0.4252107551608982,0.0052490011976703
0.45,lag_conditioned,2000.0,3.0,0.35990805931720415,0.3804918087436149,0.05409774653067656,0.5319913901891492,0.5843678384835524,1.4641816005520214,1.4218482813129847,0.042333319239036715,1.1102230246251565e-16,0.8150599915548494,0.8061750197934495,0.008884971761399907,0.559236622720214,0.5420765220261176,0.01716010069409646,0.3064247364448402,0.2894792740466868,0.01694546239815342
0.45,lag_conditioned,3000.0,3.0,0.5131246180462063,0.5428630069869955,0.05478065102620189,0.9789324819146925,1.0655669393941465,1.2307879353729048,1.1694592246975226,0.06132871067538215,1.1102230246251565e-16,0.7533500539248736,0.7409790220423944,0.012371031882479233,0.4665808579704101,0.44362214992805216,0.022958708042357945,0.2318430867325727,0.2129683136864647,0.01887477304610799
0.45,lag_conditioned,4096.0,3.0,0.6779276130191135,0.7020352157102732,0.03433959173510859,1.5501355644062975,1.6170913307904564,1.0237379843003147,0.9686476986099484,0.055090285690366336,1.1102230246251565e-16,0.6917496917897088,0.681698915318509,0.010050776471199785,0.3829135480061537,0.36547921475070194,0.01743433325545174,0.1723059409231121,0.1585948106586421,0.013711130264470017
0.45,lag_pooled,20.0,3.0,0.04132815700234677,0.03949186469853002,0.046497989341209855,0.0053116137545634635,0.004358074301659739,0.8658883790208614,0.6766043934790436,0.1892839855418178,1.1102230246251565e-16,0.9731254788636462,0.9742347768868319,0.001109298023185712,0.8994539113808976,0.9029575283359126,0.0035036169550149987,0.7193039006177161,0.7268548226920929,0.007550922074376798
0.45,lag_pooled,50.0,3.0,0.04994816892373963,0.04695635520102237,0.06371477747600207,0.00938094466401143,0.007866374695904966,1.2561017422496357,1.1406078866688234,0.11549385558081227,0.0,0.967873938316833,0.9696913070864693,0.0018173687696363405,0.8827798456085604,0.8886703237343586,0.0058904781257982375,0.6861550432699798,0.6995204967944827,0.013365453524502913
0.45,lag_pooled,100.0,3.0,0.061553599694219086,0.057100198209926144,0.07799275000622985,0.016547095072992842,0.01411335245273373,1.620391010721982,1.5972048553147098,0.023186155407272313,0.0,0.9609925030311066,0.9636844599785942,0.0026919569474875837,0.8622072072019384,0.8709383880301901,0.008731180828251639,0.6488934186995082,0.6685948251395887,0.01970140644008045
0.45,lag_pooled,200.0,3.0,0.0815628982305321,0.07520056123369137,0.08460491374617929,0.03288326929519624,0.028383001374182756,1.9657937153916403,2.011392781175742,0.04559906578410189,0.0,0.9495481699360563,0.9533016497076988,0.0037534797716425317,0.8305491020288249,0.8424183294324846,0.011869227403659699,0.5978012085580648,0.6236796305483269,0.025878421990262024
0.45,lag_pooled,500.0,3.0,0.1334087646153663,0.1262955126161884,0.05632228613533585,0.09379198555655428,0.08409026771246454,2.1619009069633397,2.163159893849566,0.0012589868862264986,0.0,0.9217065110204508,0.9255414798411173,0.0038349688206665844,0.7628169524115274,0.7737458591055776,0.010928906694050222,0.50706536238557,0.5291930232489127,0.022127660863342724
0.45,lag_pooled,1000.0,3.0,0.2131900853364542,0.2096882357573943,0.01670026726302143,0.22361621314266877,0.2133528256573274,1.9520284054404717,1.911397588989531,0.0406308164509408,2.220446049250313e-16,0.8820945616725036,0.8837103017827217,0.0016157401102181446,0.67961473914738,0.6839386458670308,0.004323906719650772,0.4153844103022941,0.4252107551608982,0.009826344858604064
0.45,lag_pooled,2000.0,3.0,0.3613436497957058,0.3804918087436149,0.050324759976138056,0.5496505496763906,0.5843678384835524,1.5257889749589224,1.4218482813129847,0.10394069364593772,1.1102230246251565e-16,0.8152117818674048,0.8061750197934495,0.009036762073955318,0.56005918703986,0.5420765220261176,0.01798266501374246,0.30670635706247673,0.2894792740466868,0.017227083015789957
0.45,lag_pooled,3000.0,3.0,0.49974901598715354,0.5428630069869955,0.07941965181811472,0.939138231249367,1.0655669393941465,1.2561962632681212,1.1694592246975226,0.08673703857059856,0.0,0.7583414291119791,0.7409790220423944,0.017362407069584695,0.4720935014550147,0.44362214992805216,0.028471351526962563,0.23753499489779487,0.2129683136864647,0.024566681211330155
0.45,lag_pooled,4096.0,3.0,0.6397346563630125,0.7020352157102732,0.08874278377079559,1.403597660597142,1.6170913307904564,1.0577571968602135,0.9686476986099484,0.08910949825026515,1.1102230246251565e-16,0.7050013039181288,0.681698915318509,0.02330238859961975,0.39855615845021813,0.36547921475070194,0.03307694369951619,0.18579800337888744,0.1585948106586421,0.02720319272024535
0.58,lag_conditioned,10.0,5.0,0.14143915023967135,0.10748781085615214,0.3158622276618446,0.0698369806360473,0.029224333071752633,1.0945822943521466,0.5176702584574213,0.5769120358947253,0.0,0.9141045428685277,0.9320426574001933,0.017938114531665605,0.7263911815118695,0.7648964558318289,0.038505274319959315,0.4245810899008847,0.45575524978039256,0.031174159879507835
0.58,lag_conditioned,20.0,5.0,0.213907980131552,0.1664470675350989,0.28514117610660183,0.1409178199470055,0.07085669523708141,0.8478350158612764,0.5345457720903428,0.3132892437709336,1.1102230246251565e-16,0.874067104413189,0.8977986067917458,0.023731502378556812,0.6270413157911253,0.6708725623542008,0.043831246563075466,0.3055612182619213,0.33086790404330846,0.025306685781387173
0.58,lag_conditioned,50.0,5.0,0.3927058150934471,0.3399251483932837,0.1552714382846947,0.4072069437944597,0.27125710629798216,0.5842793480576971,0.4085289682826585,0.1757503797750386,1.1102230246251565e-16,0.7842244719964379,0.8051858250811226,0.02096135308468472,0.4484042217733881,0.4636749863426945,0.015270764569306372,0.15909095812427768,0.1420029922620639,0.017087965862213783
0.58,lag_conditioned,100.0,5.0,0.6508305177731339,0.6277432713959149,0.0367781662173452,0.9997954698265884,0.8354975051800352,0.4162065442286791,0.27213228668382383,0.14407425754485526,2.220446049250313e-16,0.6725685458817545,0.6729530928901382,0.00038454700838364,0.28927924505500613,0.25502647686322977,0.03425276819177636,0.08227934627640755,0.03791104562476883,0.04436830065163872
0.58,lag_conditioned,200.0,5.0,1.1414643231714885,1.2114563032671688,0.057775076085632926,2.7217330422445776,2.847150833871859,0.2533492112623008,0.16398187559305222,0.0893673356692486,1.1102230246251565e-16,0.5017275604269638,0.4684955850761498,0.03323197535081396,0.12746346157756422,0.07669663841520627,0.05076682316235795,0.027088179621719822,0.0029394292791792066,0.024148750342540614
0.58,lag_conditioned,400.0,5.0,2.150120984433837,2.3739410739101037,0.09428207462100735,8.69674193993269,10.296658600432343,0.1287091304764587,0.0962451737947978,0.03246395668166091,2.220446049250313e-16,0.2708877744041296,0.22856523099152498,0.04232254341260461,0.02117755262643629,0.005335681347705051,0.01584187127873124,0.0026543944156649808,-0.00020390029128960173,0.0028582947069545825
0.58,lag_conditioned,600.0,5.0,3.202276078288604,3.5487077013310584,0.097621909776484,18.281487420704764,22.355753059064988,0.06965872053564959,0.06512381742462159,0.004534903111027999,1.1102230246251565e-16,0.1391215901303257,0.10992628341556979,0.029195306714755925,0.003022464354533909,0.0016255189784473965,0.0013969453760865125,0.0011383356484185039,0.0026680498918661335,0.0015297142434476296
0.58,lag_pooled,10.0,5.0,0.15362338865198277,0.10748781085615214,0.42921683331678007,0.09399643707768164,0.029224333071752633,1.3897251882970747,0.5176702584574213,0.8720549298396534,0.0,0.9085775458330787,0.9320426574001933,0.023465111567114616,0.7186540323443887,0.7648964558318289,0.04624242348744012,0.422782665926023,0.45575524978039256,0.032972583854369575
