temperature_label,temperature,inverse_temperature_shift,scaled_time,alpha_shape,reference_alpha_shape,log_shape_residual,shape_control,reference_control,tau_alpha_over_delay,rms_log_shape_residual,max_abs_log_shape_residual
T=1.00,1.0,0.0,0.15,0.03068674806543564,0.03068674806543564,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.15277685473342037,0.032067293119498304,0.032067293119498304,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.15560511561491083,0.03350434952328236,0.03350434952328236,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.15848573429384208,0.03499989444059415,0.03499989444059415,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.16141968003686513,0.03655595505993616,0.03655595505993616,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.16440794005404888,0.03817460882101672,0.03817460882101672,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.1674515198310554,0.03985798358273672,0.03985798358273672,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.1705514434674641,0.04160825773015479,0.04160825773015479,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.17370875402135943,0.04342766021803934,0.04342766021803934,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.17692451386029784,0.04531847054873688,0.04531847054873688,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.1801998050187716,0.047283018682229006,0.047283018682229006,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.1835357295622903,0.04932368487641451,0.04932368487641451,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.18693340995820235,0.051442899455835155,0.051442899455835155,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.19039398945338126,0.053643142507268905,0.053643142507268905,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.19391863245890398,0.05592694350084061,0.05592694350084061,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.19750852494185006,0.05829688083554774,0.05829688083554774,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.20116487482435436,0.06075558130837063,0.06075558130837063,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.20488891239004717,0.06330571950642637,0.06330571950642637,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.2086818906980182,0.0659500171219405,0.0659500171219405,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.21254508600444416,0.06869124219014681,0.06869124219014681,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.21647979819202204,0.0715322082505817,0.0715322082505817,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.22048735120735138,0.07447577343261431,0.07447577343261431,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.22456909350641435,0.0775248394664525,0.0775248394664525,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.2287263985083024,0.08068235062127896,0.08068235062127896,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.23296066505734223,0.08395129257260109,0.08395129257260109,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.23727331789377706,0.08733469120134808,0.08733469120134808,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.24166580813316169,0.09083561132770873,0.09083561132770873,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.2461396137546312,0.09445715538317419,0.09445715538317419,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.2506962400982099,0.0982024620247367,0.0982024620247367,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.25533722037132595,0.10207470469567949,0.10207470469567949,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.26006411616470265,0.10607709013789114,0.10607709013789114,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.26487851797780093,0.11021285686113128,0.11021285686113128,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.2697820457539878,0.11448527357516815,0.11448527357516815,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.27477634942561296,0.11889763759119998,0.11889763759119998,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
T=1.00,1.0,0.0,0.2798631094691762,0.12345327319945043,0.12345327319945043,0.0,0.2071908709673636,0.2071908709673636,6.322879550497345,0.0,0.0
