metric,cooling_direction,high_temperature_mean,high_temperature_ci95_low,high_temperature_ci95_high,low_temperature_mean,low_temperature_ci95_low,low_temperature_ci95_high,effect_ratio,directional_ci95_separated,trend_pass,high_temperature_replicate_count,low_temperature_replicate_count,thermodynamic_claim_allowed
event_rate,decrease,0.005154755365679992,0.004979080559762381,0.005330430171597603,0.00017261723120740513,0.00014428590804451498,0.00020094855437029528,29.862345315262232,True,True,5.0,3.0,False
exchange_mean,increase,160.93515774614963,155.2999283167306,166.57038717556867,1724.9789509868604,1649.532637634041,1800.4252643396796,10.718471806562917,True,True,5.0,3.0,False
stationary_persistence_mean,increase,167.96463586470767,161.10903679997554,174.8202349294398,2011.5039687245983,1986.378124088769,2036.6298133604275,11.975758815949963,True,True,5.0,3.0,False
persistence_exchange_ratio,increase,1.0435869106482634,1.0325960656825173,1.0545777556140095,1.1662934291752023,1.1250527703720443,1.2075340879783603,1.1175815040174422,True,True,5.0,3.0,False
count_fano,increase,1.1776375553809788,1.1548875050816982,1.2003876056802594,1.6404066606326115,1.1285122042247928,2.1523011170404303,1.3929639498478135,False,False,5.0,3.0,False
correlated_diffusion,decrease,0.0002779904475865755,0.00027109043567620386,0.0002848904594969471,9.784349190121837e-06,8.345811460873551e-06,1.1222886919370122e-05,28.4117463701348,True,True,5.0,3.0,False
