lag,metric,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_critical_value,ci95_method,independent_replicate_count,temperature,independence_class,thermodynamic_claim_allowed
1.0,msd,0.06206446111173257,0.00021348095171739263,9.547158398828807e-05,0.061799389499682805,0.06232953272378233,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,ngp_3d,0.16949100454662527,0.0020014440679313713,0.0008950729978116506,0.1670058835030564,0.17197612559019415,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,overlap_mean,0.7843205370765945,0.001052832556398842,0.00047084103300653837,0.7830132727951773,0.7856278013580118,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,overlap_chi4,0.7383616634726884,0.0799479576850114,0.035753813609192435,0.6390931626852916,0.8376301642600852,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,fs_k5,0.7762988107896358,0.0006518567114745346,0.0002915191836893053,0.7754894237790104,0.7771081978002612,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,fs_k7p25,0.5938127076140427,0.0009764296717020915,0.0004366726242347359,0.5926003100439123,0.5950251051841731,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,fs_k9,0.4551231899119347,0.001080614777597833,0.0004832656200399143,0.4537814294466645,0.45646495037720486,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,msd,0.08470610795565063,0.00033149294912751613,0.00014824815366220112,0.0842945050950606,0.08511771081624066,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,ngp_3d,0.24680591110717548,0.003129163895276822,0.0013994046365154015,0.24292054095393117,0.2506912812604198,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,overlap_mean,0.6747849862679279,0.0017919777318233555,0.0008013968045045822,0.67255995203274,0.6770100205031159,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,overlap_chi4,1.6368299220018308,0.18841130634960634,0.0842600977454515,1.4028863860529839,1.8707734579506776,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,fs_k5,0.7125304019903047,0.0009323815374558214,0.0004169736997433966,0.711372697402656,0.7136881065779535,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,fs_k7p25,0.503753057011112,0.0012989859250719462,0.000580924166055264,0.5021401529537767,0.5053659610684472,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,fs_k9,0.3602870497351591,0.0013227018744368547,0.0005915302610414396,0.3586446984373142,0.36192940103300403,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,msd,0.12303006283852631,0.0004002415005225446,0.00017899344051698545,0.12253309737674041,0.12352702830031222,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,ngp_3d,0.31407135059056,0.005201985871342707,0.002326398805263154,0.30761223201494914,0.3205304691661709,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,overlap_mean,0.5386692706743974,0.0020349060577748955,0.0009100376546021562,0.5361426010827316,0.5411959402660632,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,overlap_chi4,2.399526530851388,0.3393497984131736,0.15176184348054128,1.9781681033640446,2.8208849583387314,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,fs_k5,0.6209083856504827,0.0010608051871550683,0.0004744065018726239,0.6195912220404844,0.6222255492604809,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,fs_k7p25,0.3911971567923034,0.0013966170591636553,0.0006245861365651557,0.38946302767066265,0.3929312859139441,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,fs_k9,0.25446373930653954,0.001380892314565658,0.0006175538169951668,0.2527491350341471,0.256178343578932,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,msd,0.19696675012862166,0.0009493255850692964,0.0004245513081989412,0.1957880067270674,0.19814549353017594,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,ngp_3d,0.31500519687683404,0.005489120420502097,0.0024548092793849835,0.30818955366889145,0.3218208400847766,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,overlap_mean,0.37023602496651237,0.002416042036096591,0.0010804868458417956,0.3672361125521443,0.37323593738088046,2.7764451051977987,student_t_independent_replicates,5.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
