count_window,window_count,complete_waiting_time_count,particles_with_complete_wait,complete_wait_particle_fraction,waiting_mean,waiting_cv2,waiting_lag1_correlation,log_waiting_lag1_correlation,shuffle_lag1_correlation_mean,shuffle_lag1_correlation_standard_deviation,actual_count_fano,sequence_shuffle_count_fano,particle_iid_count_fano,pooled_empirical_iid_count_fano,gamma_iid_count_fano,temporal_memory_excess_fraction,persistent_environment_excess_fraction,empirical_iid_relative_error,gamma_iid_relative_error,collective_covariance_ratio,replicate,temperature,threshold,half_window,independence_class,thermodynamic_claim_allowed
512.0,19.0,3448.0,1493.0,0.4555996338114129,1731.3926914153133,1.3341719164678103,-0.14581306331354454,-0.03148658913303424,-0.14949540873627298,0.0075059528524710145,1.27339599717371,1.2735866208614017,126.3876203686406,1.3712897472364718,1.14770797592129,-0.00014967469394633337,91.16696954334168,0.07687612516454889,0.09870301267742587,5.3498023396530865,1.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
1024.0,9.0,3448.0,1493.0,0.4555996338114129,1731.3926914153133,1.3341719164678103,-0.14581306331354454,-0.03148658913303424,-0.15025414234647094,0.008855095393237684,1.3780105992422456,1.3715311929215654,252.53281583579582,1.4565700820791463,1.1956437143969327,0.0047242136045611005,172.37498479669708,0.05700934584980688,0.13234069821059036,5.009789210432298,1.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
2048.0,4.0,3448.0,1493.0,0.4555996338114129,1731.3926914153133,1.3341719164678103,-0.14581306331354454,-0.03148658913303424,-0.14719484816571193,0.006461909095624492,1.4730359782846785,1.4894705764385932,504.85631420499374,1.486344845184195,1.2461036040893858,-0.01103385217129349,338.66297648943606,0.009034991063160858,0.15405759094869564,5.097568627450981,1.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
4096.0,2.0,3448.0,1493.0,0.4555996338114129,1731.3926914153133,1.3341719164678103,-0.14581306331354454,-0.03148658913303424,-0.1483132778343854,0.00751675702744996,1.6212709240892529,1.6219659884993112,1009.8501144995666,1.4774630701481999,1.2750045417306688,-0.0004285320499854972,682.5027791241317,0.08870069265063574,0.2135771247196694,4.097105920376084,1.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
512.0,19.0,2934.0,1414.0,0.43149221849252367,1691.9130879345603,1.36496914029751,-0.12533809958748393,-0.04749535170166224,-0.13724043944013478,0.008288316481722208,1.2992143535403577,1.2932113574475077,55.82696041525734,1.4476953012171083,1.1632311460593778,0.004641929610561535,37.56264530825128,0.11428518109589847,0.10466572133414764,6.730551019377432,2.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
1024.0,9.0,2934.0,1414.0,0.43149221849252367,1691.9130879345603,1.36496914029751,-0.12533809958748393,-0.04749535170166224,-0.13726248039953723,0.008342489684840507,1.378479993230787,1.3736924586519685,111.40577072676645,1.5252626989806863,1.2141265164624646,0.003485157502805647,72.04038235591646,0.10648156409283827,0.11922804652617547,8.469232823408234,2.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
2048.0,4.0,2934.0,1414.0,0.43149221849252367,1691.9130879345603,1.36496914029751,-0.12533809958748393,-0.04749535170166224,-0.13505752573365937,0.009482165134876633,1.4513224718689741,1.4459033209635395,222.68286627711225,1.5431729700077945,1.266044613127698,0.0037479344758841737,143.30194839142854,0.06328744983913737,0.12766140009027793,10.559759527880425,2.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
4096.0,2.0,2934.0,1414.0,0.43149221849252367,1691.9130879345603,1.36496914029751,-0.12533809958748393,-0.04749535170166224,-0.13825669136317653,0.008745333225762422,1.5499799989152199,1.5416222157764168,445.22323396101143,1.5009635892948272,1.3041284381017404,0.005421421054569997,295.6249395631131,0.03162389815010369,0.1586159569707628,1.3086699954607353,2.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
512.0,19.0,3437.0,1616.0,0.4931339639914556,1751.631073610707,1.2986195182858937,-0.1586678714453876,-0.043760839868162905,-0.16143296106434857,0.0059978677215801945,1.279140299322991,1.2692788033281794,123.95523162778183,1.4039530790954688,1.133827686521753,0.007769369478914934,87.29015262222511,0.09757551993204916,0.11360177838048535,15.291185649789414,3.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
1024.0,9.0,3437.0,1616.0,0.4931339639914556,1751.631073610707,1.2986195182858937,-0.1586678714453876,-0.043760839868162905,-0.1611602905767739,0.006930234015137423,1.3529356353146906,1.351185546717392,247.91841899938532,1.4712238158970656,1.1742470679220918,0.001295224480124313,167.51169503956083,0.08743075242811638,0.13207469943759464,15.034411133421038,3.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
2048.0,4.0,3437.0,1616.0,0.4931339639914556,1751.631073610707,1.2986195182858937,-0.1586678714453876,-0.043760839868162905,-0.15882883797168518,0.008186079132990609,1.4422669015167169,1.4205454849677017,495.18021895283346,1.5071995726977139,1.2142772609585069,0.01529089830552599,327.5432320462497,0.04502125862606454,0.15807728813470756,32.673585359980734,3.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
4096.0,2.0,3437.0,1616.0,0.4931339639914556,1751.631073610707,1.2986195182858937,-0.1586678714453876,-0.043760839868162905,-0.16203504469874552,0.00838582260458279,1.4762364113719015,1.4713652823656733,989.9979536755901,1.4463921040454921,1.250185585356761,0.0033106184199183097,683.4602863266547,0.020216482330681962,0.15312643982617002,68.50446745142533,3.0,0.45,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
