protocol,held_clone_index,basis,memory_order,lag_frames,correlation_component,observed,predicted,thermodynamic_claim_allowed
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,10.0,up,0.32641685115744457,0.3309513940027777,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,10.0,pu,-0.32547570538272913,-0.3303021497699954,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,10.0,pp,-0.6013735831731787,-0.5884615649613067,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,11.0,uu,0.21538365169037,0.14049715747739358,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,11.0,up,0.21775997951491313,0.22451877334559683,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,11.0,pu,-0.2167399706399408,-0.2238155347506076,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,11.0,pp,-0.5983155342904005,-0.5867655673981367,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,12.0,uu,0.18588291243175017,0.1094389580204791,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,12.0,up,0.11384613020525776,0.12248207530228149,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,12.0,pu,-0.11277071117549758,-0.12173640907721475,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,12.0,pp,-0.5499124089425589,-0.5409292174611806,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,13.0,uu,0.17410142375911386,0.0958057358525911,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,13.0,up,0.02195934229532869,0.03192796676441596,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,13.0,pu,-0.020858022265635268,-0.031129320508996573,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,13.0,pp,-0.46636296201634353,-0.46095030499152573,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,14.0,uu,0.17736563144984033,0.09704272847630818,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,14.0,up,-0.05265810737011963,-0.042034317946685294,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,14.0,pu,0.05373123781439455,0.042885249833532535,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,14.0,pp,-0.3598168509328852,-0.35845296468839255,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,15.0,uu,0.1922584629786899,0.10986478117864543,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,15.0,up,-0.10695637436526961,-0.09642317088978464,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,15.0,pu,0.10799822545573905,0.09731713610229034,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,15.0,pp,-0.24261246942297626,-0.24518643758880823,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,16.0,uu,0.21500943480582976,0.1306356359839155,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,16.0,up,-0.14003837692775736,-0.13029700066722164,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,16.0,pu,0.14106245659685382,0.131227043578729,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,16.0,pp,-0.126093578523153,-0.13207749527608426,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,17.0,uu,0.24186245713394458,0.1557182812464143,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,17.0,up,-0.15292251231022577,-0.1445672314593143,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,17.0,pu,0.15393186360072952,0.14550519175424173,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,17.0,pp,-0.019793906728280297,-0.028557403988973305,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,18.0,uu,0.26939252327539426,0.18178055297439663,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,18.0,up,-0.14817611620014073,-0.14163576633605712,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,18.0,pu,0.14917362740199577,0.1425636828133442,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,18.0,pp,0.0688454878683124,0.05824778738742799,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,19.0,uu,0.29474016324490304,0.2060241798522242,0.0
