temperature,cage_variance,jump_variance,jump_to_cage_variance,renewal_rate,renewal_delay,lambda_tau_delay,diffusion_coefficient,tau_alpha,stokes_einstein_product,normalized_stokes_einstein_product,predicted_ngp_peak_time,predicted_ngp_peak
1.0,1.0,0.8,0.8,0.18,3.0,0.54,0.072,18.968638651492036,1.3657419829074264,1.0,11.30678245091849,0.2
0.9776470588235294,0.9954376354983197,0.8009150837327979,0.8045858978718008,0.1719543117869922,3.3633327926447723,0.5783395756698543,0.06886040101154724,20.171720783538007,1.389032782247389,1.0170535867180275,12.089391056774524,0.2011464744679502
0.9552941176470588,0.9906840588655226,0.8018741129470076,0.8094145714480055,0.16391709664947227,3.7908961277090243,0.6213926869537902,0.06572043823632225,21.531656327322516,1.4150698897855165,1.0361180277793611,12.978326259237075,0.2023536428620014
0.9329411764705883,0.9857270501126671,0.802880330406416,0.814505729871822,0.1558975357648734,4.297386264085984,0.6699519288008203,0.0625835325122238,23.07748856588752,1.4442707559636947,1.0574989815346338,13.9933828936156,0.2036264324679555
0.9105882352941177,0.9805533312882148,0.8039373058913298,0.8198812652394406,0.14790562803232304,4.90163273588715,0.7249790681851827,0.05945342606323547,24.845112728654954,1.4771270726458376,1.0815564661059125,15.159005607256134,0.20497031630986015
0.888235294117647,0.9751484502437452,0.805048978477096,0.8255655621212015,0.13995224002819168,5.627984366921529,0.7876490189943123,0.05633420393513853,26.87922911757431,1.5142199747287448,1.1087159900475745,16.50561613547768,0.20639139053030037
0.8658823529411764,0.9694966488610461,0.806219705544279,0.8315858610665823,0.13204915533846104,6.508238334160321,0.8594073747672631,0.05323031556717241,29.235954061155972,1.5562390605826881,1.1394824791647151,18.071389787504998,0.20789646526664557
0.8435294117647059,0.963580713287588,0.8074543198047232,0.8379726873629654,0.12420912211602214,7.584357339673227,0.9420463669750206,0.050146596105867226,31.9863476004356,1.6040064540209193,1.1744578947527624,19.904658031461942,0.20949317184074134
0.8211764705882353,0.9573818032806474,0.8087581959154958,0.844760359079455,0.1164458973757381,8.912345973967739,1.0378061246617198,0.047088286941681455,35.22123425424218,1.6585075850039355,1.2143637713129842,22.067194018596034,0.21119008976986375
0.7988235294117647,0.950879257221584,0.8101373286150877,0.8519875919706816,0.10877428612923469,10.567856638243137,1.1495110617409912,0.04406105479337569,39.057871159307965,1.7209310012628762,1.26007036673158,24.638758918023342,0.2129968979926704
0.7764705882352941,0.9440503687099755,0.8115984247753727,0.8596982233950128,0.10121017296113778,12.654415783577642,1.280755610178045,0.04107100847325122,43.649291459847205,1.7927204193987967,1.3126347742363516,27.723472860458926,0.2149245558487532
0.7541176470588236,0.9368701298562245,0.8131490123482478,0.8679420833632903,0.09377054304383178,15.31568549930035,1.4361601463579339,0.03812471223172533,49.197578066098586,1.8756435062678507,1.3733512843142839,31.458864415647106,0.21698552084082257
0.7317647058823529,0.929310935428064,0.8147975699374255,0.8767760486559961,0.08647348886308745,18.754049760493245,1.6217281131018004,0.03522919429482734,55.97300145770612,1.9718837436181829,1.4438186482489075,36.028912887957745,0.21919401216399903
0.7094117647058824,0.9213422408299615,0.8165536816975675,0.8862653262939528,0.07933819806693852,23.259302456224255,1.8453511451707496,0.03239194886540474,64.3420525767668,2.0841644769618135,1.5260309070421858,41.68314140171435,0.2215663315734882
0.6870588235294117,0.9129301654532064,0.8184282235289024,0.8964850264561142,0.0723849168423222,29.253802023557526,2.1175340267969687,0.029620929450774547,74.80921136598735,2.215918372139993,1.6225014679732472,48.76504346949922,0.22412125661402854
0.6647058823529411,0.9040370311637699,0.8204335881980747,0.9075221035380905,0.06563488206140904,37.36506520538833,2.452451647972522,0.02692453090029963,88.08033835544842,2.3715217917601175,1.7364347156639068,57.755184818764306,0.22688052588452262
0.6423529411764706,0.8946208235138282,0.8225839592182014,0.9194777693496049,0.05911021412641122,48.545187856347354,2.86951644899555,0.0243115569831695,105.1608239488229,2.5566233638288636,1.8719665909268297,69.33786227775377,0.22986944233740123
0.62,0.8846345605699127,0.8248956462648205,0.9324705172420504,0.05283376100124786,64.27227894644832,3.3957462248621857,0.021791169712862712,127.51088979361785,2.7786114397308603,2.034506864770812,84.50643638367754,0.2331176293105126
