block_index,lag,origin_count,particle_count,msd,ngp_3d,overlap_mean,overlap_chi4,fs_k5,fs_k7p25,fs_k9,replicate,temperature,independence_class,thermodynamic_claim_allowed
0.0,1.0,250.0,3277.0,0.062346764151702136,0.16811822599384207,0.7827366493744278,0.8348743411657004,0.7754003589509547,0.592412574122505,0.45351255153549225,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,2.0,250.0,3277.0,0.08521454438821734,0.24370822495332622,0.6716655477570949,1.8827237400061032,0.7110361319349487,0.501596889682178,0.35804165960519585,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,4.0,250.0,3277.0,0.1232781817237938,0.3090067108396042,0.536,2.732448341776014,0.6200313069597984,0.389795729531573,0.2529458592831216,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,8.0,249.0,3277.0,0.1979086608577646,0.31194955367826704,0.3673356839013056,2.7772776086569957,0.4795956309846236,0.2470192236260207,0.1371016580646276,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,16.0,247.0,3277.0,0.34434774312123423,0.25339131224176437,0.20418349458068072,1.3808893151544452,0.2954587584130509,0.1076382174372667,0.04595448999867379,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,32.0,243.0,3277.0,0.6366824474597614,0.16748717442864458,0.0877609376236169,0.32707405356282493,0.11519286856393414,0.022686012961886475,0.006335244560109332,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,64.0,235.0,3277.0,1.2215887977459734,0.09713346485192886,0.03173115005291555,0.049617166602683574,0.01817754784254481,0.0005491756704162603,-0.0009960861465574543,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,128.0,219.0,3277.0,2.3898935713621925,0.0568654469056733,0.010966149850277915,0.015206447904979147,-0.00019291318709068988,0.00037424065684500576,-0.0001520967022233629,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,256.0,187.0,3277.0,4.738146625061565,0.029078920117275198,0.003668413297019088,0.003704174514812644,0.0005161178357955669,-0.001600406143535476,-0.0005504096367714215,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,512.0,123.0,3277.0,9.419776381828115,0.0013233645170742658,0.0013570810105415672,0.001410189530045676,-0.0013593607894447197,0.0006270507108945936,0.000689526043332691,1.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,1.0,250.0,3277.0,0.061801969040986664,0.16796026126261832,0.7853268233140067,0.6502806664632285,0.7770538858398399,0.5948591544042906,0.45615890709893825,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,2.0,250.0,3277.0,0.08439210806202038,0.24566696759712103,0.6757314617027769,1.4747029649069276,0.7134146518818428,0.5049324906001693,0.3614257317511772,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,4.0,250.0,3277.0,0.12254473510850743,0.3144605570096026,0.5408861763808361,2.1698461226731767,0.6220814970847215,0.3927077445673448,0.2559981402453671,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,8.0,249.0,3277.0,0.19623405207370698,0.3096919497392987,0.3712402248603814,2.487228766236492,0.48215507889535153,0.2494515922319995,0.13896953409061535,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,16.0,247.0,3277.0,0.34212142556120967,0.2477502569936123,0.2051212042217937,1.191967079620608,0.29707621922207617,0.10845359330717716,0.04637538775713315,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,32.0,243.0,3277.0,0.6308290093562955,0.16903537982653805,0.0890343094594951,0.3265704349552243,0.11702247029864257,0.023715388658846946,0.007090551585083263,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,64.0,235.0,3277.0,1.2037781772080463,0.09798117115006377,0.03210512988657244,0.053243798464765256,0.01886282309552353,0.0010498444040543883,-0.0009630531723097472,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,128.0,219.0,3277.0,2.354945885791434,0.05484041185086608,0.011214177127704787,0.010744858261624008,-0.00035324646855211316,0.0004601136745885489,0.0005969959905075952,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,256.0,187.0,3277.0,4.667278318432213,0.028203070005340614,0.003748374263012831,0.00347908304293197,0.0001707095451725704,4.191835583660571e-05,-9.600750157424834e-05,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,512.0,123.0,3277.0,9.222859913885973,0.004254560431021126,0.0013297905331814987,0.0016380740926576856,-0.00010569255360690248,0.000575205659677766,-0.0008144330002400312,2.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,1.0,250.0,3277.0,0.062153596495813736,0.16882676393705398,0.7839938968568813,0.6693042709795545,0.7760097459486536,0.5933635744923281,0.4546290572544929,3.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,2.0,250.0,3277.0,0.08444494514141106,0.24445001783567544,0.6760329569728409,1.7267129691791265,0.7131504891936348,0.5044797435240548,0.3608944998334302,3.0,0.7,decorrelated_parent_frames_plus_velocity_seeds,0.0
