distance_low,distance_high,distance_midpoint,pair_count,count_window,window_count,retained_event_count,count_covariance,all_pair_covariance_null,covariance_excess_over_all_pairs,normalized_covariance_excess,temperature,block_index,spatial_block,threshold,half_window,uncertainty_scope,independent_replicate_count,spatial_model_claim_allowed,thermodynamic_claim_allowed
3.5,5.0,4.25,543662.0,100.0,10.0,480.0,-1.8126117285308878e-05,-4.5488900897208595e-06,-1.3577227195588019e-05,-0.0009110909835503009,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1957261.0,100.0,10.0,480.0,-2.1662456131030265e-05,-4.5488900897208595e-06,-1.7113566041309406e-05,-0.0011483946973868356,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2588911.0,100.0,10.0,480.0,-1.2081532393781372e-05,-4.5488900897208595e-06,-7.532642304060513e-06,-0.0005054730532732954,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8183.0,100.0,10.0,441.0,0.0006745736093149454,-3.9728424460919195e-06,0.0006785464517610374,0.05213559670112706,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10475.0,100.0,10.0,441.0,0.000741334460457331,-3.9728424460919195e-06,0.0007453073029034229,0.05726511554475245,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15346.0,100.0,10.0,441.0,0.00016114846111474012,-3.9728424460919195e-06,0.00016512130356083205,0.012686968838860904,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64076.0,100.0,10.0,441.0,0.00017839249280233313,-3.9728424460919195e-06,0.00018236533524842506,0.014011900800751723,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179708.0,100.0,10.0,441.0,3.494098797593715e-05,-3.9728424460919195e-06,3.891383042202907e-05,0.002989914343688049,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544127.0,100.0,10.0,441.0,-1.5440016312484645e-05,-3.9728424460919195e-06,-1.1467173866392726e-05,-0.0008810715175775441,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956880.0,100.0,10.0,441.0,-1.1727274356925182e-05,-3.9728424460919195e-06,-7.754431910833262e-06,-0.0005958058342215432,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2588931.0,100.0,10.0,441.0,-9.05519781358087e-06,-3.9728424460919195e-06,-5.08235536748895e-06,-0.0003904988804281994,0.45,3.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8224.0,100.0,10.0,611.0,0.0020742939964643594,-6.001439530025642e-06,0.002080295435994385,0.10580975008930728,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10467.0,100.0,10.0,611.0,0.0013231286127502787,-6.001439530025642e-06,0.0013291300522803044,0.06760333952313999,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15411.0,100.0,10.0,611.0,0.0005635644116016206,-6.001439530025642e-06,0.0005695658511316462,0.02896974118430251,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64325.0,100.0,10.0,611.0,0.00035677779991379364,-6.001439530025642e-06,0.0003627792394438193,0.018451985231987548,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179571.0,100.0,10.0,611.0,0.00013673413621633393,-6.001439530025642e-06,0.00014273557574635956,0.007259937861353103,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,543996.0,100.0,10.0,611.0,1.087177239265401e-05,-6.001439530025642e-06,1.6873211922679654e-05,0.0008582196095090953,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956290.0,100.0,10.0,611.0,-1.4295217973798722e-05,-6.001439530025642e-06,-8.29377844377308e-06,-0.00042184519047038,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2589442.0,100.0,10.0,611.0,-3.755989956331536e-05,-6.001439530025642e-06,-3.155846003328972e-05,-0.0016051531487063216,0.45,4.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8328.0,100.0,10.0,481.0,0.0012055401704877222,-4.221291026740729e-06,0.0012097614615144629,0.08748035922376761,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10279.0,100.0,10.0,481.0,0.0007337942949941765,-4.221291026740729e-06,0.0007380155860209172,0.05336743699623742,0.45,5.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
