temperature,kernel_model,lag_count,replicate_count,maximum_replicate_msd_relative_error,maximum_replicate_ngp_absolute_error,maximum_replicate_fs_absolute_error,maximum_ensemble_msd_relative_error,maximum_ensemble_ngp_absolute_error,maximum_ensemble_fs_absolute_error,maximum_count_tail_probability,diffusion_relative_error,predicted_alpha_relaxation_time,observed_alpha_relaxation_time,alpha_relaxation_relative_error,diffusion_alpha_product_relative_error,ensemble_curve_pass,derived_scalar_pass
0.45,lag_conditioned,9.0,3.0,0.30074646588459153,0.40004326690441117,0.11410738269577836,0.07234265580045962,0.2362294326215859,0.023856888817672672,2.220446049250313e-16,0.03433959173510859,1338.0097804063403,1298.3406051585694,0.030553750757048803,0.0048350443050331204,1.0,1.0
0.45,lag_pooled,9.0,3.0,0.282588639000372,0.43316518661139325,0.14072350189279526,0.08874278377079559,0.1892839855418178,0.03307694369951619,2.220446049250313e-16,0.08874278377079559,1319.8808759238846,1298.3406051585694,0.01659061626797409,0.07362446497491448,0.0,1.0
0.58,lag_conditioned,7.0,5.0,0.3237391745501321,0.6057122678480047,0.07548126638768218,0.3158622276618446,0.5769120358947253,0.05076682316235795,2.220446049250313e-16,0.097621909776484,13.52632407945465,15.89840726181237,0.14920256748331084,0.2322590376785193,0.0,1.0
0.58,lag_pooled,7.0,5.0,0.43841056087668373,0.9176780471659352,0.11518092447170078,0.42921683331678007,0.8720549298396534,0.08788391893570766,2.220446049250313e-16,0.21339313159402962,13.373778357383552,15.89840726181237,0.15879759920938252,0.3383044138185085,0.0,0.0
