replicate,median_empirical_iid_relative_error,median_gamma_iid_relative_error,median_temporal_memory_excess_fraction,median_persistent_environment_excess_fraction,median_waiting_correlation_z_vs_shuffle,median_complete_wait_particle_fraction,median_complete_waits_per_supported_particle,persistent_environment_identifiable,environment_support_gate,minimum_collective_covariance_ratio_supported_windows,collective_covariance_detected,waiting_failure_verdict,temperature,thermodynamic_claim_allowed
1.0,0.06694273550717789,0.143199144579643,-0.0002891033719659153,255.51898064306658,0.41160438878053596,0.4555996338114129,2.3094440723375755,0.0,posthoc_conservative_fraction_0p8_and_ten_waits,5.009789210432298,1.0,empirical_iid_waiting_law_sufficient,0.45,0.0
2.0,0.08488450696598782,0.1234447233082267,0.004194932043222854,107.6711653736725,1.432696734541787,0.43149221849252367,2.0749646393210748,0.0,posthoc_conservative_fraction_0p8_and_ten_waits,6.730551019377432,1.0,empirical_iid_waiting_law_sufficient,0.45,0.0
3.0,0.06622600552709046,0.14260056963188233,0.005539993949416622,247.52746354290528,0.3805879768033068,0.4931339639914556,2.1268564356435644,0.0,posthoc_conservative_fraction_0p8_and_ten_waits,15.034411133421038,1.0,empirical_iid_waiting_law_sufficient,0.45,0.0
