held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,16.0,0.0,uu,1.0758700931852578,1.0226280852426721,1.0226280852426721,0.0
1.0,16.0,0.0,up,0.00045969715964446617,0.03105475980298654,0.03105475980298654,0.0
1.0,16.0,0.0,pu,0.00045969715964446617,0.03105475980298654,0.03105475980298654,0.0
1.0,16.0,0.0,pp,1.0083776010637144,1.0002578649714056,1.0002578649714056,0.0
1.0,16.0,1.0,uu,1.0597995682425545,1.01277526619954,1.0347387287497418,0.0
1.0,16.0,1.0,up,0.17850588300308545,0.2071419111573594,0.03366395215759924,0.0
1.0,16.0,1.0,pu,-0.1776311985359166,-0.1409138628226645,0.03366395215759924,0.0
1.0,16.0,1.0,pp,0.9565207113071095,0.943033889325015,0.9843699558579999,0.0
1.0,16.0,2.0,uu,1.0129765004436355,0.9728214593279201,1.0461737648604792,0.0
1.0,16.0,2.0,up,0.3398974281646175,0.36575119183089255,0.031007480395407832,0.0
1.0,16.0,2.0,pu,-0.33906884429035195,-0.29746452196626344,0.031007480395407832,0.0
1.0,16.0,2.0,pp,0.8257180333333656,0.8085899259942351,0.9671976413052125,0.0
1.0,16.0,3.0,uu,0.9395889408095746,0.907131916691365,1.0561723268516559,0.0
1.0,16.0,3.0,up,0.47186731929754,0.4947313836817986,0.02469993717615503,0.0
1.0,16.0,3.0,pu,-0.47108523600670493,-0.4275803388571088,0.02469993717615503,0.0
1.0,16.0,3.0,pp,0.6329046953572945,0.6177712978392988,0.9623394342265291,0.0
1.0,16.0,4.0,uu,0.8458175116350471,0.8211835586222155,1.0638464524290243,0.0
1.0,16.0,4.0,up,0.5652549162561832,0.5857018391730501,0.020727504366484222,0.0
1.0,16.0,4.0,pu,-0.5645163671103043,-0.5193658282997963,0.020727504366484222,0.0
1.0,16.0,4.0,pp,0.40090011173283757,0.39032652837700355,0.965700070971605,0.0
1.0,16.0,5.0,uu,0.7391034317856546,0.7224965683132022,1.0702379426981927,0.0
1.0,16.0,5.0,up,0.6152746859067116,0.6341187185961791,0.01703204410601836,0.0
1.0,16.0,5.0,pu,-0.6145545455819454,-0.5709426965292661,0.01703204410601836,0.0
1.0,16.0,5.0,pp,0.15493251031455232,0.14961217827541445,0.9701156483167634,0.0
1.0,16.0,6.0,uu,0.6273453082757401,0.6182207995864942,1.075474527466949,0.0
1.0,16.0,6.0,up,0.6216186379993176,0.6400949118757413,0.01402173314394223,0.0
1.0,16.0,6.0,pu,-0.6209055008523284,-0.579626585452917,0.01402173314394223,0.0
1.0,16.0,6.0,pp,-0.08082976825359621,-0.08176619022234262,0.9701261564715952,0.0
1.0,16.0,7.0,uu,0.518120766354296,0.5164489914130754,1.0807420121079057,0.0
1.0,16.0,7.0,up,0.5880424591040038,0.6069679374601401,0.01540967726544444,0.0
1.0,16.0,7.0,pu,-0.5873041157236883,-0.5443653281742257,0.01540967726544444,0.0
1.0,16.0,7.0,pp,-0.2859716516874288,-0.2804289416791438,0.9597239470286341,0.0
1.0,16.0,8.0,uu,0.4180338777636759,0.423027583721339,1.0854844725751676,0.0
1.0,16.0,8.0,up,0.5214707615540398,0.5425648613165047,0.0076695506894111755,0.0
1.0,16.0,8.0,pu,-0.5206851613313261,-0.4895924335399958,0.0076695506894111755,0.0
1.0,16.0,8.0,pp,-0.4457006422206087,-0.4326127662813524,0.9581689043395435,0.0
1.0,16.0,9.0,uu,0.33223371628929355,0.34120139644509756,1.0849845457044676,0.0
1.0,16.0,9.0,up,0.43094209106648007,0.45456439442712876,-0.00906644647228281,0.0
1.0,16.0,9.0,pu,-0.4300782940484332,-0.4166769405539215,-0.00906644647228281,0.0
1.0,16.0,9.0,pp,-0.551555886250404,-0.5382292110105313,0.9703033057236649,0.0
1.0,16.0,10.0,uu,0.26414238856173977,0.2741430370619884,1.0803903922118985,0.0
1.0,16.0,10.0,up,0.32641685115744457,0.35161126835822326,-0.012153558754839396,0.0
1.0,16.0,10.0,pu,-0.32547570538272913,-0.3275358017248132,-0.012153558754839396,0.0
1.0,16.0,10.0,pp,-0.6013735831731787,-0.5996209408402257,1.0038925591773926,0.0
1.0,16.0,11.0,uu,0.21538365169037,0.22312588389322227,1.076006615829363,0.0
1.0,16.0,11.0,up,0.21775997951491313,0.24248916430893405,-0.00817028193187761,0.0
1.0,16.0,11.0,pu,-0.2167399706399408,-0.23801521029275668,-0.00817028193187761,0.0
1.0,16.0,11.0,pp,-0.5983155342904005,-0.6070168020629026,1.0417725382023535,0.0
1.0,16.0,12.0,uu,0.18588291243175017,0.18850745530751217,1.0757613803480506,0.0
1.0,16.0,12.0,up,0.11384613020525776,0.13641489158594888,0.008404082578310875,0.0
1.0,16.0,12.0,pu,-0.11277071117549758,-0.14700213636340437,0.008404082578310875,0.0
1.0,16.0,12.0,pp,-0.5499124089425589,-0.5669307069876767,1.0575004914713753,0.0
1.0,16.0,13.0,uu,0.17410142375911386,0.169439903040157,1.0815745343490888,0.0
1.0,16.0,13.0,up,0.02195934229532869,0.04105982582069878,0.024107303103843947,0.0
1.0,16.0,13.0,pu,-0.020858022265635268,-0.06542130067582938,0.024107303103843947,0.0
1.0,16.0,13.0,pp,-0.46636296201634353,-0.48984152855876,1.0429498290431178,0.0
1.0,16.0,14.0,uu,0.17736563144984033,0.16444644050097876,1.0914023805320061,0.0
1.0,16.0,14.0,up,-0.05265810737011963,-0.03818211637871883,0.02938119230386021,0.0
1.0,16.0,14.0,pu,0.05373123781439455,0.009081073032225837,0.02938119230386021,0.0
1.0,16.0,14.0,pp,-0.3598168509328852,-0.3870673722388984,1.0125095202166658,0.0
1.0,16.0,15.0,uu,0.1922584629786899,0.17047888604308292,1.1012998079974614,0.0
1.0,16.0,15.0,up,-0.10695637436526961,-0.09816514118652722,0.02607738358034907,0.0
1.0,16.0,15.0,pu,0.10799822545573905,0.060006837913557536,0.02607738358034907,0.0
1.0,16.0,15.0,pp,-0.24261246942297626,-0.2779654577230969,0.9804294435975822,0.0
1.0,16.0,16.0,uu,0.21500943480582976,0.18503172176575763,1.107945591884537,0.0
1.0,16.0,16.0,up,-0.14003837692775736,-0.13754447020981161,0.009272110307223436,0.0
1.0,16.0,16.0,pu,0.14106245659685382,0.10100698022627583,0.009272110307223436,0.0
1.0,16.0,16.0,pp,-0.126093578523153,-0.16141494638212917,0.9527279971378534,0.0
1.0,16.0,17.0,uu,0.24186245713394458,0.20538853498986576,1.107500003326528,0.0
1.0,16.0,17.0,up,-0.15292251231022577,-0.15745401537552017,-0.00925495408997574,0.0
1.0,16.0,17.0,pu,0.15393186360072952,0.12232526953250683,-0.00925495408997574,0.0
1.0,16.0,17.0,pp,-0.019793906728280297,-0.06191335374884619,0.9571948644403174,0.0
