model,mean_observed_diffusion,mean_predicted_diffusion,mean_coverage,standard_deviation_coverage,standard_error_coverage,ci95_low_coverage,ci95_high_coverage,ci95_critical_value,ci95_method,replicates_within_tolerance,independent_replicate_count,temperature,calibration_time,heldout_time,thermodynamic_claim_allowed
fixed_phop_direction_correlated,2.8555696998308933e-05,1.3642317299540098e-05,0.49235489032578955,0.11337192942557635,0.06545531397240376,0.21072340497522696,0.7739863756763521,4.302652729911275,student_t_independent_replicates,0.0,3.0,0.45,5000.0,5000.0,0.0
debye_waller_uncorrelated,2.8555696998308933e-05,5.515667109971957e-05,1.9909971298587024,0.4597102299635335,0.26541382501867083,0.849013611085925,3.13298064863148,4.302652729911275,student_t_independent_replicates,0.0,3.0,0.45,5000.0,5000.0,0.0
debye_waller_direction_correlated,2.8555696998308933e-05,2.7023111358416756e-05,0.9779045410378439,0.24417422133691974,0.14097405241803787,0.3713421495547181,1.5844669325209697,4.302652729911275,student_t_independent_replicates,1.0,3.0,0.45,5000.0,5000.0,0.0
