replicate,temperature,lag,block_size,block_count,calibration_jump_count,raw_calibration_jump_msd,raw_calibration_jump_fourth_moment,calibration_green_kubo_factor,calibration_block_asymptotic_green_kubo_factor,calibration_block_finite_green_kubo_factor,event_correlation_lag_count,correlated_jump_kernel_maximum_count,correlated_jump_kernel_minimum_samples,kernel_mode,count_tail_probability,predicted_event_msd,predicted_event_fourth_moment,predicted_mean_count,predicted_count_variance,heldout_events_used_in_prediction,macro_fit_parameter_count,jump_direction_correlation_included,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_event_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_event_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_event_fs_k7p25,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error
1.0,0.58,20.0,20.0,1.0,34616.0,0.3326365126259139,0.23788227580204316,1.050308820062796,0.6670718421059613,1.0,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.16074044306290508,0.06718441847835147,0.2925684690211053,0.3213590081431769,0.0,0.0,1.0,0.0,0.901188957215072,0.8977103424506039,0.003478614764468091,0.901188957215072,0.680641858889788,0.6706091522002315,0.01003270668955647,0.680641858889788,0.3441137718193607,0.3302563514537057,0.013857420365655015,0.3441137718193607,0.16074044306290508,0.16660841604263024,0.03522014745175728,0.5601612629846389,0.5385549106326213,0.021606352352017577
1.0,0.58,100.0,20.0,5.0,34616.0,0.3326365126259139,0.23788227580204316,1.050308820062796,0.6670718421059613,0.7387327732395544,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.5937211514963385,0.6616409505448873,1.4628423451055266,1.9083626944046275,0.0,0.0,1.0,0.0,0.679646631241403,0.6748742076596806,0.004772423581722363,0.679646631241403,0.2356496222980458,0.25770578929215066,0.022056166994104842,0.2356496222980458,0.01665616693880663,0.03757140173250425,0.02091523479369762,0.01665616693880663,0.5937211514963385,0.6244853324897498,0.049263256305409286,0.12618200906554766,0.2825033492140283,0.15632134014848065
1.0,0.58,200.0,20.0,10.0,34616.0,0.3326365126259139,0.23788227580204316,1.050308820062796,0.6670718421059613,0.7029154737256489,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,1.129869440696214,2.2698398180279318,2.925684690211053,4.134369177466629,0.0,0.0,1.0,0.0,0.4796077818401714,0.4733264732392782,0.0062813086008932095,0.4796077818401714,0.06398763394772364,0.07641999280253814,0.012432358854814501,0.06398763394772364,0.00041257996792671506,0.0035374896626027496,0.0031249096946760345,0.00041257996792671506,1.129869440696214,1.1970958003749623,0.05615787780534465,0.0668170193103601,0.17003137790337108,0.10321435859301098
1.0,0.58,400.0,20.0,20.0,34616.0,0.3326365126259139,0.23788227580204316,1.050308820062796,0.6670718421059613,0.6849936579158051,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,2.2021237750267515,8.362979274316727,5.851369380422106,8.720812988202482,0.0,0.0,1.0,0.0,0.23891655654376026,0.2367746362454057,0.002141920298354555,0.23891655654376026,0.0047398151691667445,0.005007075510426834,0.0002672603412600897,0.0047398151691667445,2.596121259461564e-07,-0.0015893870932790705,0.0015896467054050166,2.596121259461564e-07,2.2021237750267515,2.302522122507715,0.043603640763988816,0.034734237495623876,0.08241548506967367,0.04768124757404979
1.0,0.58,600.0,20.0,30.0,34616.0,0.3326365126259139,0.23788227580204316,1.050308820062796,0.6670718421059613,0.6790197193125238,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,3.274377890804293,18.28918392343172,8.77705407063316,13.34527213863808,0.0,0.0,1.0,0.0,0.11902691582671379,0.10971466137823888,0.009312254448474916,0.11902691582671379,0.00035165515473223433,0.003664696471714173,0.003313041316981939,0.00035165515473223433,1.6575510032078852e-10,-0.002099056579231919,0.0020990567449870193,1.6575510032078852e-10,3.274377890804293,3.5092386999443375,0.06692642741679833,0.02350031187970636,0.04880248109629837,0.025302169216592008
2.0,0.58,20.0,20.0,1.0,34996.0,0.32606577777008633,0.2242255992247785,1.1112210496248789,0.6672425842793999,1.0,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.1605790142720973,0.06645019220344635,0.2925407376418617,0.3210666649428907,0.0,0.0,1.0,0.0,0.9011468855469859,0.8963572500530242,0.004789635493961608,0.9011468855469859,0.6797441713316144,0.6669561225844329,0.012788048747181424,0.6797441713316144,0.3426429090183236,0.3258010831779263,0.01684182584039734,0.3426429090183236,0.1605790142720973,0.16893775764805471,0.04947824271096957,0.5462151227419145,0.5268513866039641,0.019363736137950394
2.0,0.58,100.0,20.0,5.0,34996.0,0.32606577777008633,0.2242255992247785,1.1112210496248789,0.6672425842793999,0.7332114987381124,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.5886919050132196,0.6486192185574093,1.4627036882093085,1.894618217467213,0.0,0.0,1.0,0.0,0.6815251908375799,0.6661168891936906,0.015408301643889288,0.6815251908375799,0.23708468043543574,0.24525439631843157,0.008169715882995837,0.23708468043543574,0.016785050879348964,0.03400429515488748,0.017219244275538517,0.016785050879348964,0.5886919050132196,0.6429152367660607,0.0843397833057914,0.12296167611768061,0.2515771495978034,0.1286154734801228
2.0,0.58,200.0,20.0,10.0,34996.0,0.32606577777008633,0.2242255992247785,1.1112210496248789,0.6672425842793999,0.7009185403480442,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,1.1255281584053942,2.248465499798072,2.925407376418616,4.080928739026174,0.0,0.0,1.0,0.0,0.4805188882649483,0.45825187248330496,0.022267015781643362,0.4805188882649483,0.06395882495758522,0.06963898340301387,0.005680158445428657,0.06395882495758522,0.00040584627643914975,0.0013632909193586297,0.0009574446429194799,0.00040584627643914975,1.1255281584053942,1.239448946514999,0.09191244902012274,0.06493904250707216,0.13004647316350693,0.06510743065643476
2.0,0.58,400.0,20.0,20.0,34996.0,0.32606577777008633,0.2242255992247785,1.1112210496248789,0.6672425842793999,0.684080562313722,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,2.1969796770024654,8.31505216863785,5.850814752837234,8.552625545004808,0.0,0.0,1.0,0.0,0.23926698647025835,0.2134958630148948,0.02577112345536356,0.23926698647025835,0.004693743948505497,-0.0008022615567074514,0.005496005505212948,0.004693743948505497,2.45018313349695e-07,0.0005040949482152632,0.0005038499299019135,2.45018313349695e-07,2.1969796770024654,2.446386944815099,0.10194923102464648,0.03362772443193318,0.06244093818479679,0.02881321375286361
2.0,0.58,600.0,20.0,30.0,34996.0,0.32606577777008633,0.2242255992247785,1.1112210496248789,0.6672425842793999,0.678467902968948,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,3.268431017535177,18.208361695727973,8.77622212925585,13.034101007259537,0.0,0.0,1.0,0.0,0.11914001637929639,0.09566220281545856,0.023477813563837824,0.11914001637929639,0.0003445102128056694,-0.0033646927489369453,0.003709202961742615,0.0003445102128056694,1.4813068440397546e-10,0.004720807730679563,0.0047208075825488785,1.4813068440397546e-10,3.268431017535177,3.687875142081927,0.11373598844508603,0.022688742781148408,0.05260664913915636,0.02991790635800795
3.0,0.58,20.0,20.0,1.0,35587.0,0.33353090708205124,0.23325995853559836,1.0317019974699746,0.660574976757555,1.0,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.1629950794906973,0.06871174714662626,0.2957582857049302,0.323675624126665,0.0,0.0,1.0,0.0,0.8998718510859864,0.8951448081875134,0.004727042898473033,0.8998718510859864,0.6768805714275165,0.6632518336417978,0.013628737785718603,0.6768805714275165,0.3393188717592268,0.3201497833263796,0.019169088432847203,0.3393188717592268,0.1629950794906973,0.17092970264885723,0.046420388236795285,0.5517910894959162,0.5122257578577492,0.039565331638167
3.0,0.58,100.0,20.0,5.0,35587.0,0.33353090708205124,0.23325995853559836,1.0317019974699746,0.660574976757555,0.7430566502888092,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,0.6055728638582525,0.6851141585048305,1.4787914285246508,1.844465328200628,0.0,0.0,1.0,0.0,0.674292317173192,0.6619462153179251,0.012346101855266967,0.674292317173192,0.22830576093916372,0.23653364403034716,0.008227883091183441,0.22830576093916372,0.015197278114056528,0.030106976491711682,0.014909698377655154,0.015197278114056528,0.6055728638582525,0.6490628751575198,0.06700431185301248,0.12093745599031092,0.23437116016865156,0.11343370417834064
3.0,0.58,200.0,20.0,10.0,35587.0,0.33353090708205124,0.23325995853559836,1.0317019974699746,0.660574976757555,0.7037440230496961,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,1.1470681890237275,2.3301338213257017,2.9575828570493017,3.867737155241171,0.0,0.0,1.0,0.0,0.4738616179952219,0.4559535285015441,0.017908089493677837,0.4738616179952219,0.06066289304836733,0.06618843322415519,0.005525540175787852,0.06066289304836733,0.00034767726791412075,0.0027120523878897368,0.002364375119975616,0.00034767726791412075,1.1470681890237275,1.2379225427306952,0.07339259975551848,0.06256043868575034,0.13217344675646325,0.06961300807071291
3.0,0.58,400.0,20.0,20.0,35587.0,0.33353090708205124,0.23325995853559836,1.0317019974699746,0.660574976757555,0.6821594999036256,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,2.2237727661970466,8.504763952805524,5.915165714098601,7.943407141074026,0.0,0.0,1.0,0.0,0.23497848827530962,0.2209161290659797,0.014062359209329911,0.23497848827530962,0.0043487160091652075,0.006469244519058826,0.0021205285098936186,0.0043487160091652075,1.9014349777637675e-07,0.0010259201452419485,0.0010257300017441722,1.9014349777637675e-07,2.2237727661970466,2.3995390168923434,0.07325000737972276,0.031888328485935924,0.08466089025698564,0.05277256177104972
3.0,0.58,600.0,20.0,30.0,35587.0,0.33353090708205124,0.23325995853559836,1.0317019974699746,0.660574976757555,0.6749646588549354,8.0,0.0,500.0,state-conditioned-joint-finite-gk,0.0,3.3004777224176944,18.543699440134606,8.872748571147904,12.020356868105907,0.0,0.0,1.0,0.0,0.11652101192722485,0.10778931415413767,0.008731697773087174,0.11652101192722485,0.00031174519628648803,0.0028419058664708344,0.0025301606701843464,0.00031174519628648803,1.0403580399599035e-10,0.0006545515779087175,0.0006545514738729135,1.0403580399599035e-10,3.3004777224176944,3.4956415235298746,0.05583061071866002,0.021395684399912795,0.04958589058535989,0.028190206185447098
