event_lag,pair_count,jump_squared_mean,jump_dot_correlation,correlation_over_q,cumulative_green_kubo_factor,replicate,temperature,primary_correlation_truncation,used_in_primary_prediction,thermodynamic_claim_allowed
1.0,79155.0,0.06685790296787428,-0.016143655472342158,-0.24146218705213213,0.5170756258957357,1.0,0.45,2.0,1.0,0.0
2.0,76129.0,0.06685790296787428,-0.000941196976968717,-0.014077572511075755,0.4889204808735843,1.0,0.45,2.0,1.0,0.0
3.0,73189.0,0.06685790296787428,-0.001131435238813158,-0.016922984248501197,0.4550745123765819,1.0,0.45,2.0,0.0,0.0
4.0,70328.0,0.06685790296787428,-0.00041315997380275763,-0.006179672940105287,0.4427151664963713,1.0,0.45,2.0,0.0,0.0
5.0,67526.0,0.06685790296787428,0.00010588281061627837,0.0015836992474495626,0.44588256499127044,1.0,0.45,2.0,0.0,0.0
6.0,64798.0,0.06685790296787428,-0.0003133605066366628,-0.0046869628379944085,0.4365086393152816,1.0,0.45,2.0,0.0,0.0
7.0,62141.0,0.06685790296787428,-0.0001445946079651621,-0.0021627152744327157,0.43218320876641625,1.0,0.45,2.0,0.0,0.0
8.0,59561.0,0.06685790296787428,3.228572143956049e-05,0.00048290059972527137,0.4331490099658668,1.0,0.45,2.0,0.0,0.0
9.0,57054.0,0.06685790296787428,-8.389982198102016e-05,-0.0012548976000837874,0.4306392147656992,1.0,0.45,2.0,0.0,0.0
10.0,54621.0,0.06685790296787428,0.00011512846004155875,0.0017219873033839969,0.43408318937246726,1.0,0.45,2.0,0.0,0.0
1.0,79539.0,0.06696280252995465,-0.015666113876040045,-0.2339524823357278,0.5320950353285444,2.0,0.45,2.0,1.0,0.0
2.0,76499.0,0.06696280252995465,-0.0010995558609815709,-0.016420397884179108,0.4992542395601862,2.0,0.45,2.0,1.0,0.0
3.0,73528.0,0.06696280252995465,-0.0006198909275610944,-0.009257242889196535,0.4807397537817931,2.0,0.45,2.0,0.0,0.0
4.0,70647.0,0.06696280252995465,-0.00036109979785363486,-0.00539254308676975,0.46995466760825366,2.0,0.45,2.0,0.0,0.0
5.0,67828.0,0.06696280252995465,7.692608816857939e-05,0.0011487883610332443,0.4722522443303201,2.0,0.45,2.0,0.0,0.0
6.0,65091.0,0.06696280252995465,-6.219027386070057e-05,-0.0009287286599583526,0.4703947870104034,2.0,0.45,2.0,0.0,0.0
7.0,62438.0,0.06696280252995465,-9.266127398674509e-05,-0.0013837723405512286,0.467627242329301,2.0,0.45,2.0,0.0,0.0
8.0,59847.0,0.06696280252995465,-0.0002339959378332237,-0.003494416735747427,0.46063840885780605,2.0,0.45,2.0,0.0,0.0
9.0,57334.0,0.06696280252995465,-0.0002689352390277448,-0.004016188523582795,0.4526060318106405,2.0,0.45,2.0,0.0,0.0
10.0,54898.0,0.06696280252995465,2.2279699401939228e-05,0.0003327175470586493,0.45327146690475784,2.0,0.45,2.0,0.0,0.0
1.0,76912.0,0.06532154655713679,-0.01603653063909675,-0.24550139248570285,0.5089972150285943,3.0,0.45,2.0,1.0,0.0
2.0,73820.0,0.06532154655713679,-0.0009099780451068829,-0.013930748628416577,0.4811357177717611,3.0,0.45,2.0,1.0,0.0
3.0,70801.0,0.06532154655713679,-0.0006300613706862739,-0.009645536639815454,0.46184464449213025,3.0,0.45,2.0,0.0,0.0
4.0,67855.0,0.06532154655713679,-0.0006095862209772406,-0.009332084941437129,0.4431804746092559,3.0,0.45,2.0,0.0,0.0
5.0,64974.0,0.06532154655713679,-5.381561341594938e-05,-0.0008238570005209053,0.4415327606082141,3.0,0.45,2.0,0.0,0.0
6.0,62161.0,0.06532154655713679,-0.00011707055643183972,-0.0017922196059678111,0.4379483213962785,3.0,0.45,2.0,0.0,0.0
7.0,59428.0,0.06532154655713679,-9.818156971753079e-05,-0.0015030502933921094,0.4349422208094944,3.0,0.45,2.0,0.0,0.0
8.0,56768.0,0.06532154655713679,-0.0002553000802792967,-0.0039083593964816124,0.4271255020165311,3.0,0.45,2.0,0.0,0.0
9.0,54174.0,0.06532154655713679,-5.03209147741716e-06,-7.703570632724666e-05,0.42697143060387666,3.0,0.45,2.0,0.0,0.0
10.0,51666.0,0.06532154655713679,-0.00013421885787632593,-0.0020547409691061835,0.4228619486656642,3.0,0.45,2.0,0.0,0.0
