model,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se,temperature,calibration_time,block_size,surrogate_realizations_per_replicate,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
contiguous_empirical_path,20.0,5.0,0.16000069220645705,0.16644706753509889,0.03872928147131516,0.0,0.550427393597344,0.5344887762388694,0.015938617358474683,0.0,0.9015313774559711,0.8977986067917458,0.0037327706642252823,0.0,0.6809993915045937,0.6708725623542008,0.010126829150392869,0.0,0.34377453711324224,0.33086790404330846,0.012906633069933782,0.0,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,100.0,5.0,0.5869460351955275,0.6277432713959149,0.06499032018243145,0.0,0.2982069820061045,0.27259878318412567,0.025608198821978845,0.0,0.6911158270110693,0.6729530928901382,0.018162734120931168,0.0,0.281597774158482,0.2550264768632297,0.02657129729525226,0.0,0.049201010595657534,0.03791104562476884,0.011289964970888695,0.0,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,200.0,5.0,1.1164893983238335,1.2114563032671688,0.07839069778020025,0.0,0.17436621449022552,0.16461288054797313,0.00975333394225239,0.0,0.4977969118890354,0.4684955850761498,0.02930132681288561,0.0,0.09630051126317093,0.07669663841520627,0.019603872847964665,0.0,0.005473765853176561,0.0029394292791792066,0.0025343365739973543,0.0,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,400.0,5.0,2.1669855644528537,2.3739410739101037,0.0871780313891174,0.0,0.09158793234382126,0.09624093789673074,0.004653005552909484,0.0,0.25791204687141955,0.22856523099152498,0.029346815879894572,0.0,0.011129063197042117,0.00533568134770505,0.005793381849337067,0.0,0.001995258175980473,-0.00020390029128960173,0.0021991584672700747,0.0,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,600.0,5.0,3.2649745190707877,3.5487077013310584,0.07995394553173463,0.0,0.05060963108037728,0.06492829891012106,0.014318667829743774,0.0,0.12850165799376792,0.10992628341556979,0.018575374578198134,0.0,0.0020301232058522554,0.001625518978447396,0.0004046042274048593,0.0,0.00052086189557802,0.002668049891866133,0.002147187996288113,0.0,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,20.0,5.0,0.1600006922064571,0.16644706753509889,0.038729281471314825,1.9930815565343774e-17,0.053937161866782046,0.5344887762388694,0.4805516143720873,0.0003760634761997791,0.8990992030061591,0.8977986067917458,0.0013005962144132521,2.39248264097594e-06,0.6558227116045959,0.6708725623542008,0.015049850749604854,2.694416657516614e-05,0.2586490152261673,0.33086790404330846,0.07221888881714117,0.00011702944532813715,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,100.0,5.0,0.5953123238108711,0.6277432713959149,0.051662756197970894,0.0001482197406061498,0.10254226623958466,0.27259878318412567,0.170056516944541,0.000557605128893174,0.6778165210254702,0.6729530928901382,0.004863428135332026,4.7036848834527246e-05,0.2298718960435902,0.2550264768632297,0.025154580819639505,0.00015130095951605474,0.01518871610789281,0.03791104562476884,0.022722329516876028,0.0002109376428529875,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,200.0,5.0,1.139395260026467,1.2114563032671688,0.05948299005615054,0.0004139338176685052,0.11018265049665135,0.16461288054797313,0.054430230051321776,0.0008742664095319914,0.4825205738333045,0.4684955850761498,0.014024988757154688,0.00015144211598788147,0.07381583247233584,0.07669663841520627,0.0028808059428704347,0.00026813641886091013,0.0016819098344947989,0.0029394292791792066,0.0012575194446844077,0.00021236567643516174,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,400.0,5.0,2.236328576756345,2.3739410739101037,0.05796794986452536,0.0008882012041251154,0.10098915443831498,0.09624093789673074,0.004748216541584235,0.0010896661005333108,0.2503845632428405,0.22856523099152498,0.021819332251315493,0.0003993466080639641,0.010135932482486874,0.00533568134770505,0.004800251134781824,0.0004070342456725741,-0.00023977109804959015,-0.00020390029128960173,3.5870806759988425e-05,0.00026724866834500877,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,600.0,5.0,3.338353505709345,3.5487077013310584,0.05927628120591988,0.0009024691529004245,0.06668977823514663,0.06492829891012106,0.0017614793250255723,0.0012949390975981014,0.12777594628890873,0.10992628341556979,0.017849662873338945,0.0004654952487511971,-0.0009775040884580418,0.001625518978447396,0.002603023066905438,0.0004797064670943071,0.0003983023685343159,0.002668049891866133,0.002269747523331817,0.0003499218659573413,0.58,750.0,20.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
