clone_index,target_count,heldout_state_r_squared,predicted_heldout_diffusion,observed_heldout_diffusion,diffusion_relative_error,force_auxiliary_fs_max_relative_error,force_auxiliary_ngp_max_absolute_error,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,transition_v_from_v,transition_v_from_force,transition_force_from_v,transition_force_from_force,coordinate_definition,auxiliary_variable,model,prediction_scope
1.0,8.0,0.9856898148693672,0.004101704998748312,0.02092000267838992,0.8039338205732967,0.3271050076216959,0.2406779666747616,0.0,0.0,0.9900948014610603,0.004868618374294147,-2.479096783784632,0.987048245634235,raw_tagged_A_particle,exact_KA_pair_force_from_full_recorded_configuration,two_variable_linear_Markov_embedding_with_joint_empirical_innovation,first_half_v_pairforce_to_second_half_raw_MSD_NGP_Fs
2.0,8.0,0.9835309467821025,0.003960324049420551,0.017130909852727146,0.7688199819234884,0.2343046892384637,0.22913432169959846,0.0,0.0,0.9912174440836091,0.005065061741502625,-2.331622456882741,0.9843560420685512,raw_tagged_A_particle,exact_KA_pair_force_from_full_recorded_configuration,two_variable_linear_Markov_embedding_with_joint_empirical_innovation,first_half_v_pairforce_to_second_half_raw_MSD_NGP_Fs
3.0,8.0,0.9875703790201791,0.004001521919463718,0.012549528761351441,0.6811416591364663,0.15225753823604027,0.2757429890373929,0.0,0.0,0.988096228716374,0.005083384808759759,-2.55555420348986,0.9879206521461823,raw_tagged_A_particle,exact_KA_pair_force_from_full_recorded_configuration,two_variable_linear_Markov_embedding_with_joint_empirical_innovation,first_half_v_pairforce_to_second_half_raw_MSD_NGP_Fs
4.0,8.0,0.9854656617716848,0.004118708295968452,0.017287619680262083,0.7617538809769784,0.24646439896182293,0.217700425401681,0.0,0.0,0.9879114732593891,0.005029515432588686,-2.4442666648265936,0.9892569548363972,raw_tagged_A_particle,exact_KA_pair_force_from_full_recorded_configuration,two_variable_linear_Markov_embedding_with_joint_empirical_innovation,first_half_v_pairforce_to_second_half_raw_MSD_NGP_Fs
