model,replicate,realization,temperature,lag,block_size,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_base_seed,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
anchor_aware_semi_markov,1.0,0.0,0.45,20.0,20.0,0.04483966912535048,0.039439034265083064,0.13693628560902193,0.8407097990190329,0.6894572448102572,0.1512525542087757,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.970895555142166,0.9742726065504118,0.003377051408245846,0.8917554795438918,0.9031194881740169,0.0113640086301251,0.7034036471366995,0.7273620752980499,0.02395842816135041
anchor_aware_semi_markov,1.0,0.0,0.45,100.0,20.0,0.07587730629531017,0.0570676716703697,0.32960227874000836,1.5919288127274713,1.6297339342658397,0.03780512153836835,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523947796111536,0.9637263303218477,0.011331550710694138,0.8353447869846181,0.8712844740845151,0.03593968709989703,0.6017900123782727,0.6701586799370863,0.06836866755881366
anchor_aware_semi_markov,1.0,0.0,0.45,200.0,20.0,0.10968342520164562,0.07543971565197483,0.45392150876664106,2.0498241641471506,2.0528096750212144,0.002985510874063735,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9335040138881681,0.9531991465279716,0.019695132639803492,0.7835675647434898,0.8424536039827798,0.05888603923929003,0.5238873163778845,0.6251232912663965,0.10123597488851199
anchor_aware_semi_markov,1.0,0.0,0.45,500.0,20.0,0.2053640435078252,0.12726889615088294,0.6136232003172006,2.53532292940402,2.240207131422164,0.2951157979818557,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8844386353736862,0.9252086699236458,0.040770034549959644,0.6671328404991609,0.7741688168233672,0.10703597632420636,0.38308293265089965,0.533395281820343,0.15031234916944336
anchor_aware_semi_markov,1.0,0.0,0.45,1000.0,20.0,0.3580976344933917,0.21371648432894896,0.6755732980438403,2.632712485907822,2.035011317785304,0.597701168122518,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8159554616733194,0.8825336715723144,0.06657820989899499,0.5370516397742514,0.6840225543370759,0.14697091456282452,0.2654538164892042,0.43196745142274323,0.16651363493353905
anchor_aware_semi_markov,1.0,0.0,0.45,2000.0,20.0,0.662325655935737,0.38494087781746295,0.7205906000188647,2.6320462994750735,1.5320813966552245,1.099964902819849,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7053852130259393,0.8061233874084176,0.10073817438247834,0.38318499338777096,0.5436221107653332,0.16043711737756222,0.16516410657346178,0.29754222992878293,0.13237812335532115
anchor_aware_semi_markov,1.0,0.0,0.45,3000.0,20.0,0.9664238206119027,0.5507382500974113,0.7547788272214022,2.7855754391684067,1.3301724324025965,1.4554030067658101,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618671436701384,0.7425593344166428,0.12388789771525877,0.29287812179138023,0.44897180267658227,0.15609368088520204,0.12506412771626307,0.22221602781950803,0.09715190010324495
state_schedule_without_anchor_geometry,1.0,0.0,0.45,20.0,20.0,0.04579121610464393,0.039439034265083064,0.1610633210961938,0.9476488900695668,0.6894572448102572,0.2581916452593096,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703405486469597,0.9742726065504118,0.00393205790345208,0.8902358082747782,0.9031194881740169,0.012883679899238665,0.7014171016371318,0.7273620752980499,0.02594497366091808
state_schedule_without_anchor_geometry,1.0,0.0,0.45,100.0,20.0,0.08093513770701759,0.0570676716703697,0.4182309412325331,1.7546439096571298,1.6297339342658397,0.12490997539129012,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9496123705605565,0.9637263303218477,0.014113959761291262,0.8286064565041328,0.8712844740845151,0.042678017580382366,0.5942860639608292,0.6701586799370863,0.07587261597625716
state_schedule_without_anchor_geometry,1.0,0.0,0.45,200.0,20.0,0.11856264114697553,0.07543971565197483,0.5716209972733619,2.074827132548193,2.0528096750212144,0.02201745752697848,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9288655221064823,0.9531991465279716,0.02433362442148923,0.7734687712522226,0.8424536039827798,0.06898483273055722,0.5141567357563868,0.6251232912663965,0.11096655551000978
