model,mean_observed_diffusion,mean_predicted_diffusion,mean_coverage,standard_deviation_coverage,standard_error_coverage,ci95_low_coverage,ci95_high_coverage,ci95_critical_value,ci95_method,replicates_within_tolerance,independent_replicate_count,temperature,calibration_time,heldout_time,thermodynamic_claim_allowed
uncorrelated_event_clock,2.856588657272773e-05,7.968736612421615e-06,0.2872590893888971,0.06408221021595434,0.036997881318447425,0.12807005433314594,0.44644812444464826,4.302652729911275,student_t_independent_replicates,0.0,3.0,0.45,5000.0,5000.0,0.0
correlated_event_clock,2.856588657272773e-05,1.043092519270624e-05,0.37809096998392305,0.099904757715985,0.05768003876064829,0.12991379374903156,0.6262681462188145,4.302652729911275,student_t_independent_replicates,0.0,3.0,0.45,5000.0,5000.0,0.0
