distance_low,distance_high,distance_midpoint,pair_count,count_window,window_count,retained_event_count,count_covariance,all_pair_covariance_null,covariance_excess_over_all_pairs,normalized_covariance_excess,temperature,block_index,spatial_block,threshold,half_window,uncertainty_scope,independent_replicate_count,spatial_model_claim_allowed,thermodynamic_claim_allowed
0.0,1.1,0.55,8225.0,100.0,10.0,445.0,0.0009036006753592373,-4.078585252856428e-06,0.0009076792606120937,0.06793271543782677,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10464.0,100.0,10.0,445.0,0.0008080183606126728,-4.078585252856428e-06,0.0008120969458655292,0.06077912443896612,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15423.0,100.0,10.0,445.0,0.0003170199375469615,-4.078585252856428e-06,0.0003210985227998179,0.024031720810891825,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64185.0,100.0,10.0,445.0,0.00012833808001393092,-4.078585252856428e-06,0.00013241666526678735,0.009910354936091145,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179530.0,100.0,10.0,445.0,2.1555515235860307e-05,-4.078585252856428e-06,2.5634100488716736e-05,0.0019185125512621501,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544314.0,100.0,10.0,445.0,-2.137029132527704e-05,-4.078585252856428e-06,-1.729170607242061e-05,-0.0012941493752541505,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956070.0,100.0,10.0,445.0,-1.4979965455921398e-05,-4.078585252856428e-06,-1.090138020306497e-05,-0.0008158833096120029,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2589515.0,100.0,10.0,445.0,-5.345625654317204e-06,-4.078585252856428e-06,-1.267040401460776e-06,-9.482809487419707e-05,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8151.0,100.0,10.0,508.0,0.0014896354067800706,-4.703285434645718e-06,0.0014943386922147163,0.0969848307707999,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10538.0,100.0,10.0,508.0,0.0011888966873815896,-4.703285434645718e-06,0.0011935999728162354,0.0774664351359649,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15532.0,100.0,10.0,508.0,0.0006192475352867099,-4.703285434645718e-06,0.0006239508207213556,0.04049534758902393,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,63976.0,100.0,10.0,508.0,0.0003480929138315095,-4.703285434645718e-06,0.0003527961992661552,0.02289700444796694,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179708.0,100.0,10.0,508.0,0.00014182320726363707,-4.703285434645718e-06,0.0001465264926982828,0.009509789963826953,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544327.0,100.0,10.0,508.0,3.597299040267754e-05,-4.703285434645718e-06,4.067627583732326e-05,0.002639951537775168,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956513.0,100.0,10.0,508.0,-2.1818590565420063e-05,-4.703285434645718e-06,-1.7115305130774347e-05,-0.0011108090691532763,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2588981.0,100.0,10.0,508.0,-3.251618407919872e-05,-4.703285434645718e-06,-2.7812898644553e-05,-0.0018050989928458593,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8179.0,100.0,10.0,507.0,0.001052153290549916,-4.645845536327073e-06,0.0010567991360862432,0.06943585540160183,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10512.0,100.0,10.0,507.0,0.0009831968938032207,-4.645845536327073e-06,0.0009878427393395478,0.06490514920586145,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15349.0,100.0,10.0,507.0,0.00046430331905219065,-4.645845536327073e-06,0.0004689491645885177,0.03081180261337097,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64189.0,100.0,10.0,507.0,0.00032415794231809063,-4.645845536327073e-06,0.0003288037878544177,0.021603700731162537,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
