time,force_response_x,force_response_y,force_response_z,position_response_x,position_response_y,position_response_z,reference_epsilon,thermodynamic_claim_allowed
0.0,-381.90200915567016,-35.854938542499326,120.88345965757496,1.0000000000000009,0.0,0.0,0.001,0
0.001,-384.95834331539845,-38.15312058335074,125.48412598729897,0.9998090489949929,-1.7927469952994102e-05,6.044172984331908e-05,0.001,0
0.002,-387.54348250604664,-40.38675080450016,130.0483416110012,0.999233139650002,-7.400805501767138e-05,0.0002463675849995184,0.001,0
0.003,-390.04697922834987,-42.61186163894948,134.6311755366254,0.9982696868149343,-0.0001704754000186881,0.0005623417849154322,0.001,0
0.004,-392.6081007876503,-44.34803799919962,139.18409798124998,0.9969161870049259,-0.0003095545999531879,0.0010129471550435198,0.001,0
0.005,-394.8130996663104,-45.49482569279917,143.55494984023485,0.995170079094998,-0.0004929818400167818,0.0016027366300797041,0.001,0
0.006,-396.7557626656486,-46.402269597798806,148.01520299755032,0.9930291580850792,-0.0007219039049877196,0.0023360810450512304,0.001,0
0.007,-398.3120410444556,-46.563561131760075,152.5188096700525,0.9904914813150256,-0.0009972282449810521,0.0032174406701113156,0.001,0
0.008,-399.25008681174745,-46.32462895235179,156.69351923400043,0.9875554924999586,-0.0013191161399861429,0.004251319104975337,0.001,0
0.009000000000000001,-399.7477374594993,-45.44721476790059,160.39645715190076,0.98422025360001,-0.0016873286650120889,0.005441891059998483,0.001,0
0.01,-399.66153539289803,-44.26319837805082,163.7549620343961,0.9804852669600406,-0.0021009884099143505,0.006792859465143408,0.001,0
0.011,-399.0311118428984,-42.99752163979953,166.81335278885,0.9763506187899784,-0.0025589113450408263,0.008307582840094696,0.001,0
0.012,-397.99170315835397,-41.55966525580013,169.56093979194975,0.971816939504988,-0.003059831805041213,0.009989119565068094,0.001,0
0.013000000000000001,-396.18576210979836,-39.42929294164799,171.85231964415058,0.966885268515072,-0.0036023119349692934,0.011840217224889926,0.001,0
0.014,-393.87789499989975,-36.9469196434995,173.90688080469374,0.9615574117649572,-0.004184221355063578,0.013863167210192984,0.001,0
0.015,-390.8092093169504,-34.39864378290025,175.3811002141994,0.9558356771199872,-0.004803077690018753,0.016060024075059687,0.001,0
0.016,-387.57788306875085,-31.049813683899696,176.56825843659973,0.9497231332599165,-0.005456332669906416,0.01843226204489845,0.001,0
0.017,-383.58973422294486,-27.595222841352296,177.3721002192996,0.9432230115249407,-0.006140637465068544,0.020981068269865233,0.001,0
0.018000000000000002,-379.0618858784498,-24.093241875648985,177.6405995018493,0.9363393000499931,-0.006852537484891563,0.023707246589843578,0.001,0
0.019,-373.95240426559974,-20.190021598000207,177.30905813069953,0.9290765266949386,-0.007588530745006317,0.026611065514936527,0.001,0
0.02,-368.4432122560501,-16.098034101950986,176.6348627774199,0.9214398009349534,-0.008344714024999256,0.029692193494801344,0.001,0
0.021,-362.2389433685549,-11.809514444550473,175.2995795890513,0.9134346319550346,-0.00911699534500432,0.03294995634006703,0.001,0
0.022,-355.7182872274005,-6.998618191660366,173.60662987384856,0.9050672240400459,-0.009901086174934903,0.03638301876485173,0.001,0
0.023,-348.53324644980074,-2.0645104353259613,171.22861287139557,0.8963440978350112,-0.01069217562499336,0.03998968781493417,0.001,0
0.024,-340.8019533540489,2.869147414649831,168.1628446946508,0.887272438384934,-0.011485329579952186,0.04376758547985915,0.001,0
0.025,-332.7175298852615,7.659868321414631,164.76922586177352,0.8778599769799778,-0.012275614394985368,0.04771364598998851,0.001,0
0.026000000000000002,-324.11678908265,12.193794977655159,160.70106014220187,0.8681147980399428,-0.013058239340058009,0.051824475730155584,0.001,0
0.027,-315.1802609611014,16.880801471499396,156.13038373955135,0.8580455023200484,-0.013828670485049877,0.05609600653011526,0.001,0
0.028,-305.6454180956951,21.482187801050046,150.90235424043018,0.8476610263350448,-0.014582220829950643,0.060523667710032925,0.001,0
0.029,-295.73011607519993,26.149305153648328,145.26372049240166,0.8369709049300678,-0.015314288995038616,0.06510223124500669,0.001,0
0.03,-285.4368577591,30.941893861200498,139.28448759574863,0.8259850534149127,-0.01602020784996494,0.06982605850014423,0.001,0
0.031,-275.0417573987498,35.8010836155529,132.84325667220108,0.8147137650349467,-0.016695184804960128,0.07468917024500143,0.001,0
0.032,-264.2496151572011,40.50943203574775,125.87030677985211,0.8031674349050499,-0.017334360680076877,0.0796851252451436,0.001,0
0.033,-253.05064969795055,44.89864185703496,118.34866172949887,0.7913568551550787,-0.01793302712504996,0.08480695055013143,0.001,0
0.034,-241.6315238552853,49.08457109922004,110.41267050054016,0.7792932247500106,-0.018486794934990947,0.09004712451998742,0.001,0
0.035,-229.87296921849776,52.740055163699395,101.87420464734842,0.7669879628300347,-0.018991478159979813,0.09539771115996132,0.001,0
0.036000000000000004,-217.70929272229455,55.88737113409792,92.8097167448989,0.7544528279400664,-0.01944342133997079,0.10085017199989998,0.001,0
