record_type,scenario,true_persistence_exchange_ratio,inferred_persistence_exchange_ratio,exchange_mean,persistence_mean,diffusion_coefficient,anchor_wave_number,late_time,observed_late_ngp,predicted_late_ngp,late_ngp_log_residual,max_multik_tau_alpha_abs_log_residual,stokes_einstein_growth_over_poisson,chi4_peak,poisson_chi4_peak,chi4_peak_growth_over_poisson,multik_tau_alpha_consistent,late_ngp_consistent,chi4_proxy_growth_consistent,passes_joint_protocol,wave_number,observed_tau_alpha,predicted_tau_alpha,tau_alpha_log_residual
summary,consistent,8.0,7.999999999999998,1.0,7.999999999999998,0.35,1.1,640.0,0.001729194212431996,0.001729194212431996,0.0,0.0,3.556196224015211,0.17979117201156522,0.06960774201049985,2.5829191813813606,1.0,1.0,1.0,1.0,nan,nan,nan,nan
multik_alpha,consistent,8.0,7.999999999999998,1.0,7.999999999999998,0.35,1.1,640.0,0.001729194212431996,0.001729194212431996,0.0,0.0,3.556196224015211,0.17979117201156522,0.06960774201049985,2.5829191813813606,1.0,1.0,1.0,1.0,0.7,14.326996985777708,14.326996985777708,0.0
multik_alpha,consistent,8.0,7.999999999999998,1.0,7.999999999999998,0.35,1.1,640.0,0.001729194212431996,0.001729194212431996,0.0,0.0,3.556196224015211,0.17979117201156522,0.06960774201049985,2.5829191813813606,1.0,1.0,1.0,1.0,1.1,10.300386195028285,10.300386195028285,0.0
multik_alpha,consistent,8.0,7.999999999999998,1.0,7.999999999999998,0.35,1.1,640.0,0.001729194212431996,0.001729194212431996,0.0,0.0,3.556196224015211,0.17979117201156522,0.06960774201049985,2.5829191813813606,1.0,1.0,1.0,1.0,1.6,8.817018847878288,8.817018847878288,0.0
summary,multik_alpha_mismatch,8.0,7.999999999999998,1.0,7.999999999999998,0.35,1.1,640.0,0.001729194212431996,0.001729194212431996,0.0,0.22314355131420976,3.556196224015211,0.17979117201156522,0.06960774201049985,2.5829191813813606,0.0,1.0,1.0,0.0,nan,nan,nan,nan
multik_alpha,multik_alpha_mismatch,8.0,7.999999999999998,1.0,7.999999999999998,0.35,1.1,640.0,0.001729194212431996,0.001729194212431996,0.0,0.22314355131420976,3.556196224015211,0.17979117201156522,0.06960774201049985,2.5829191813813606,0.0,1.0,1.0,0.0,0.7,14.326996985777708,14.326996985777708,0.0
multik_alpha,multik_alpha_mismatch,8.0,7.999999999999998,1.0,7.999999999999998,0.35,1.1,640.0,0.001729194212431996,0.001729194212431996,0.0,0.22314355131420976,3.556196224015211,0.17979117201156522,0.06960774201049985,2.5829191813813606,0.0,1.0,1.0,0.0,1.1,10.300386195028285,10.300386195028285,0.0
multik_alpha,multik_alpha_mismatch,8.0,7.999999999999998,1.0,7.999999999999998,0.35,1.1,640.0,0.001729194212431996,0.001729194212431996,0.0,0.22314355131420976,3.556196224015211,0.17979117201156522,0.06960774201049985,2.5829191813813606,0.0,1.0,1.0,0.0,1.6,11.02127355984786,8.817018847878288,0.22314355131420976
