replicate,temperature,block_size,count_value,heldout_probability,hybrid_probability
1.0,0.58,20.0,0.0,0.7478247243276234,0.7573735005283475
1.0,0.58,20.0,1.0,0.20972544103456522,0.1992073471784529
1.0,0.58,20.0,2.0,0.03717144058920074,0.03756496650535915
1.0,0.58,20.0,3.0,0.004866019513562999,0.005241388629990845
1.0,0.58,20.0,4.0,0.0003793845722438948,0.0005608838248647865
1.0,0.58,20.0,5.0,3.298996280381694e-05,4.822965242944786e-05
1.0,0.58,50.0,0.0,0.5071711931644797,0.5224166156972633
1.0,0.58,50.0,1.0,0.3092462618248398,0.3006756141238898
1.0,0.58,50.0,2.0,0.13077001322347676,0.12414239298255111
1.0,0.58,50.0,3.0,0.04048418268741735,0.04006559432057928
1.0,0.58,50.0,4.0,0.010253280439426304,0.010181004564033378
1.0,0.58,50.0,5.0,0.0017495676940290916,0.0020966586149617716
1.0,0.58,50.0,6.0,0.00022378191435255823,0.0003610163722790943
1.0,0.58,50.0,7.0,8.137524158274845e-05,5.332681688281047e-05
1.0,0.58,50.0,8.0,2.0343810395687112e-05,6.893904087112629e-06
2.0,0.58,20.0,0.0,0.744641192917055,0.7573466941274358
2.0,0.58,20.0,1.0,0.2112594743049427,0.1992206762385192
2.0,0.58,20.0,2.0,0.03887867116429826,0.03763088293790095
2.0,0.58,20.0,3.0,0.004676327227441051,0.005202452547521283
2.0,0.58,20.0,4.0,0.0005360868955620252,0.0005492534154491497
2.0,0.58,20.0,5.0,8.247490700954234e-06,4.6542042192247406e-05
2.0,0.58,50.0,0.0,0.503448275862069,0.5232274429451748
2.0,0.58,50.0,1.0,0.30918523039365275,0.3006715580110462
2.0,0.58,50.0,2.0,0.13182789136405249,0.12460392323706225
2.0,0.58,50.0,3.0,0.042152375139863696,0.03946900201630702
2.0,0.58,50.0,4.0,0.010599125216152985,0.009722657089963664
2.0,0.58,50.0,5.0,0.0024412572474824534,0.0019326120010388585
2.0,0.58,50.0,6.0,0.0003255009663309938,0.00032076552548494
2.0,0.58,50.0,7.0,2.0343810395687112e-05,4.565437665480057e-05
3.0,0.58,20.0,0.0,0.7411607518412523,0.7547187647686711
3.0,0.58,20.0,1.0,0.21532548722051315,0.2013100207283766
3.0,0.58,20.0,2.0,0.038359079250138144,0.03812012810064305
3.0,0.58,20.0,3.0,0.004659832246039142,0.00524993342676228
3.0,0.58,20.0,4.0,0.00047835446065534564,0.0005512441987687518
3.0,0.58,20.0,5.0,8.247490700954234e-06,4.643959953924085e-05
3.0,0.58,20.0,6.0,8.247490700954234e-06,3.2619198596429245e-06
3.0,0.58,50.0,0.0,0.4956972841013122,0.5153981751049255
3.0,0.58,50.0,1.0,0.31720069168955345,0.3062492426186935
3.0,0.58,50.0,2.0,0.13237717424473605,0.12659298531366048
3.0,0.58,50.0,3.0,0.04172515512155427,0.03975155473563193
3.0,0.58,50.0,4.0,0.01063981283694436,0.00972018671364009
3.0,0.58,50.0,5.0,0.002014037229173024,0.0019199838186074454
3.0,0.58,50.0,6.0,0.0003255009663309938,0.00031680722067505175
3.0,0.58,50.0,7.0,0.0,4.48340942059807e-05
3.0,0.58,50.0,8.0,2.0343810395687112e-05,5.5525819946019555e-06
4.0,0.58,20.0,0.0,0.7490041154978597,0.7596042624023214
4.0,0.58,20.0,1.0,0.20846357495731924,0.19737127979169444
4.0,0.58,20.0,2.0,0.03736113287532268,0.03719536858414849
4.0,0.58,20.0,3.0,0.004717564680945822,0.005215178199677475
4.0,0.58,20.0,4.0,0.00039587955364580327,0.0005615683582371399
4.0,0.58,20.0,5.0,5.773243490667964e-05,4.860428642619121e-05
4.0,0.58,50.0,0.0,0.5128674600752721,0.5249313488041478
4.0,0.58,50.0,1.0,0.30190214627199674,0.30190655414316
4.0,0.58,50.0,2.0,0.1330485199877937,0.12255308980620315
4.0,0.58,50.0,3.0,0.03903977214932357,0.03868331957876214
4.0,0.58,50.0,4.0,0.01063981283694436,0.009610367235863771
4.0,0.58,50.0,5.0,0.0019530057979859627,0.0019355312301727874
4.0,0.58,50.0,6.0,0.0005289390702878649,0.00032598552429352184
4.0,0.58,50.0,7.0,2.0343810395687112e-05,4.7102779147094313e-05
5.0,0.58,20.0,0.0,0.7506618611287516,0.746682583000686
5.0,0.58,20.0,1.0,0.2069542841590446,0.2081850634861732
5.0,0.58,20.0,2.0,0.03718793557060265,0.03931261763972008
5.0,0.58,20.0,3.0,0.0046928222088429596,0.00524444761428103
5.0,0.58,20.0,4.0,0.00048660195135629986,0.000529416147388138
5.0,0.58,20.0,5.0,1.649498140190847e-05,4.281110346791664e-05
5.0,0.58,50.0,0.0,0.5132743362831859,0.49949658918679696
5.0,0.58,50.0,1.0,0.30472993591699726,0.31285893480319293
5.0,0.58,50.0,2.0,0.12938663411657003,0.1335577593906186
5.0,0.58,50.0,3.0,0.04013833791069067,0.04177586449983906
5.0,0.58,50.0,4.0,0.009887091852303936,0.010019692609323417
5.0,0.58,50.0,5.0,0.002339538195504018,0.0019318274675562013
5.0,0.58,50.0,6.0,0.00020343810395687112,0.0003107064286780486
5.0,0.58,50.0,7.0,4.0687620791374224e-05,4.284314358552463e-05
