integer_squared,wave_number,wavevector_count,s4,s4_wavevector_standard_deviation,s4_wavevector_min,s4_wavevector_max,overlap_mean,origin_count,particle_count,temperature,lag,overlap_radius,particle_selection,ensemble_correction_available,independent_replicate_count,xi4_claim_allowed,thermodynamic_claim_allowed
0.0,0.0,1.0,3.2863645652488422,0.0,3.2863645652488422,3.2863645652488422,0.48760579427083334,270.0,4096.0,0.45,1375.0,0.3,all_particles,0.0,1.0,0.0,0.0
1.0,0.41730503688538984,6.0,24.490225150145026,9.466743483992682,11.164772379252854,32.272361927546875,0.48760579427083334,270.0,4096.0,0.45,1375.0,0.3,all_particles,0.0,1.0,0.0,0.0
2.0,0.5901584428099229,12.0,4.673011011602106,2.2756943689336113,2.4942966497128656,8.206720860836251,0.48760579427083334,270.0,4096.0,0.45,1375.0,0.3,all_particles,0.0,1.0,0.0,0.0
3.0,0.7227935261398996,8.0,3.8356301597583444,0.6593231099592844,3.2232065272887187,4.936989627011083,0.48760579427083334,270.0,4096.0,0.45,1375.0,0.3,all_particles,0.0,1.0,0.0,0.0
4.0,0.8346100737707797,6.0,1.8405530009950422,0.39152203261114643,1.3557503010703074,2.3145984953669134,0.48760579427083334,270.0,4096.0,0.45,1375.0,0.3,all_particles,0.0,1.0,0.0,0.0
5.0,0.9331224298287889,24.0,1.465709330521863,0.31138868713999673,1.0868259097838715,2.0795634441787074,0.48760579427083334,270.0,4096.0,0.45,1375.0,0.3,all_particles,0.0,1.0,0.0,0.0
6.0,1.0221844074625182,24.0,1.1497657266624872,0.3145842894429699,0.6893638769195825,1.8629198368812026,0.48760579427083334,270.0,4096.0,0.45,1375.0,0.3,all_particles,0.0,1.0,0.0,0.0
