replicate,temperature,lag,observed_msd,event_msd,residual_msd,factorized_msd,msd_relative_error,observed_ngp,event_ngp,residual_ngp,factorized_ngp,ngp_absolute_error,oracle_uses_heldout_events_and_residual,prediction_claim_allowed,thermodynamic_claim_allowed,observed_fs_k2,event_fs_k2,residual_fs_k2,factorized_fs_k2,absolute_error_fs_k2,observed_fs_k4,event_fs_k4,residual_fs_k4,factorized_fs_k4,absolute_error_fs_k4,observed_fs_k7p25,event_fs_k7p25,residual_fs_k7p25,factorized_fs_k7p25,absolute_error_fs_k7p25,parent_id,source_doi,source_sha256,source_frame_index,velocity_seed,trajectory_sha256,trajectory_size_bytes,trajectory_hash_scope
1.0,0.45,20.0,0.039439034265083064,0.0053882621103231824,0.03684895644229346,0.04223721855261664,0.07094961475795869,0.6894572448102572,32.32249241061462,0.33885538154031924,0.783944920015307,0.09448767520504986,1.0,0.0,0.0,0.9742726065504118,0.9966105435523333,0.9758311211140941,0.9725235840288,0.0017490225216117983,0.9031194881740169,0.9883906503461231,0.9077910737073405,0.8972522097200035,0.005867278454013358,0.7273620752980499,0.9730438626689104,0.7345805674154846,0.7147791127594831,0.012582962538566722,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
1.0,0.45,50.0,0.047091920203606114,0.011141730544692882,0.039768575025626356,0.05091030557031924,0.0810836625519622,1.1419796763703234,19.131000582028932,0.33708008187763006,1.121971699535981,0.02000797683434241,1.0,0.0,0.0,0.9696073952007812,0.9930886163518852,0.9739493505217278,0.9672180129064399,0.002389382294341269,0.8884326746989446,0.977092106921702,0.9009689160012702,0.880329616406643,0.008103058292301624,0.6994078256700247,0.9492713093577293,0.7177154395373103,0.6813066750358407,0.018101150634183938,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
1.0,0.45,100.0,0.0570676716703697,0.01972773765915141,0.042073966542611745,0.061801704201763154,0.08295471661675369,1.6297339342658397,13.017589092437614,0.31171322498034093,1.4709008471839948,0.15883308708184485,1.0,0.0,0.0,0.9637263303218477,0.987959628802832,0.9724579654508093,0.9607492105731388,0.0029771197487089562,0.8712844740845151,0.9615510372349918,0.8955270764059463,0.8610949891901575,0.01018948489435767,0.6701586799370863,0.9189650262053133,0.7041869450407481,0.6471231744028105,0.023035505534275802,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
1.0,0.45,200.0,0.07543971565197483,0.036196468449793746,0.04463308284407049,0.08082955129386424,0.07144559858568766,2.0528096750212144,8.670283913985845,0.29352904272209046,1.828203224170605,0.22460645085060937,1.0,0.0,0.0,0.9531991465279716,0.9783901264175923,0.9708056615428221,0.949826673923796,0.0033724726041755027,0.8424536039827798,0.9342134437421382,0.8895117527961379,0.8309938378287856,0.011459766153994244,0.6251232912663965,0.8695105744363147,0.6891670098397946,0.5992380026083572,0.025885288658039296,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
1.0,0.45,500.0,0.12726889615088294,0.08478442621724737,0.04783424276787337,0.13261866898512073,0.04203519474149764,2.240207131422164,4.9981232558789745,0.2538346931452329,2.075841820379057,0.16436531104310692,1.0,0.0,0.0,0.9252086699236458,0.9517067686380177,0.9687349253397991,0.9219515854619316,0.0032570844617142436,0.7741688168233672,0.8655655623469107,0.8819423667932498,0.7633789406709647,0.010789876152402567,0.533395281820343,0.7601362916148896,0.6701793136429526,0.509427618189566,0.02396766363077707,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
1.0,0.45,1000.0,0.21371648432894896,0.16850724516276103,0.0492012049331517,0.21770845009591272,0.018678792043104187,2.035011317785304,3.241334065458913,0.23253862458094599,1.9537030055293103,0.08130831225599389,1.0,0.0,0.0,0.8825336715723144,0.9093914026843428,0.9678498544450415,0.8801543367216133,0.002379334850701187,0.6840225543370759,0.7698208836346949,0.8786955524495264,0.6764381866325708,0.007584367704505102,0.43196745142274323,0.6276207870185506,0.6619164564623546,0.41543252734543323,0.016534924077309998,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
1.0,0.45,2000.0,0.38494087781746295,0.3357206333503403,0.05026294871056351,0.38598358206090383,0.002708738675281319,1.5320813966552245,2.013410783651838,0.2161877377019148,1.5268444471885783,0.005236949466646212,1.0,0.0,0.0,0.8061233874084176,0.8330025354705461,0.9671617995027523,0.8056482311960487,0.00047515621236893235,0.5436221107653332,0.619562482655818,0.876167206180814,0.5428403294829971,0.0007817812823360804,0.29754222992878293,0.45016216469031295,0.6554444233096423,0.29505628043126236,0.0024859494975205676,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
1.0,0.45,3000.0,0.5507382500974113,0.4999760635059632,0.048931604888796866,0.54890766839476,0.003323868829389398,1.3301724324025965,1.6190108193982309,0.2160399639790358,1.3449442980213813,0.01477186561878474,1.0,0.0,0.0,0.7425593344166428,0.7682273127122006,0.9680156756140633,0.7436560811402771,0.0010967467236343564,0.44897180267658227,0.5135949883079828,0.8792069027973523,0.4515562589625039,0.0025844562859216325,0.22221602781950803,0.339943090557879,0.6624588679026404,0.2251983149222973,0.0029822871027892772,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
1.0,0.45,4096.0,0.7241497850640457,0.6703587835870743,0.04818152424374756,0.7185403078308219,0.0077462941354428105,1.1558463559449477,1.342948879344144,0.20621722581827973,1.1698123101343456,0.013965954189397944,1.0,0.0,0.0,0.6826407927767129,0.70749582600609,0.968492800223342,0.6852046136749644,0.0025638208982515787,0.37539457978844765,0.43195235459999753,0.8808733551043584,0.38049531984172735,0.0051007400532797065,0.17428881389704792,0.2738961929377581,0.6662174676787226,0.182474428065836,0.008185614168788075,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
2.0,0.45,20.0,0.038152024480352674,0.004561305922047741,0.03594075601987846,0.040502061941926196,0.06159666475323555,0.6641054641430317,39.63633704545804,0.33351536829448913,0.7653351032825433,0.10122963913951155,1.0,0.0,0.0,0.975085284203826,0.9971338783825252,0.9764160913224689,0.9736175640554793,0.0014677201483467295,0.9059230562568693,0.990204351307578,0.9099016371415266,0.9009885603594285,0.0049344958974407716,0.7335770580014349,0.97729728114069,0.7397366611556571,0.7229426277075155,0.010634430293919417,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,35000,45157,5890bce162183b3a622ee4bbd45b3fcd97dccc84ed9527142f8d3ea52da05f61,1574632394,complete_file
