block_size,independent_replicate_count,two_mode_selection_fraction,two_mode_transfer_pass_fraction,mean_bic_gain_two_over_one,mean_time_scale_ratio,mean_slow_amplitude_fraction,mean_two_mode_heldout_rmse,mean_single_mode_heldout_rmse,mean_late_signed_error,ci95_low_late_signed_error,ci95_high_late_signed_error,ci95_critical_value
20.0,5.0,0.0,0.0,-1.7297292667120074,66.8622195921757,0.11823565950451842,0.005812802095794216,0.0061243578926034785,-0.0016809699267961032,-0.01070703601479971,0.007345096161207504,2.7764451051977987
50.0,5.0,0.0,0.0,-2.4638365502918944,291.9204567020854,0.020063972816448755,0.009990898268095292,0.010340916720349577,-0.004680930253920036,-0.016910831158913266,0.007548970651073194,2.7764451051977987
