replicate,temperature,block_size,calibration_horizon,scoring_horizon,calibration_point_count,heldout_point_count,calibration_mean_count,heldout_mean_count,heldout_mean_relative_error,calibration_fano_factor,heldout_fano_factor,heldout_fano_relative_error,heldout_count_tv_distance,single_clock_count_tv_distance,hmm_count_tv_distance,poisson_count_tv_distance,two_clock_mean_log_likelihood,single_clock_mean_log_likelihood,hmm_mean_log_likelihood,poisson_mean_log_likelihood,empirical_split_half_pair_tv_distance,two_clock_pair_tv_distance,single_clock_pair_tv_distance,hmm_pair_tv_distance,poisson_pair_tv_distance,zero_lag_amplitude_from_fano,calibration_bic_single_clock,calibration_bic_two_clock,calibration_bic_gain_two_over_one,fast_amplitude_fraction,fast_time,slow_time,time_scale_ratio,maximum_candidate_time,fast_gamma_shape,slow_gamma_shape,fast_retention_probability,slow_retention_probability,single_clock_identity_rmse,two_clock_identity_rmse,hmm_identity_rmse,static_identity_rmse,poisson_identity_rmse,two_clock_late_signed_error,two_clock_late_absolute_error,positive_intensity_generator,finite_recovery_enforced,thermodynamic_claim_allowed,minimum_bic_gain,maximum_mean_relative_error,maximum_fano_relative_error,maximum_count_tv_distance,maximum_identity_rmse,maximum_late_absolute_error,two_clock_cox_transfer_pass,primary_failure,pair_tv_tolerance,gamma_pair_distribution_pass,hmm_pair_distribution_pass,conditional_moment_marginal_memory_pass,single_clock_cox_transfer_pass
1.0,0.45,20.0,300.0,600.0,15.0,30.0,0.1004174549893195,0.10343484894720781,0.029171927919847906,1.4270844595085959,1.4412966206240645,0.009860677470620138,0.004841021311942863,0.004817063664799831,0.00402135411123774,0.03052815593181612,-0.3345814748559477,-0.3345746190470563,-0.33406864040792694,-0.35628634397358644,0.0026336655747187746,0.018380193678100402,0.016431424862595988,0.008849765422890439,0.08318686572219872,0.2992706259695791,-108.59412742393684,-156.44382006794933,47.84969264401249,0.5633324162460887,51.56694784839762,581.7679977530839,11.281800106987749,6000.0,0.11803694850630786,0.11803694850630794,0.678517280171076,0.966206243246657,0.03469262789481378,0.005040637997521286,0.04191652375673288,0.06380711332591929,0.1063532918534867,0.006941265084737684,0.006941265084737684,1.0,1.0,0.0,6.0,0.1,0.2,0.03,0.05,0.05,1.0,none,0.03,1.0,1.0,1.0,1.0
1.0,0.45,50.0,300.0,600.0,6.0,12.0,0.2510436374732988,0.2585871223680195,0.029171927919847795,1.9477602571624604,1.9660910069467,0.0093234492805635,0.02226829826314001,0.021855552866612504,0.007909499661400615,0.10812564376214663,-0.6078520988499746,-0.6077022254784025,-0.6043956527652377,-0.7004542788635078,0.004947244800769331,0.04776732065854452,0.045127050660277473,0.012113155698163949,0.21919001516676517,0.48658979136537994,-40.25123752356684,-62.87046099326474,22.6192234696979,0.6303201490639031,81.55757665425767,1075.1683597932654,13.182936569476121,6000.0,0.13476956392585143,0.1347695639258514,0.5416886840643474,0.9545604132950822,0.053432627664208115,0.005670566320636696,0.06662579168752293,0.08504873071026828,0.18135109693183882,-0.00784134083607159,0.00784134083607159,1.0,1.0,0.0,6.0,0.1,0.2,0.03,0.05,0.05,1.0,none,0.03,0.0,1.0,1.0,0.0
2.0,0.45,20.0,300.0,600.0,15.0,30.0,0.10091058895331095,0.0924943545926152,0.09099187077702697,1.4330372282982042,1.4435856707452228,0.00730711218654112,0.010881446821505016,0.010857148513602194,0.009840010141202279,0.03675890104199717,-0.3083608388297984,-0.3083531690322232,-0.30795218429391974,-0.3290108544435855,0.011010168228605613,0.025919408046812958,0.024218584769163446,0.01775317316866873,0.09120372105567857,0.3021814226085775,-109.62731222921315,-158.6365152055136,49.00920297630046,0.567017884731123,51.56694784839762,531.830022079872,10.313389569679526,6000.0,0.11704298083046807,0.11704298083046816,0.678517280171076,0.9630923241801148,0.042215401948812556,0.01374019955063307,0.04861572520951016,0.0674885230345444,0.1122988650021568,0.012948408042475774,0.012948408042475774,1.0,1.0,0.0,6.0,0.1,0.2,0.03,0.05,0.05,1.0,none,0.03,1.0,1.0,1.0,1.0
2.0,0.45,50.0,300.0,600.0,6.0,12.0,0.2522764723832774,0.231235886481538,0.09099187077702697,1.9574585011866565,1.9776429141941376,0.010206298044308948,0.029877247280817195,0.029480968527434596,0.019909204097035484,0.11622165791158347,-0.5635424783861159,-0.5633995522081588,-0.5602176076913161,-0.651810655778413,0.01947765725611317,0.056539444019418066,0.05424401769748474,0.026018017572481386,0.2287652944042408,0.489133486409149,-40.71740464513279,-60.72254422437547,20.00513957924268,0.6271611520414776,81.55757665425767,850.4664540996165,10.427804368255691,6000.0,0.13394485673603476,0.13394485673603476,0.5416886840643474,0.9429035641257358,0.06730264505188757,0.02135128493310523,0.07926184985609204,0.09057884367234297,0.19199032548329714,0.012146883901924144,0.012146883901924144,1.0,1.0,0.0,6.0,0.1,0.2,0.03,0.05,0.05,1.0,none,0.03,0.0,1.0,1.0,0.0
3.0,0.45,20.0,300.0,600.0,15.0,30.0,0.09775404333231615,0.11218553555080867,0.12863950907429167,1.4450192600328582,1.4280938742938187,0.011851731909016783,0.009565020590680312,0.009565045708190657,0.0074098876233878175,0.022830440437485437,-0.35625358196045626,-0.35625356605893177,-0.3555347645987829,-0.3781220861650395,0.018936901098443183,0.01694558986154206,0.01645181425177864,0.011245337797383551,0.07136336107095148,0.3079677014289338,-107.00972797828662,-161.70086034179084,54.691132363504224,0.5033567095011284,43.09406590367125,444.44588980600514,10.313389569679526,6000.0,0.10983248769218862,0.10983248769218867,0.6287000391325149,0.955997621736059,0.029363906993942035,0.011110130335641708,0.02710942964440309,0.057373076323969714,0.09414691748844137,-0.002890689410384076,0.002890689410384076,1.0,1.0,0.0,6.0,0.1,0.2,0.03,0.05,0.05,0.0,mean_count,0.03,1.0,1.0,1.0,0.0
3.0,0.45,50.0,300.0,600.0,6.0,12.0,0.24438510833079036,0.28046383887702164,0.12863950907429156,1.9751441418409024,1.9304862416382766,0.023132980302790207,0.02005457098036399,0.01999608162742143,0.014090763333883866,0.0943834238211805,-0.6459840729401529,-0.6459485924613337,-0.6433282296359129,-0.7380588187806574,0.034775586194566985,0.03547639305317247,0.03683412599464695,0.03464635203642838,0.19870181131189424,0.4937078369035054,-40.355561370094684,-66.54513659785884,26.18957522776416,0.5731912693322501,75.42660329622115,727.4073129993852,9.643909193983658,6000.0,0.12598572686425186,0.12598572686425183,0.5153566547038785,0.9335719160659002,0.039660530941065766,0.02331839633655311,0.0409152207185777,0.07812049305678939,0.15888436516959087,-0.02416886690641555,0.02416886690641555,1.0,1.0,0.0,6.0,0.1,0.2,0.03,0.05,0.05,0.0,mean_count,0.05216337929185048,1.0,1.0,1.0,0.0
