replicate,temperature,block_size,first_count,second_count,heldout_probability,hybrid_probability
1.0,0.58,20.0,0.0,0.0,0.5722968161936731,0.5858387181523722
1.0,0.58,20.0,0.0,1.0,0.14688231105686095,0.14167026302692864
1.0,0.58,20.0,0.0,2.0,0.02542128640694402,0.02586462356632367
1.0,0.58,20.0,0.0,3.0,0.0031532906113315023,0.0035817790965363455
1.0,0.58,20.0,0.0,4.0,0.0002882039806055674,0.0003827055745831913
1.0,0.58,20.0,0.0,5.0,8.47658766486963e-06,3.2898537297784785e-05
1.0,0.58,20.0,1.0,0.0,0.14401722442613502,0.14167026302692864
1.0,0.58,20.0,1.0,1.0,0.05380090190892754,0.046613772010922865
1.0,0.58,20.0,1.0,2.0,0.010180381785508426,0.009430404386874883
1.0,0.58,20.0,1.0,3.0,0.0014834028413521852,0.001336198748725339
1.0,0.58,20.0,1.0,4.0,6.781270131895704e-05,0.00014342596998379657
1.0,0.58,20.0,1.0,5.0,8.47658766486963e-06,1.234039054652658e-05
1.0,0.58,20.0,2.0,0.0,0.024599057403451665,0.02586462356632367
1.0,0.58,20.0,2.0,1.0,0.010180381785508426,0.009430404386874883
1.0,0.58,20.0,2.0,2.0,0.00206828739022819,0.0019582299390176155
1.0,0.58,20.0,2.0,3.0,0.00023734445461634965,0.00027895738868780875
1.0,0.58,20.0,2.0,4.0,2.542976299460889e-05,2.9974620476159592e-05
1.0,0.58,20.0,2.0,5.0,1.695317532973926e-05,2.579551948638324e-06
1.0,0.58,20.0,3.0,0.0,0.003187196961990981,0.0035817790965363455
1.0,0.58,20.0,3.0,1.0,0.0013562540263791407,0.001336198748725339
1.0,0.58,20.0,3.0,2.0,0.0002542976299460889,0.00027895738868780875
1.0,0.58,20.0,3.0,3.0,5.933611365408741e-05,3.978177219409334e-05
1.0,0.58,20.0,3.0,4.0,0.0,4.275554722969483e-06
1.0,0.58,20.0,3.0,5.0,0.0,3.679603922338828e-07
1.0,0.58,20.0,4.0,0.0,0.0002627742176109585,0.0003827055745831913
1.0,0.58,20.0,4.0,1.0,8.47658766486963e-05,0.00014342596998379657
1.0,0.58,20.0,4.0,2.0,1.695317532973926e-05,2.9974620476159592e-05
1.0,0.58,20.0,4.0,3.0,8.47658766486963e-06,4.275554722969483e-06
1.0,0.58,20.0,4.0,4.0,0.0,4.5953535580198565e-07
1.0,0.58,20.0,4.0,5.0,0.0,3.9548595294724286e-08
1.0,0.58,20.0,5.0,0.0,2.542976299460889e-05,3.2898537297784785e-05
1.0,0.58,20.0,5.0,1.0,8.47658766486963e-06,1.234039054652658e-05
1.0,0.58,20.0,5.0,2.0,0.0,2.579551948638324e-06
1.0,0.58,20.0,5.0,3.0,0.0,3.679603922338828e-07
1.0,0.58,20.0,5.0,4.0,0.0,3.9548595294724286e-08
1.0,0.58,20.0,5.0,5.0,0.0,3.403642057416878e-09
1.0,0.58,50.0,0.0,0.0,0.26893064213784384,0.28824182665202314
1.0,0.58,50.0,0.0,1.0,0.1504424778761062,0.1509288673064847
1.0,0.58,50.0,0.0,2.0,0.06081346178996469,0.058796559492881956
1.0,0.58,50.0,0.0,3.0,0.019290291643053317,0.018591589838230758
1.0,0.58,50.0,0.0,4.0,0.0044683726404812765,0.004697424401438316
1.0,0.58,50.0,0.0,5.0,0.0007628928898382667,0.0009659496364145541
1.0,0.58,50.0,0.0,6.0,4.359387941932953e-05,0.00016626088831921116
1.0,0.58,50.0,0.0,7.0,2.1796939709664764e-05,2.4556553721331333e-05
1.0,0.58,50.0,0.0,8.0,2.1796939709664764e-05,3.1745085860454114e-06
1.0,0.58,50.0,1.0,0.0,0.14787043899036575,0.1509288673064847
1.0,0.58,50.0,1.0,1.0,0.09963381141287764,0.09287347354989636
1.0,0.58,50.0,1.0,2.0,0.043681067178168186,0.03975748735960987
1.0,0.58,50.0,1.0,3.0,0.013339727102314835,0.012985535555350498
1.0,0.58,50.0,1.0,4.0,0.003487510353546362,0.0033105108439647744
1.0,0.58,50.0,1.0,5.0,0.0005667204324512838,0.0006823347440069046
1.0,0.58,50.0,1.0,6.0,0.00015257857796765334,0.00011751398504757148
1.0,0.58,50.0,1.0,7.0,4.359387941932953e-05,1.7359285475546588e-05
1.0,0.58,50.0,1.0,8.0,0.0,2.244178381885853e-06
1.0,0.58,50.0,2.0,0.0,0.06214307511225424,0.058796559492881956
1.0,0.58,50.0,2.0,1.0,0.041828327302846684,0.03975748735960987
1.0,0.58,50.0,2.0,2.0,0.019791621256375604,0.01780602668830782
1.0,0.58,50.0,2.0,3.0,0.006473691093770434,0.005898645445943038
1.0,0.58,50.0,2.0,4.0,0.001656567417934522,0.0015095119437835668
1.0,0.58,50.0,2.0,5.0,0.00026156327651597714,0.0003114315739296391
1.0,0.58,50.0,2.0,6.0,2.1796939709664764e-05,5.364908077598399e-05
1.0,0.58,50.0,2.0,7.0,2.1796939709664764e-05,7.925593894736649e-06
1.0,0.58,50.0,2.0,8.0,0.0,1.02462332159711e-06
1.0,0.58,50.0,3.0,0.0,0.018113256898731417,0.018591589838230758
1.0,0.58,50.0,3.0,1.0,0.014059026112733772,0.012985535555350498
1.0,0.58,50.0,3.0,2.0,0.006669863551157417,0.005898645445943038
1.0,0.58,50.0,3.0,3.0,0.001852739875321505,0.001962403028821084
1.0,0.58,50.0,3.0,4.0,0.0006539081912899429,0.0005027631107402868
1.0,0.58,50.0,3.0,5.0,0.00013078163825798857,0.00010375647566982944
1.0,0.58,50.0,3.0,6.0,2.1796939709664764e-05,1.787502908018406e-05
1.0,0.58,50.0,3.0,7.0,0.0,2.6407322128434957e-06
1.0,0.58,50.0,3.0,8.0,0.0,3.4139631392723494e-07
1.0,0.58,50.0,4.0,0.0,0.0044683726404812765,0.004697424401438316
1.0,0.58,50.0,4.0,1.0,0.0032913378961593794,0.0033105108439647744
1.0,0.58,50.0,4.0,2.0,0.0020053184532891582,0.0015095119437835668
1.0,0.58,50.0,4.0,3.0,0.0005449234927416191,0.0005027631107402868
1.0,0.58,50.0,4.0,4.0,0.0002397663368063124,0.00012884524522703526
1.0,0.58,50.0,4.0,5.0,6.539081912899428e-05,2.6592147487671692e-05
1.0,0.58,50.0,4.0,6.0,0.0,4.581349040119967e-06
1.0,0.58,50.0,4.0,7.0,0.0,6.768199000295176e-07
1.0,0.58,50.0,4.0,8.0,0.0,8.750001420005574e-08
1.0,0.58,50.0,5.0,0.0,0.000741095950128602,0.0009659496364145541
1.0,0.58,50.0,5.0,1.0,0.0006103143118706134,0.0006823347440069046
1.0,0.58,50.0,5.0,2.0,0.00021796939709664762,0.0003114315739296391
1.0,0.58,50.0,5.0,3.0,0.00010898469854832381,0.00010375647566982944
1.0,0.58,50.0,5.0,4.0,8.718775883865905e-05,2.6592147487671692e-05
1.0,0.58,50.0,5.0,5.0,0.0,5.488414707227367e-06
1.0,0.58,50.0,5.0,6.0,0.0,9.455598956853543e-07
1.0,0.58,50.0,5.0,7.0,0.0,1.3969129010524162e-07
1.0,0.58,50.0,5.0,8.0,0.0,1.8059447943537042e-08
1.0,0.58,50.0,6.0,0.0,0.00013078163825798857,0.0001662608883192112
1.0,0.58,50.0,6.0,1.0,6.539081912899428e-05,0.00011751398504757148
1.0,0.58,50.0,6.0,2.0,0.0,5.364908077598399e-05
1.0,0.58,50.0,6.0,3.0,0.0,1.787502908018406e-05
1.0,0.58,50.0,6.0,4.0,4.359387941932953e-05,4.581349040119967e-06
1.0,0.58,50.0,6.0,5.0,0.0,9.455598956853543e-07
1.0,0.58,50.0,6.0,6.0,0.0,1.6290398763509092e-07
1.0,0.58,50.0,6.0,7.0,0.0,2.406645581080541e-08
1.0,0.58,50.0,6.0,8.0,0.0,3.11133887163515e-09
1.0,0.58,50.0,7.0,0.0,2.1796939709664764e-05,2.4556553721331333e-05
1.0,0.58,50.0,7.0,1.0,6.539081912899428e-05,1.7359285475546588e-05
1.0,0.58,50.0,7.0,2.0,0.0,7.925593894736649e-06
1.0,0.58,50.0,7.0,3.0,0.0,2.6407322128434957e-06
1.0,0.58,50.0,7.0,4.0,0.0,6.768199000295176e-07
1.0,0.58,50.0,7.0,5.0,0.0,1.3969129010524162e-07
1.0,0.58,50.0,7.0,6.0,0.0,2.406645581080541e-08
1.0,0.58,50.0,7.0,7.0,0.0,3.555433789018275e-09
1.0,0.58,50.0,7.0,8.0,0.0,4.5965054705064227e-10
1.0,0.58,50.0,8.0,0.0,0.0,3.174508586045411e-06
1.0,0.58,50.0,8.0,1.0,0.0,2.244178381885853e-06
1.0,0.58,50.0,8.0,2.0,2.1796939709664764e-05,1.02462332159711e-06
1.0,0.58,50.0,8.0,3.0,0.0,3.4139631392723494e-07
1.0,0.58,50.0,8.0,4.0,0.0,8.750001420005574e-08
1.0,0.58,50.0,8.0,5.0,0.0,1.8059447943537042e-08
1.0,0.58,50.0,8.0,6.0,0.0,3.11133887163515e-09
1.0,0.58,50.0,8.0,7.0,0.0,4.5965054705064227e-10
1.0,0.58,50.0,8.0,8.0,0.0,5.942414879084199e-11
2.0,0.58,20.0,0.0,0.0,0.566778557623843,0.58563562164583
2.0,0.58,20.0,0.0,1.0,0.1477299698233479,0.1417081421287964
2.0,0.58,20.0,0.0,2.0,0.025785779676533414,0.026016030140415737
2.0,0.58,20.0,0.0,3.0,0.0031278608483368935,0.0035754783834369107
2.0,0.58,20.0,0.0,4.0,0.00034754009425965485,0.00037707453066983476
2.0,0.58,20.0,0.0,5.0,0.0,3.1945921283713034e-05
2.0,0.58,20.0,1.0,0.0,0.14500898518292477,0.14170814212879643
2.0,0.58,20.0,1.0,1.0,0.0543434035194792,0.04666198253825936
2.0,0.58,20.0,1.0,2.0,0.011129759603973824,0.009385237937311521
2.0,0.58,20.0,1.0,3.0,0.001279964737395314,0.0013136439900563034
2.0,0.58,20.0,1.0,4.0,0.0001695317532973926,0.00013900059843635097
2.0,0.58,20.0,1.0,5.0,8.47658766486963e-06,1.178320624088638e-05
2.0,0.58,20.0,2.0,0.0,0.02613331977079307,0.026016030140415737
2.0,0.58,20.0,2.0,1.0,0.010358390126470688,0.009385237937311521
2.0,0.58,20.0,2.0,2.0,0.0021615298545417556,0.0019274781108719848
2.0,0.58,20.0,2.0,3.0,0.00033058691892991557,0.00027084360749810065
2.0,0.58,20.0,2.0,4.0,3.390635065947852e-05,2.8678905152678154e-05
2.0,0.58,20.0,2.0,5.0,0.0,2.4314413133107213e-06
2.0,0.58,20.0,3.0,0.0,0.00297528227036924,0.0035754783834369107
2.0,0.58,20.0,3.0,1.0,0.0013647306140440105,0.0013136439900563034
2.0,0.58,20.0,3.0,2.0,0.0003390635065947852,0.00027084360749810065
2.0,0.58,20.0,3.0,3.0,4.238293832434815e-05,3.8085597470159426e-05
2.0,0.58,20.0,3.0,4.0,0.0,4.033303175984616e-06
2.0,0.58,20.0,3.0,5.0,0.0,3.4195747340786465e-07
2.0,0.58,20.0,4.0,0.0,0.00034754009425965485,0.0003770745306698348
2.0,0.58,20.0,4.0,1.0,0.00016105516563252298,0.00013900059843635097
2.0,0.58,20.0,4.0,2.0,3.390635065947852e-05,2.8678905152678154e-05
2.0,0.58,20.0,4.0,3.0,0.0,4.033303175984616e-06
2.0,0.58,20.0,4.0,4.0,0.0,4.271407622531283e-07
2.0,0.58,20.0,4.0,5.0,0.0,3.6214629165825865e-08
2.0,0.58,20.0,5.0,0.0,8.47658766486963e-06,3.1945921283713034e-05
2.0,0.58,20.0,5.0,1.0,0.0,1.178320624088638e-05
2.0,0.58,20.0,5.0,2.0,0.0,2.4314413133107213e-06
2.0,0.58,20.0,5.0,3.0,0.0,3.4195747340786465e-07
2.0,0.58,20.0,5.0,4.0,0.0,3.6214629165825865e-08
2.0,0.58,20.0,5.0,5.0,0.0,3.070417171340696e-09
2.0,0.58,50.0,0.0,0.0,0.2624133571646541,0.2888650263225179
2.0,0.58,50.0,0.0,1.0,0.1509874013688478,0.15073238256850052
2.0,0.58,50.0,0.0,2.0,0.06118400976502899,0.05944459700487764
2.0,0.58,50.0,0.0,3.0,0.019748027376956277,0.01855290983499849
2.0,0.58,50.0,0.0,4.0,0.004424778761061947,0.004553708062741425
2.0,0.58,50.0,0.0,5.0,0.0010462531060639086,0.0009043946401157801
2.0,0.58,50.0,0.0,6.0,0.00013078163825798857,0.00015007785108654548
2.0,0.58,50.0,0.0,7.0,0.0,2.1359544095499883e-05
2.0,0.58,50.0,1.0,0.0,0.14978856968481624,0.15073238256850052
2.0,0.58,50.0,1.0,1.0,0.09586294084310563,0.0932773672690454
2.0,0.58,50.0,1.0,2.0,0.04479271110336109,0.039974253936770725
2.0,0.58,50.0,1.0,3.0,0.014124416931862767,0.012782710387141141
2.0,0.58,50.0,1.0,4.0,0.0039016522080299928,0.0031560698648680496
2.0,0.58,50.0,1.0,5.0,0.0010026592266445791,0.000627678313173609
2.0,0.58,50.0,1.0,6.0,0.00015257857796765334,0.00010419171363106316
2.0,0.58,50.0,1.0,7.0,0.0,1.4829963277593802e-05
2.0,0.58,50.0,2.0,0.0,0.06161994855922229,0.05944459700487765
2.0,0.58,50.0,2.0,1.0,0.044574741706264444,0.039974253936770725
2.0,0.58,50.0,2.0,2.0,0.019115916125375998,0.017717202381848762
2.0,0.58,50.0,2.0,3.0,0.0062339247569641225,0.005717358902369565
2.0,0.58,50.0,2.0,4.0,0.001852739875321505,0.001414699609832755
2.0,0.58,50.0,2.0,5.0,0.0003487510353546362,0.0002814967750562336
2.0,0.58,50.0,2.0,6.0,4.359387941932953e-05,4.673257407799653e-05
2.0,0.58,50.0,2.0,7.0,2.1796939709664764e-05,6.65178360588582e-06
2.0,0.58,50.0,3.0,0.0,0.019050525306247002,0.018552909834998493
2.0,0.58,50.0,3.0,1.0,0.014516761846636732,0.012782710387141141
2.0,0.58,50.0,3.0,2.0,0.0066916604908670825,0.005717358902369565
2.0,0.58,50.0,3.0,3.0,0.0022014909106761412,0.0018494350648640833
2.0,0.58,50.0,3.0,4.0,0.00043593879419329525,0.00045788376351075155
2.0,0.58,50.0,3.0,5.0,8.718775883865905e-05,9.112164967528393e-05
2.0,0.58,50.0,3.0,6.0,2.1796939709664764e-05,1.5127981017905805e-05
2.0,0.58,50.0,3.0,7.0,0.0,2.1532893260473955e-06
2.0,0.58,50.0,4.0,0.0,0.004882514494964907,0.004553708062741425
