record,fold_index,numerical_estimator,numerical_gate_pass,trajectory_sha256,thermodynamic_claim_allowed,numerical_state,potential_protocol,a_primary_reference_median_relative_error,a_primary_reference_p95_relative_error,q_primary_reference_median_relative_error,q_primary_reference_p95_relative_error,a_coarse_reference_median_relative_error,a_coarse_reference_p95_relative_error,q_coarse_reference_median_relative_error,q_coarse_reference_p95_relative_error,directional_median_relative_error,directional_p95_relative_error,q_minimum_eigenvalue
held_fold_convergence,1,deterministic_velocity_jacobian,1,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0,deterministic_jacobian_numerically_resolved,ka_lj_cut,5.60793001746e-07,9.17424654015e-07,4.85703286365e-07,9.37986721707e-07,1.22598592586e-06,5.23358941153e-06,9.80423856062e-07,5.51591489696e-06,0.000632021294201,0.00238692348409,104161.828942
held_fold_convergence,2,deterministic_velocity_jacobian,1,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0,deterministic_jacobian_numerically_resolved,ka_lj_cut,5.01523348784e-07,9.18943531211e-07,4.31999823702e-07,1.11903401933e-06,1.14376013851e-06,5.38297586237e-06,1.00237343124e-06,5.48182718158e-06,0.000690978049158,0.00217721771045,89444.4814983
held_fold_convergence,3,deterministic_velocity_jacobian,1,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0,deterministic_jacobian_numerically_resolved,ka_lj_cut,5.60897892889e-07,9.6222180801e-07,5.03387710937e-07,9.07012112628e-07,1.16364722004e-06,5.38165676716e-06,9.48883274674e-07,5.55037774124e-06,0.000630855174158,0.00230580604939,97166.0397329
held_fold_convergence,4,deterministic_velocity_jacobian,1,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0,deterministic_jacobian_numerically_resolved,ka_lj_cut,5.5707285918e-07,9.30291093639e-07,4.93352030492e-07,9.91057773237e-07,1.18772396677e-06,5.09254043218e-06,9.95951315985e-07,5.57043244989e-06,0.000687476242695,0.00237772171523,90676.1754566
