distance_midpoint,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_critical_value,ci95_method,independent_replicate_count,within_replicate_block_count_min,within_replicate_block_count_max,distance_low,distance_high,halo_detected_in_shell,uncertainty_scope,temperature,threshold
0.7,5.087192126822614,0.05922107550479846,0.03419130388439454,4.940078819825198,5.23430543382003,4.302652729911275,student_t_independent_replicates,3.0,1.0,1.0,0.0,1.4,1.0,independent_replicates,0.45,0.15
1.7,2.397482060093617,0.03559515045934471,0.020550869699547898,2.309058804478806,2.4859053157084277,4.302652729911275,student_t_independent_replicates,3.0,1.0,1.0,1.4,2.0,1.0,independent_replicates,0.45,0.15
2.5,1.5899201937883483,0.013799869813384274,0.007967358551539202,1.555639416766386,1.6242009708103105,4.302652729911275,student_t_independent_replicates,3.0,1.0,1.0,2.0,3.0,1.0,independent_replicates,0.45,0.15
3.5,1.167509133590853,0.0006131537899821762,0.0003540045057008487,1.1659859751379984,1.1690322920437075,4.302652729911275,student_t_independent_replicates,3.0,1.0,1.0,3.0,4.0,1.0,independent_replicates,0.45,0.15
4.5,1.0316892943015927,0.004100150192427574,0.002367222817315956,1.02150395658436,1.0418746320188255,4.302652729911275,student_t_independent_replicates,3.0,1.0,1.0,4.0,5.0,1.0,independent_replicates,0.45,0.15
6.0,0.9599527204436246,0.006475306711107385,0.0037385200727432393,0.9438671668468077,0.9760382740404414,4.302652729911275,student_t_independent_replicates,3.0,1.0,1.0,5.0,7.0,0.0,independent_replicates,0.45,0.15
8.5,0.9305800057030313,0.0013548943677920003,0.0007822486279682192,0.9272142615084346,0.9339457498976281,4.302652729911275,student_t_independent_replicates,3.0,1.0,1.0,7.0,10.0,0.0,independent_replicates,0.45,0.15
11.55,0.9038341946284771,0.019638865384517694,0.011338504216330115,0.8550485485089738,0.9526198407479805,4.302652729911275,student_t_independent_replicates,3.0,1.0,1.0,10.0,13.1,0.0,independent_replicates,0.45,0.15
