model,replicate,realization,temperature,calibration_time,block_size,radial_bin_count,required_realizations_per_replicate,surrogate_base_seed,surrogate_seed,scheduled_return_fraction_absolute_error,scheduled_return_given_return_absolute_error,scheduled_return_given_escape_absolute_error,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,geometric_return_fraction_absolute_error,return_closure_quantile_maximum_error_over_dw,geometric_return_quality_required,unsupported_tuple_count,active_particle_count,non_propagating_particle_count,return_holding_time_mean_relative_error,return_holding_time_quantile_maximum_relative_error,escape_holding_time_mean_relative_error,escape_holding_time_quantile_maximum_relative_error,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
anchor_aware_semi_markov,1.0,0.0,0.58,750.0,20.0,8.0,16.0,84031.0,1084034.0,0.012556705330610589,0.018878994601537955,0.01182281273869179,0.008608999940628692,0.09270317310397236,0.00418510944837531,0.00704112001916235,0.010048871227716194,0.03111037360373703,1.0,0.0,3258.0,19.0,0.0019858604768574484,0.0714285714285714,0.05840521283896927,0.08275862068965523,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,0.0,0.58,750.0,20.0,8.0,16.0,84031.0,1084034.0,0.012556705330610589,0.018878994601537955,0.01182281273869179,0.008608999940628692,0.09270317310397236,0.003130715157428934,0.008750433232855959,0.0004668507443365069,2.818062956713407,0.0,0.0,3258.0,19.0,0.0019858604768574484,0.0714285714285714,0.05840521283896927,0.08275862068965523,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,1.0,0.58,750.0,20.0,8.0,16.0,84031.0,1181443.0,0.011839511678838649,0.018956145793764964,0.011091084597561453,0.008260281712841988,0.09391280906821109,0.00559883305540439,0.007345081652173702,0.01013479528532632,0.031110373603739028,1.0,0.0,3258.0,19.0,0.018400608166447285,0.0714285714285714,0.050614144204547684,0.08275862068965523,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,1.0,0.58,750.0,20.0,8.0,16.0,84031.0,1181443.0,0.011839511678838649,0.018956145793764964,0.011091084597561453,0.008260281712841988,0.09391280906821109,0.001854684607110939,0.0052486168380425635,0.0016455136552260205,2.7988636029520206,0.0,0.0,3258.0,19.0,0.018400608166447285,0.0714285714285714,0.050614144204547684,0.08275862068965523,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,2.0,0.58,750.0,20.0,8.0,16.0,84031.0,1278852.0,0.012587420890215077,0.02349204138325943,0.01164649792353526,0.008978905512678326,0.09476280384479552,0.007940583519467775,0.010758925345310576,0.009604643217320144,0.03781681642903201,1.0,0.0,3258.0,19.0,0.037833407221042004,0.0714285714285714,0.05752488767912878,0.08275862068965523,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,2.0,0.58,750.0,20.0,8.0,16.0,84031.0,1278852.0,0.012587420890215077,0.02349204138325943,0.01164649792353526,0.008978905512678326,0.09476280384479552,0.0006495612213518246,0.003466197679383609,0.0012910527888838133,2.8917683710508406,0.0,0.0,3258.0,19.0,0.037833407221042004,0.0714285714285714,0.05752488767912878,0.08275862068965523,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,3.0,0.58,750.0,20.0,8.0,16.0,84031.0,1376261.0,0.011416766652026789,0.014731540060382617,0.010858392182615188,0.01011448644970847,0.09345756958591778,0.008568107353904748,0.01536822587256108,0.010539424168169803,0.034568892665402196,1.0,0.0,3258.0,19.0,0.02794853150466059,0.1428571428571428,0.05870035418044006,0.08965517241379306,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,3.0,0.58,750.0,20.0,8.0,16.0,84031.0,1376261.0,0.011416766652026789,0.014731540060382617,0.010858392182615188,0.01011448644970847,0.09345756958591778,0.00010527722463543805,0.003325049588277203,0.0015351907599759143,2.7036449558421634,0.0,0.0,3258.0,19.0,0.02794853150466059,0.1428571428571428,0.05870035418044006,0.08965517241379306,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,4.0,0.58,750.0,20.0,8.0,16.0,84031.0,1473670.0,0.011343157851572146,0.014464606770212968,0.010787936996159209,0.00980326340458304,0.09786460068699199,0.002171127953925908,0.0040316072402817316,0.010417732343027925,0.03943457807923445,1.0,0.0,3258.0,19.0,0.02524656093369826,0.1428571428571428,0.05206403969256557,0.08275862068965523,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,4.0,0.58,750.0,20.0,8.0,16.0,84031.0,1473670.0,0.011343157851572146,0.014464606770212968,0.010787936996159209,0.00980326340458304,0.09786460068699199,0.001815861156006882,0.0029638046116940986,0.0008266941912188214,2.8317706902741544,0.0,0.0,3258.0,19.0,0.02524656093369826,0.1428571428571428,0.05206403969256557,0.08275862068965523,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
