temperature,inverse_temperature_shift,tau_alpha,renewal_delay,renewal_rate,heterogeneity_shape,exchange_renewal_count,kww_beta,kww_tau,kww_intercept,rms_log_residual,points_used,fit_min_decay,fit_max_decay
1.0,0.0,39.00275839261582,3.0,0.18,0.4,10.0,0.9133050191107797,39.508489279102264,-3.3577801204299838,0.0646185145369978,123.0,0.15,0.85
0.78,0.28205128205128194,127.78598328530816,12.291017351114633,0.1023966796500941,0.2620112977543095,20.241061690792996,0.8233227678294002,128.92578571059872,-4.000720402238559,0.07507126522291292,124.0,0.15,0.85
0.62,0.6129032258064517,658.4710705474172,64.27227894644832,0.05283376100124786,0.15951049323980937,46.28616746086182,0.7153759234701472,643.7156358750726,-4.626519998332411,0.06436063687646301,127.0,0.15,0.85
