bridge_stage,temperature,jump_variance_q,mean_squared_jump,mean_jump_length,log_configurational_partition,configurational_free_energy,configurational_entropy,excess_heat_capacity,complete_dynamic_derivation_claim_allowed
basin_adjacency_to_q,nan,0.36199999999999993,1.0859999999999999,1.03,nan,nan,nan,nan,0
inherent_state_density_to_thermodynamics,0.8,nan,nan,nan,1.6503951070450402,-1.3203160856360323,1.9077913278255378,0.24805129310023188,0
