replicate,temperature,lag,calibration_msd,log_msd_slope,selected_debye_waller_lag,selected_debye_waller_factor,thermodynamic_claim_allowed
1.0,0.45,1.0,0.03055143542587757,0.06424908667601426,2.0,0.03194276615977287,0.0
1.0,0.45,2.0,0.03194276615977287,0.033970491381940526,2.0,0.03194276615977287,0.0
1.0,0.45,3.0,0.03215403854846954,0.03996205974721878,2.0,0.03194276615977287,0.0
1.0,0.45,4.0,0.03268357366323471,0.08633097262376666,2.0,0.03194276615977287,0.0
1.0,0.45,5.0,0.03349015861749649,0.12243620769439012,2.0,0.03194276615977287,0.0
1.0,0.45,6.0,0.03431348130106926,0.11395830185856326,2.0,0.03194276615977287,0.0
1.0,0.45,7.0,0.03483407944440842,0.06989548640935794,2.0,0.03194276615977287,0.0
1.0,0.45,8.0,0.03504788503050804,0.07644978567321559,2.0,0.03194276615977287,0.0
1.0,0.45,9.0,0.03547759726643562,0.11626755577778436,2.0,0.03194276615977287,0.0
1.0,0.45,11.0,0.036474402993917465,0.10326374075956579,2.0,0.03194276615977287,0.0
1.0,0.45,12.0,0.036755289882421494,0.09890922582437423,2.0,0.03194276615977287,0.0
1.0,0.45,14.0,0.03742964565753937,0.13322396177746576,2.0,0.03194276615977287,0.0
1.0,0.45,16.0,0.03816886991262436,0.14106713858879516,2.0,0.03194276615977287,0.0
1.0,0.45,18.0,0.03878661245107651,0.14416610689704434,2.0,0.03194276615977287,0.0
1.0,0.45,21.0,0.03972114250063896,0.15694833991649304,2.0,0.03194276615977287,0.0
1.0,0.45,24.0,0.04057411104440689,0.16259223518594723,2.0,0.03194276615977287,0.0
1.0,0.45,27.0,0.04137356951832771,0.1637877210878944,2.0,0.03194276615977287,0.0
1.0,0.45,31.0,0.042307570576667786,0.1806909329819817,2.0,0.03194276615977287,0.0
1.0,0.45,35.0,0.04333372414112091,0.20945093405800286,2.0,0.03194276615977287,0.0
1.0,0.45,40.0,0.04464131221175194,0.20927397762818956,2.0,0.03194276615977287,0.0
1.0,0.45,45.0,0.04569188505411148,0.2213797524027168,2.0,0.03194276615977287,0.0
1.0,0.45,51.0,0.04712514579296112,0.23448740788296796,2.0,0.03194276615977287,0.0
1.0,0.45,58.0,0.048489294946193695,0.24650866982967656,2.0,0.03194276615977287,0.0
1.0,0.45,66.0,0.050218988209962845,0.27460150129666694,2.0,0.03194276615977287,0.0
1.0,0.45,75.0,0.052035119384527206,0.2839736769067951,2.0,0.03194276615977287,0.0
1.0,0.45,86.0,0.054145362228155136,0.3009378476367548,2.0,0.03194276615977287,0.0
1.0,0.45,97.0,0.056204814463853836,0.3187581990483377,2.0,0.03194276615977287,0.0
1.0,0.45,111.0,0.05874922499060631,0.3430479271452054,2.0,0.03194276615977287,0.0
1.0,0.45,126.0,0.061467256397008896,0.36822449566775717,2.0,0.03194276615977287,0.0
1.0,0.45,143.0,0.06449258327484131,0.38928467892230323,2.0,0.03194276615977287,0.0
1.0,0.45,162.0,0.06778240948915482,0.42246030832102477,2.0,0.03194276615977287,0.0
1.0,0.45,184.0,0.07174888998270035,0.4455712517717352,2.0,0.03194276615977287,0.0
1.0,0.45,210.0,0.0760904923081398,0.4637590134784819,2.0,0.03194276615977287,0.0
1.0,0.45,238.0,0.08082214742898941,0.48946817592980096,2.0,0.03194276615977287,0.0
1.0,0.45,270.0,0.08605172485113144,0.5077003364970327,2.0,0.03194276615977287,0.0
1.0,0.45,307.0,0.09197796136140823,0.5278292637766828,2.0,0.03194276615977287,0.0
1.0,0.45,349.0,0.09853503853082657,0.5531917836859925,2.0,0.03194276615977287,0.0
1.0,0.45,396.0,0.10588067770004272,0.5854707403853752,2.0,0.03194276615977287,0.0
1.0,0.45,450.0,0.11435112357139587,0.6177576454559386,2.0,0.03194276615977287,0.0
1.0,0.45,512.0,0.12409661710262299,0.6336269007030775,2.0,0.03194276615977287,0.0
2.0,0.45,1.0,0.030676640570163727,0.06054026035584453,2.0,0.031991325318813324,0.0
2.0,0.45,2.0,0.031991325318813324,0.028602116637435948,2.0,0.031991325318813324,0.0
2.0,0.45,3.0,0.03212025389075279,0.041799584340017404,2.0,0.031991325318813324,0.0
2.0,0.45,4.0,0.03272106125950813,0.0886847554990915,2.0,0.031991325318813324,0.0
2.0,0.45,5.0,0.03351551294326782,0.12199297044412383,2.0,0.031991325318813324,0.0
2.0,0.45,6.0,0.03434334695339203,0.11229003881839539,2.0,0.031991325318813324,0.0
2.0,0.45,7.0,0.03484503552317619,0.06853227133190742,2.0,0.031991325318813324,0.0
2.0,0.45,8.0,0.035061612725257874,0.07059866888107891,2.0,0.031991325318813324,0.0
2.0,0.45,9.0,0.03544336184859276,0.10873632711389192,2.0,0.031991325318813324,0.0
2.0,0.45,11.0,0.03643384948372841,0.10290701093916965,2.0,0.031991325318813324,0.0
2.0,0.45,12.0,0.03671380504965782,0.10104676416238956,2.0,0.031991325318813324,0.0
2.0,0.45,14.0,0.03742353990674019,0.1331485467212392,2.0,0.031991325318813324,0.0
2.0,0.45,16.0,0.038134269416332245,0.13185369425209892,2.0,0.031991325318813324,0.0
2.0,0.45,18.0,0.038694772869348526,0.1328092666093159,2.0,0.031991325318813324,0.0
