replicate,median_empirical_iid_relative_error,median_gamma_iid_relative_error,median_temporal_memory_excess_fraction,median_persistent_environment_excess_fraction,median_waiting_correlation_z_vs_shuffle,median_complete_wait_particle_fraction,median_complete_waits_per_supported_particle,persistent_environment_identifiable,environment_support_gate,minimum_collective_covariance_ratio_supported_windows,collective_covariance_detected,waiting_failure_verdict,median_sequence_shuffle_relative_error,maximum_sequence_shuffle_relative_error,long_window_sequence_shuffle_relative_error,median_temporal_ordering_contribution_fraction,median_particle_identity_contribution_fraction,temperature,threshold_scale,debye_waller_factor
1.0,0.2289981385492761,0.4007664140966072,0.12245310780088947,1.3865440889657097,29.864357219723242,0.9508696978944157,38.200577663671375,1.0,posthoc_conservative_fraction_0p8_and_ten_waits,7.884804298373353,1.0,persistent_particle_environment_required,0.10909418571685348,0.1971491784740136,0.1971491784740136,0.10909418571685345,0.11990395283242261,0.45,0.9,0.028748489543795587
1.0,0.2024868645179504,0.3112471543318791,0.10420778197065461,3.2345347159300832,21.518141070065518,0.923405553860238,26.158294778585592,1.0,posthoc_conservative_fraction_0p8_and_ten_waits,8.128780297085482,1.0,persistent_particle_environment_required,0.09437334501001016,0.16648095392451012,0.16648095392451012,0.0943733450100102,0.1081135195079402,0.45,1.0,0.03194276615977287
1.0,0.1650979718489124,0.2490517088338935,0.07809980214211953,7.218479329322639,15.618805689163889,0.8870918523039365,18.80701754385965,1.0,posthoc_conservative_fraction_0p8_and_ten_waits,7.794905508031261,1.0,persistent_particle_environment_required,0.07244208930095342,0.13749505732661582,0.13749505732661582,0.07244208930095337,0.092655882547959,0.45,1.1,0.035137042775750166
2.0,0.2165265318295928,0.3871597973953844,0.1179599296529723,2.012871037127571,27.99725534868537,0.9588037839487336,37.640356460852956,1.0,posthoc_conservative_fraction_0p8_and_ten_waits,9.051997427893802,1.0,persistent_particle_environment_required,0.10551355779771854,0.18804489926926982,0.18804489926926982,0.10551355779771851,0.11101297403187431,0.45,0.9,0.028792192786931993
2.0,0.19021252753319562,0.34533139784931777,0.09632117435402088,2.8936570558195314,16.97428933892696,0.9276777540433323,26.164144736842104,1.0,posthoc_conservative_fraction_0p8_and_ten_waits,8.053455834264504,1.0,persistent_particle_environment_required,0.08785853690254197,0.15225136465562328,0.15225136465562328,0.08785853690254199,0.10235399063065367,0.45,1.0,0.031991325318813324
2.0,0.16337567140918263,0.26627229059897206,0.08212317440613459,4.568443016732898,12.163934717307592,0.889533109551419,18.878902229845625,1.0,posthoc_conservative_fraction_0p8_and_ten_waits,7.599778365745553,1.0,persistent_particle_environment_required,0.07589078244369307,0.12137880512480403,0.12137880512480403,0.07589078244369309,0.08748488896548952,0.45,1.1,0.03519045785069466
3.0,0.22663612988638593,0.39697210720839105,0.12584962686620238,0.8677928843093092,25.283606991374935,0.9722306988098871,36.41525423728814,1.0,posthoc_conservative_fraction_0p8_and_ten_waits,12.31673570456901,1.0,persistent_particle_environment_required,0.11178191462078668,0.18828466226803442,0.18828466226803442,0.11178191462078664,0.11485421526559932,0.45,0.9,0.028681742772459985
3.0,0.191988746580122,0.35621362477139684,0.09753694122815837,2.9123220108349415,17.10844093353447,0.9435459261519683,24.8745148771022,1.0,posthoc_conservative_fraction_0p8_and_ten_waits,11.243729872599298,1.0,persistent_particle_environment_required,0.08886893694804776,0.14238734621909765,0.14238734621909765,0.08886893694804772,0.1031198096320743,0.45,1.0,0.03186860308051109
3.0,0.1614106829664136,0.2807363407401573,0.0785561473120171,4.762144985295671,11.350261887848408,0.9108941104668904,17.857286432160805,1.0,posthoc_conservative_fraction_0p8_and_ten_waits,10.50177841221238,1.0,persistent_particle_environment_required,0.07283454598798123,0.11081468984998244,0.1105083115247033,0.07283454598798127,0.0885761369784323,0.45,1.1,0.035055463388562205
