record,held_clone_count,fit_uses_held_clone,thermodynamic_claim_allowed,held_bias_correlation,maximum_held_bias_correlation,minimum_held_bias_correlation,held_bias_normalized_rms_error,maximum_held_bias_normalized_rms_error,minimum_held_bias_normalized_rms_error,training_bias_variance_fraction_removed,maximum_training_bias_variance_fraction_removed,minimum_training_bias_variance_fraction_removed,harmonic_acceleration_stiffness,maximum_harmonic_acceleration_stiffness,minimum_harmonic_acceleration_stiffness,kernel_support_tau,maximum_kernel_support_tau,minimum_kernel_support_tau,kernel_tail_to_peak_ratio,maximum_kernel_tail_to_peak_ratio,minimum_kernel_tail_to_peak_ratio,kernel_toeplitz_minimum_eigenvalue,maximum_kernel_toeplitz_minimum_eigenvalue,minimum_kernel_toeplitz_minimum_eigenvalue,held_fit_window_correlation_rmse,maximum_held_fit_window_correlation_rmse,minimum_held_fit_window_correlation_rmse,held_extrapolation_correlation_rmse,maximum_held_extrapolation_correlation_rmse,minimum_held_extrapolation_correlation_rmse,held_extrapolation_maximum_correlation_error,maximum_held_extrapolation_maximum_correlation_error,minimum_held_extrapolation_maximum_correlation_error,fdt_random_force_variance_ratio,maximum_fdt_random_force_variance_ratio,minimum_fdt_random_force_variance_ratio,fdt_random_force_shape_correlation,maximum_fdt_random_force_shape_correlation,minimum_fdt_random_force_shape_correlation,fdt_random_force_normalized_rmse,maximum_fdt_random_force_normalized_rmse,minimum_fdt_random_force_normalized_rmse,isoconfigurational_cage_bias_supported,relative_correlation_volterra_allowed,relative_mori_fdt_closure_allowed,physical_scalar_relative_gle_allowed,relative_orthogonal_force_closure_required,autonomous_single_particle_gle_allowed,complete_event_clock_closure_allowed,kramers_escape_claim_allowed
aggregate,4.0,0.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.3305494197339338,0.3437206095536236,0.30775571981208294,0.19547157904060544,0.20693603813678219,0.1712606494744976,324.6099426245038,325.8821174972054,323.0382439452725,1.0,1.0,1.0,0.24979095977461768,0.2546198807556688,0.2461415498116527,-38405.67738529736,-38227.42213202338,-38590.41399677275,0.045877895210884985,0.060537614211192727,0.027316085896825475,0.05776082593818047,0.06382135395129576,0.05017113297590898,0.1560050723294814,0.1832603697905952,0.12355810439937459,0.7672761373348309,0.7725836441760976,0.7626785591334029,0.27148997497676125,0.273570032597191,0.2685555634790851,0.9466574721834325,0.9503971400802005,0.9431057593300793,,,,,,,,
verdict,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
