replicate,temperature,block_size,window,block_lag,first_count,second_count,frequency,probability,pair_observation_count
1.0,0.45,20.0,calibration,1.0,0.0,0.0,709828.0,0.8699160388885416,815973.0
1.0,0.45,20.0,calibration,1.0,0.0,1.0,32824.0,0.04022682123060444,815973.0
1.0,0.45,20.0,calibration,1.0,0.0,2.0,7977.0,0.009776058766650367,815973.0
1.0,0.45,20.0,calibration,1.0,0.0,3.0,1364.0,0.001671623938537182,815973.0
1.0,0.45,20.0,calibration,1.0,0.0,4.0,163.0,0.0001997615117166867,815973.0
1.0,0.45,20.0,calibration,1.0,0.0,5.0,13.0,1.593189970746581e-05,815973.0
1.0,0.45,20.0,calibration,1.0,1.0,0.0,32901.0,0.040321187098102514,815973.0
1.0,0.45,20.0,calibration,1.0,1.0,1.0,11508.0,0.014103407833347428,815973.0
1.0,0.45,20.0,calibration,1.0,1.0,2.0,3329.0,0.004079791855857976,815973.0
1.0,0.45,20.0,calibration,1.0,1.0,3.0,686.0,0.0008407140922555036,815973.0
1.0,0.45,20.0,calibration,1.0,1.0,4.0,100.0,0.00012255307467281393,815973.0
1.0,0.45,20.0,calibration,1.0,1.0,5.0,8.0,9.804245973825114e-06,815973.0
1.0,0.45,20.0,calibration,1.0,2.0,0.0,7965.0,0.009761352397689629,815973.0
1.0,0.45,20.0,calibration,1.0,2.0,1.0,3358.0,0.004115332247513092,815973.0
1.0,0.45,20.0,calibration,1.0,2.0,2.0,1049.0,0.0012855817533178181,815973.0
1.0,0.45,20.0,calibration,1.0,2.0,3.0,214.0,0.0002622635797998218,815973.0
1.0,0.45,20.0,calibration,1.0,2.0,4.0,30.0,3.676592240184418e-05,815973.0
1.0,0.45,20.0,calibration,1.0,2.0,5.0,4.0,4.902122986912557e-06,815973.0
1.0,0.45,20.0,calibration,1.0,2.0,6.0,1.0,1.2255307467281393e-06,815973.0
1.0,0.45,20.0,calibration,1.0,3.0,0.0,1359.0,0.0016654962848035412,815973.0
1.0,0.45,20.0,calibration,1.0,3.0,1.0,702.0,0.0008603225842031538,815973.0
1.0,0.45,20.0,calibration,1.0,3.0,2.0,207.0,0.00025368486457272483,815973.0
1.0,0.45,20.0,calibration,1.0,3.0,3.0,55.0,6.740419107004766e-05,815973.0
1.0,0.45,20.0,calibration,1.0,3.0,4.0,4.0,4.902122986912557e-06,815973.0
1.0,0.45,20.0,calibration,1.0,3.0,5.0,1.0,1.2255307467281393e-06,815973.0
1.0,0.45,20.0,calibration,1.0,4.0,0.0,158.0,0.000193633857983046,815973.0
1.0,0.45,20.0,calibration,1.0,4.0,1.0,81.0,9.926799048497928e-05,815973.0
1.0,0.45,20.0,calibration,1.0,4.0,2.0,49.0,6.0051006589678827e-05,815973.0
1.0,0.45,20.0,calibration,1.0,4.0,3.0,7.0,8.578715227096974e-06,815973.0
1.0,0.45,20.0,calibration,1.0,4.0,4.0,1.0,1.2255307467281393e-06,815973.0
1.0,0.45,20.0,calibration,1.0,5.0,0.0,13.0,1.593189970746581e-05,815973.0
1.0,0.45,20.0,calibration,1.0,5.0,1.0,7.0,8.578715227096974e-06,815973.0
1.0,0.45,20.0,calibration,1.0,5.0,2.0,4.0,4.902122986912557e-06,815973.0
1.0,0.45,20.0,calibration,1.0,5.0,3.0,2.0,2.4510614934562785e-06,815973.0
1.0,0.45,20.0,calibration,1.0,6.0,0.0,1.0,1.2255307467281393e-06,815973.0
1.0,0.45,20.0,heldout,1.0,0.0,0.0,707706.0,0.8673154626439845,815973.0
1.0,0.45,20.0,heldout,1.0,0.0,1.0,33082.0,0.040543008163260306,815973.0
1.0,0.45,20.0,heldout,1.0,0.0,2.0,8273.0,0.010138815867681896,815973.0
1.0,0.45,20.0,heldout,1.0,0.0,3.0,1462.0,0.0017917259517165396,815973.0
1.0,0.45,20.0,heldout,1.0,0.0,4.0,188.0,0.00023039978038489017,815973.0
1.0,0.45,20.0,heldout,1.0,0.0,5.0,17.0,2.0834022694378367e-05,815973.0
