block_index,lag,origin_count,particle_count,msd,ngp_3d,overlap_mean,overlap_chi4,fs_k5,fs_k7p25,fs_k9,temperature,block_size,origin_stride,overlap_radius
0.0,1.0,175.0,3277.0,0.06167594595160581,0.16407345878943747,0.7865416975456645,0.6918030403617045,0.7773765081325412,0.5953360954157898,0.45676382047677533,0.7,699.0,4.0,0.3
0.0,2.0,175.0,3277.0,0.08382032828081847,0.23980419288156285,0.6782579885784035,1.4131247868570682,0.7147055777258021,0.5064425757285146,0.36278683522804417,0.7,699.0,4.0,0.3
0.0,4.0,174.0,3277.0,0.12027444669209779,0.3183846011850975,0.5483042732524492,2.7323606040781234,0.627530063014278,0.39929496930425,0.2618787647995622,0.7,699.0,4.0,0.3
0.0,8.0,173.0,3277.0,0.19189794348508582,0.3287256898596309,0.3819085904385267,3.216295063814591,0.49098062948520177,0.25849524626125675,0.14600833318349418,0.7,699.0,4.0,0.3
0.0,16.0,171.0,3277.0,0.33262892138539346,0.27108176193458133,0.21480565415165415,1.9416112187212478,0.3091532527960194,0.1165618044481716,0.050845240725878475,0.7,699.0,4.0,0.3
0.0,32.0,167.0,3277.0,0.6130077487689632,0.18883635021957668,0.09515786857776666,0.6347913974721688,0.1276023660393763,0.02688791312010858,0.007765624004611033,0.7,699.0,4.0,0.3
0.0,64.0,159.0,3277.0,1.170192176976528,0.11709922883138368,0.035617022011619,0.0864885703309389,0.021810708559864837,0.0016519784225935527,0.0009849849090215977,0.7,699.0,4.0,0.3
0.0,128.0,143.0,3277.0,2.272733533267706,0.06523585253121,0.012543452885228899,0.013660427462066775,0.0013733777524332993,0.0012979283748961803,-0.0005399127284255665,0.7,699.0,4.0,0.3
0.0,256.0,111.0,3277.0,4.457423167337285,0.027434111248948234,0.0040907553876732995,0.004290775612600946,-0.00022968065569688569,0.0005851617519789449,0.0001635147896151185,0.7,699.0,4.0,0.3
0.0,512.0,47.0,3277.0,9.061509136031505,0.008598104596371448,0.0013180192054227076,0.0010272288870687826,-0.0014973494624075706,-1.1523217093644852e-05,-0.0005010103626498977,0.7,699.0,4.0,0.3
1.0,1.0,175.0,3277.0,0.061973288781790266,0.17360530285873677,0.785202493569903,0.6443993847035305,0.7766459255418704,0.5944059096637965,0.45585361334759844,0.7,699.0,4.0,0.3
1.0,2.0,175.0,3277.0,0.08457995315159934,0.2508081186647877,0.6755464492785213,1.4058980675456019,0.7130746210651047,0.5046424739365741,0.36124448464636466,0.7,699.0,4.0,0.3
1.0,4.0,174.0,3277.0,0.12278592634182006,0.30975050538357385,0.5393459815713137,1.9879108741133806,0.6213637180203485,0.3918155276086995,0.25527785573958567,0.7,699.0,4.0,0.3
1.0,8.0,173.0,3277.0,0.19657439244899386,0.3195966226920415,0.37206594922396596,2.409297406160096,0.48270263082885256,0.25028421187198663,0.139784869435337,0.7,699.0,4.0,0.3
1.0,16.0,171.0,3277.0,0.3410419074394298,0.26327057250964314,0.2081957003178274,1.348424654489956,0.30080852553915016,0.11145715971304392,0.048203377376316914,0.7,699.0,4.0,0.3
1.0,32.0,167.0,3277.0,0.6281810966712101,0.1719433477805432,0.08994461488984191,0.30510130875097263,0.11971375808513507,0.022678928137066883,0.006176413390609826,0.7,699.0,4.0,0.3
1.0,64.0,159.0,3277.0,1.2012877056555393,0.10165194851299653,0.03238888153185053,0.05437738531146713,0.01966226814935165,0.0003065385155523365,0.00029816909642835487,0.7,699.0,4.0,0.3
1.0,128.0,143.0,3277.0,2.330375328256797,0.05498165673411903,0.011425254635507918,0.014142315812571098,0.001937118945077765,-0.0015203527489209632,-0.0009805558123796262,0.7,699.0,4.0,0.3
1.0,256.0,111.0,3277.0,4.5181014925981815,0.02933212336479185,0.00381308986740784,0.0031058613479911794,0.0014214402416797428,-7.02552746430001e-06,-0.0004234235482319861,0.7,699.0,4.0,0.3
1.0,512.0,47.0,3277.0,8.721953499138474,0.008815950589754928,0.0015712347177945579,0.0015839438433473186,0.0017504443426455709,-0.0007351233745134301,0.0001282069138139071,0.7,699.0,4.0,0.3
2.0,1.0,175.0,3277.0,0.061922135314600564,0.16712057727260032,0.7855163695017219,0.7061941820854065,0.7767227969581322,0.5945128067737894,0.45603787864180073,0.7,699.0,4.0,0.3
2.0,2.0,175.0,3277.0,0.08424156621146267,0.25171628431359205,0.6771419852652688,1.6261057487871557,0.714018851741218,0.5060033923839269,0.3626258021411959,0.7,699.0,4.0,0.3
2.0,4.0,174.0,3277.0,0.12065192041226697,0.31954820345888146,0.5459822728245276,2.4313205499537505,0.6265636934920108,0.3980450288706421,0.2607969330425198,0.7,699.0,4.0,0.3
2.0,8.0,173.0,3277.0,0.19263289479304194,0.3263957039102068,0.37992947871043775,2.8751040365259524,0.4899959029527905,0.2578034834758211,0.1455252444346035,0.7,699.0,4.0,0.3
2.0,16.0,171.0,3277.0,0.334455939623242,0.2664994333819126,0.21407755988486116,1.8947557102745436,0.30663168953133235,0.11513844959904701,0.05039674204921238,0.7,699.0,4.0,0.3
2.0,32.0,167.0,3277.0,0.6205912844851639,0.18093678981557781,0.0924717546901924,0.604413724213583,0.1225193587484855,0.026024632410444264,0.008078885467820287,0.7,699.0,4.0,0.3
2.0,64.0,159.0,3277.0,1.1924555415103113,0.10915749440642109,0.03233706239216341,0.09168694861517301,0.018695136543889317,0.0003243519386308171,8.038164675787828e-05,0.7,699.0,4.0,0.3
2.0,128.0,143.0,3277.0,2.336921352993638,0.06790311568515217,0.011117963513447187,0.011192906016117592,0.0006398675834093581,-0.0004788081907342037,0.00016999715257638625,0.7,699.0,4.0,0.3
2.0,256.0,111.0,3277.0,4.682531864074173,0.036707585933152265,0.00388731728371643,0.005144849094077541,0.00036483670256606967,-0.0009588149099535585,0.0003319753602049696,0.7,699.0,4.0,0.3
2.0,512.0,47.0,3277.0,9.374438216725832,0.02390687656213819,0.0015842201286854218,0.0011769755403208757,0.0014463517840470504,-0.0003761609604962738,-0.0004913134948528897,0.7,699.0,4.0,0.3
3.0,1.0,175.0,3277.0,0.062106616336311087,0.16583387409191275,0.7842486594882079,0.6797069594514643,0.7760788739459633,0.5933262255979179,0.4544058843654748,0.7,699.0,4.0,0.3
3.0,2.0,175.0,3277.0,0.08449354089938278,0.23988095674775045,0.6749919351323074,1.2144915421646232,0.7129145485350897,0.5039306434320532,0.36007058510996204,0.7,699.0,4.0,0.3
3.0,4.0,174.0,3277.0,0.12167118184850352,0.30853114873442866,0.5416732433295101,2.0874473509161753,0.6236082536551217,0.39404313171102945,0.25684998593452907,0.7,699.0,4.0,0.3
3.0,8.0,173.0,3277.0,0.1950960459090224,0.3148485361299158,0.3724681216606899,1.9775316076345593,0.4840466129224319,0.25082986969721666,0.13948904547349295,0.7,699.0,4.0,0.3
3.0,16.0,171.0,3277.0,0.3386733853007007,0.25718142999317806,0.20818499304919813,1.2641243248720133,0.3009155338438583,0.11008894326735442,0.04687587792873787,0.7,699.0,4.0,0.3
3.0,32.0,167.0,3277.0,0.6249909109066294,0.17632516835922507,0.09042519172823106,0.2868487113453697,0.12058383040887143,0.02275698908926384,0.005074664366474829,0.7,699.0,4.0,0.3
3.0,64.0,159.0,3277.0,1.1999117072964334,0.10685468714824542,0.03317960321892818,0.04881626097881055,0.019301249626282217,0.0017566104714304216,0.0002521988440097327,0.7,699.0,4.0,0.3
3.0,128.0,143.0,3277.0,2.3540311044742595,0.0670563288690218,0.010940844325037185,0.01307249741025303,-0.0010383821002421065,-4.5960725117357076e-05,-0.0007934349860983025,0.7,699.0,4.0,0.3
3.0,256.0,111.0,3277.0,4.644702148312795,0.035235711371220724,0.004077009569838376,0.003479301782792945,8.275423322421764e-05,0.0004160839197002998,-0.0005017471659091049,0.7,699.0,4.0,0.3
3.0,512.0,47.0,3277.0,9.177624886546864,0.029339036099697458,0.001369960848986164,0.0013747958424029751,0.0011122951561166137,-0.0007828316616844568,-0.0019472536774402642,0.7,699.0,4.0,0.3
4.0,1.0,175.0,3277.0,0.06203161869974894,0.1692728236040406,0.7845642791752039,0.7710030054866011,0.7764038378695267,0.5940222850179575,0.4554400560626077,0.7,699.0,4.0,0.3
4.0,2.0,175.0,3277.0,0.08453164921842715,0.24081178350331323,0.6757190810410219,1.7179873179177074,0.7127637369312726,0.5038628061753222,0.3602773918090893,0.7,699.0,4.0,0.3
4.0,4.0,174.0,3277.0,0.1220993453126939,0.31216038893829,0.5420836270909404,2.454007254910807,0.622939693238859,0.39383467786645976,0.25706604585526566,0.7,699.0,4.0,0.3
4.0,8.0,173.0,3277.0,0.19536563993929343,0.31417374722929536,0.373318328303238,2.8897360616443346,0.4838934597940891,0.2512961917270796,0.14050023891276442,0.7,699.0,4.0,0.3
4.0,16.0,171.0,3277.0,0.338579782508332,0.25245655577921355,0.20896662365913765,1.5599901388769266,0.3013018254733469,0.1115859376741546,0.04852417883020646,0.7,699.0,4.0,0.3
4.0,32.0,167.0,3277.0,0.6231207818789026,0.16827275934484454,0.09097520552425817,0.3988538503367457,0.11955677089113742,0.02366025863219214,0.0067310312254625065,0.7,699.0,4.0,0.3
4.0,64.0,159.0,3277.0,1.1946243762582902,0.09905312468076355,0.032431104534558566,0.05442127405870738,0.018030854120490648,0.001545968568338249,0.0003790245803268064,0.7,699.0,4.0,0.3
4.0,128.0,143.0,3277.0,2.32551335097136,0.05373581003278605,0.010859753612271159,0.01143946117922401,-0.0001250169033928918,-0.0015730672447390398,-0.00015449747119471605,0.7,699.0,4.0,0.3
4.0,256.0,111.0,3277.0,4.5840937757372355,0.029969116225014414,0.0036398925626878018,0.004105665265757307,0.0010672136115967865,-9.096057792713335e-05,-0.0005951448328279893,0.7,699.0,4.0,0.3
4.0,512.0,47.0,3277.0,8.945049920162871,0.03694297863355911,0.001493322252449373,0.0013535218713690064,0.0009579045937670003,-0.0015456529008299868,0.00021286967900188594,0.7,699.0,4.0,0.3
5.0,1.0,175.0,3277.0,0.062127154478386896,0.17631770476900344,0.784838048737957,0.7206551537307013,0.7762397660395283,0.5938853783079087,0.45531646036639295,0.7,699.0,4.0,0.3
5.0,2.0,175.0,3277.0,0.08431742267875539,0.24683825971961215,0.6769850472993593,1.8762451371027489,0.7135483603873248,0.5049794613434403,0.3613537767134557,0.7,699.0,4.0,0.3
5.0,4.0,174.0,3277.0,0.12155321472891376,0.3173576434168628,0.5440285655158384,2.785337200673144,0.6246254139451641,0.3960915567844163,0.2593664671881177,0.7,699.0,4.0,0.3
5.0,8.0,173.0,3277.0,0.19434214562644145,0.3304056126283246,0.3777863229621058,3.5971978357119476,0.48721047293236197,0.25502977144469047,0.14371164536221182,0.7,699.0,4.0,0.3
5.0,16.0,171.0,3277.0,0.33685845588550967,0.26949275818360774,0.21182189529362008,1.9947902563479778,0.30488930526234476,0.11370721912914125,0.04908304335001678,0.7,699.0,4.0,0.3
5.0,32.0,167.0,3277.0,0.6215297242146447,0.1806958715917122,0.09258687385680271,0.4841004193210994,0.12191601402021854,0.02439054380726741,0.006718127367331427,0.7,699.0,4.0,0.3
