block_index,lag,origin_count,particle_count,msd,ngp_3d,overlap_mean,overlap_chi4,fs_k2,fs_k4,fs_k7p25,replicate,temperature,representation,calibration_debye_waller_factor,analysis_window,window_dw_event_count,window_phop_event_count,oracle_uses_heldout_events,prediction_claim_allowed,thermodynamic_claim_allowed
0.0,20.0,312.0,3277.0,0.039439034265083064,0.6894572448102572,0.9162920666964001,0.7068347798454632,0.9742726065504118,0.9031194881740169,0.7273620752980499,1.0,0.45,observed_trajectory,0.03194276615977287,heldout,84739.0,5041.0,0.0,0.0,0.0
0.0,50.0,310.0,3277.0,0.047091920203606114,1.1419796763703234,0.8874304783092326,1.3635645023159875,0.9696073952007812,0.8884326746989446,0.6994078256700247,1.0,0.45,observed_trajectory,0.03194276615977287,heldout,84739.0,5041.0,0.0,0.0,0.0
0.0,100.0,307.0,3277.0,0.0570676716703697,1.6297339342658397,0.8564658030155888,1.8415835434307333,0.9637263303218477,0.8712844740845151,0.6701586799370863,1.0,0.45,observed_trajectory,0.03194276615977287,heldout,84739.0,5041.0,0.0,0.0,0.0
0.0,200.0,301.0,3277.0,0.07543971565197483,2.0528096750212144,0.8071204012259005,2.810279103320886,0.9531991465279716,0.8424536039827798,0.6251232912663965,1.0,0.45,observed_trajectory,0.03194276615977287,heldout,84739.0,5041.0,0.0,0.0,0.0
0.0,500.0,282.0,3277.0,0.12726889615088294,2.240207131422164,0.7020216120521927,4.406201319578683,0.9252086699236458,0.7741688168233672,0.533395281820343,1.0,0.45,observed_trajectory,0.03194276615977287,heldout,84739.0,5041.0,0.0,0.0,0.0
0.0,1000.0,251.0,3277.0,0.21371648432894896,2.035011317785304,0.5812611622475614,5.611960734531065,0.8825336715723144,0.6840225543370759,0.43196745142274323,1.0,0.45,observed_trajectory,0.03194276615977287,heldout,84739.0,5041.0,0.0,0.0,0.0
0.0,2000.0,188.0,3277.0,0.38494087781746295,1.5320813966552245,0.4181367233912699,2.852929999103454,0.8061233874084176,0.5436221107653332,0.29754222992878293,1.0,0.45,observed_trajectory,0.03194276615977287,heldout,84739.0,5041.0,0.0,0.0,0.0
0.0,3000.0,126.0,3277.0,0.5507382500974113,1.3301724324025965,0.32345931964485525,0.6244312901643215,0.7425593344166428,0.44897180267658227,0.22221602781950803,1.0,0.45,observed_trajectory,0.03194276615977287,heldout,84739.0,5041.0,0.0,0.0,0.0
0.0,4096.0,57.0,3277.0,0.7241497850640457,1.1558463559449477,0.258494879248778,0.3088969982360245,0.6826407927767129,0.37539457978844765,0.17428881389704792,1.0,0.45,observed_trajectory,0.03194276615977287,heldout,84739.0,5041.0,0.0,0.0,0.0
0.0,20.0,312.0,3277.0,0.0053882621103231824,32.32249241061462,0.9836036712753221,0.10593979074765912,0.9966105435523333,0.9883906503461231,0.9730438626689104,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,heldout,84739.0,5041.0,1.0,0.0,0.0
0.0,50.0,310.0,3277.0,0.011141730544692882,19.131000582028932,0.9689064545660371,0.2922573627499326,0.9930886163518852,0.977092106921702,0.9492713093577293,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,heldout,84739.0,5041.0,1.0,0.0,0.0
0.0,100.0,307.0,3277.0,0.01972773765915141,13.017589092437614,0.9490417369505557,0.5833719872530181,0.987959628802832,0.9615510372349918,0.9189650262053133,1.0,0.45,oracle_debye_waller_event_path,0.03194276615977287,heldout,84739.0,5041.0,1.0,0.0,0.0
