metric,mean,standard_deviation,standard_error,ci95_low,ci95_high,independent_replicate_count,temperature,threshold,half_window,independence_class,thermodynamic_claim_allowed
event_rate,0.02248391821788221,0.00010629710528764782,4.7537510646926574e-05,0.022390744697014235,0.022577091738750187,5.0,0.7,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
exchange_mean,42.5715492804109,0.16092534512486784,0.07196800220036377,42.43049199609818,42.712606564723615,5.0,0.7,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
exchange_cv2,0.9636547030828521,0.008445067652969172,0.0037767490693247346,0.9562522749069756,0.9710571312587285,5.0,0.7,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
stationary_persistence_mean,41.79804144332029,0.26601624312963795,0.11896608055139636,41.56486792543955,42.03121496120102,5.0,0.7,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
persistence_exchange_ratio,0.9818273515414259,0.004222533826484563,0.0018883745346623567,0.9781261374534876,0.9855285656293641,5.0,0.7,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
jump_squared_mean,0.3138401261914268,0.0009954699197451751,0.0004451876820212943,0.31296755833466505,0.3147126940481886,5.0,0.7,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
count_fano,0.9974047017005521,0.03264039161207679,0.01459722689136353,0.9687941369934796,1.0260152664076245,5.0,0.7,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
correlated_diffusion,0.001334592365068477,1.6086715859568954e-05,7.194198039344028e-06,0.0013204917369113627,0.0013486929932255915,5.0,0.7,0.2,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.0
