record,protocol,model,fold_index,coordinate,coordinate_index,frame_count,training_source_count,held_source_count,memory_order,bath_order,potential_protocol,trace_probe_count,var_spectral_radius,minimum_white_noise_covariance_eigenvalue,training_maximum_absolute_white_residual_correlation,training_maximum_absolute_squared_white_residual_correlation,training_white_residual_excess_kurtosis,held_maximum_absolute_white_residual_correlation,held_maximum_absolute_squared_white_residual_correlation,held_white_residual_excess_kurtosis,held_gaussian_scale_mixture_squared_correlation_bound,thermodynamic_claim_allowed
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,u,0.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8312747203861455,5.2917449975098715e-05,0.008845256094190339,0.02012745175971204,0.05335671343602488,0.021489242568270207,0.029692355668114487,0.10708322789806957,0.01694019905182561,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,p,1.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8312747203861455,5.2917449975098715e-05,0.007878165499308863,0.01778391640455755,0.087546404345626,0.024078094847600165,0.025992829477938278,0.10749507346931075,0.017002028430582093,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,1.0,Lp,2.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8312747203861455,5.2917449975098715e-05,0.013621097675285037,0.2326710670820464,1.8440913622060098,0.022196818741601596,0.17449180304880316,1.4983520748800867,0.14276741761156653,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,u,0.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8315978853506512,4.732462605159169e-05,0.008799675313799956,0.018858746209305177,0.05438558253208203,0.018752725706765814,0.03140442629597126,0.109192111453702,0.017256545900639395,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,p,1.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8315978853506512,4.732462605159169e-05,0.00822393186120022,0.01762528724549208,0.08896569149547462,0.023781111267816804,0.025357945075322855,0.10535493978474042,0.01668047159077641,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,Lp,2.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8315978853506512,4.732462605159169e-05,0.00927886112070553,0.1516875459905928,1.1623477835064158,0.01457961891852618,0.11777098487156124,0.9533290048406671,0.10759936817944642,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,L2p,3.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8315978853506512,4.732462605159169e-05,0.012474246440269444,0.275246516551828,3.019833125976609,0.01659913281843803,0.2621737539876403,2.315677994188163,0.17885779841982652,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,2.0,u,0.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8067230007548014,5.397066477153802e-05,0.010035197956603072,0.01677491240561584,0.08596472181514958,0.020523890650513358,0.030820825727826934,0.007541516093671152,0.0012521976147132836,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,2.0,p,1.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8067230007548014,5.397066477153802e-05,0.007315192895070175,0.016051661749917838,0.10529466087628858,0.022451180098593287,0.036983396114089684,0.05336030999075314,0.008662274180705193,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,2.0,Lp,2.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8067230007548014,5.397066477153802e-05,0.013637551221537442,0.16328336830907195,1.2792940284702077,0.04073268567721333,0.32917295286435455,3.1799795538116085,0.2046326966336942,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,2.0,u,0.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.7948301875906888,4.830705454491466e-05,0.009572235717057601,0.01674233184610032,0.08640727782122015,0.015952919998171566,0.03045364041091268,0.005678429353302761,0.0009437254530600691,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,2.0,p,1.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.7948301875906888,4.830705454491466e-05,0.007621573743409136,0.01603785615853748,0.10647046358968248,0.02160935236676277,0.0367488786463102,0.05146676991238852,0.008362597056119428,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,2.0,Lp,2.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.7948301875906888,4.830705454491466e-05,0.007470195350109563,0.11734755863295078,0.9348195519830904,0.020558907925954058,0.1994586226813125,1.6871335212447818,0.15252440335414477,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,2.0,L2p,3.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.7948301875906888,4.830705454491466e-05,0.01268925429935143,0.21079369991961125,2.1047437513300338,0.028137087784400158,0.3787607077596439,5.027072819847653,0.2384621567057486,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,3.0,u,0.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8343026946080446,5.420425889888429e-05,0.008566183279111749,0.02098279363627501,0.06430044901909415,0.0138769121608867,0.02368793401084042,0.07208812602281833,0.011596695642024459,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,3.0,p,1.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8343026946080446,5.420425889888429e-05,0.010125378912290742,0.01860113149322398,0.08719049877409546,0.013031673226502841,0.02940273615744916,0.10819026745471216,0.017106341415969357,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,3.0,Lp,2.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8343026946080446,5.420425889888429e-05,0.013632639130568672,0.23690591091485572,1.960458296402681,0.019489340028232396,0.1666533061735197,1.271687569919763,0.12956489505210209,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,3.0,u,0.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8056745203270173,4.8782278214710454e-05,0.009490705007498192,0.020647289729094517,0.061948493566075236,0.013435645617371586,0.025002334255326397,0.07928172948003054,0.012709794341634927,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,3.0,p,1.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8056745203270173,4.8782278214710454e-05,0.009704343429563,0.017722999950533568,0.08532736364923421,0.01343430098435391,0.029759398356202647,0.11690293240711025,0.018407855900786946,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,3.0,Lp,2.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8056745203270173,4.8782278214710454e-05,0.007775733308688554,0.1420834855181157,1.1203722320769858,0.021129872857920184,0.14280647672732236,1.120877266861136,0.11971818295698561,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,3.0,L2p,3.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.8056745203270173,4.8782278214710454e-05,0.010061897341291717,0.3026642864615729,3.053110631247744,0.020379476516202335,0.21634599493531956,2.4057541436096797,0.1820160684710549,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,4.0,u,0.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.838677138862943,5.364582194304006e-05,0.01280447788898018,0.019332291582376142,0.06088225263717417,0.022732121424377916,0.01946207820559666,0.08672060443857266,0.013852773622258938,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,4.0,p,1.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.838677138862943,5.364582194304006e-05,0.009043093514996568,0.020771942843747632,0.0895523981700177,0.01836979126950031,0.021236263472022582,0.1010005244399883,0.016024194705505767,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator,4.0,Lp,2.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.838677138862943,5.364582194304006e-05,0.0174069187602858,0.23625192439792295,1.9739303834391233,0.031297486639554124,0.14686593683926796,0.921776131030986,0.10516161970124722,0.0
coordinate_fold,l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,4.0,u,0.0,200.0,576.0,192.0,40.0,16.0,ka_lj_cut,4.0,0.7953799574813674,4.794684786742578e-05,0.010702651558108095,0.01954873329517976,0.06356785097548112,0.021055214910793436,0.018987741616430118,0.08392919517023012,0.013424831541741223,0.0
