q_over_A,t_over_t_peak,alpha_over_alpha_peak,predicted_t_peak,predicted_alpha_peak
0.3,0.01,0.0002543965729895348,23.015724474120155,0.075
0.3,0.01570815450643777,0.0005913427216608369,23.015724474120155,0.075
0.3,0.021416309012875535,0.0011446942087397125,23.015724474120155,0.075
0.3,0.02712446351931331,0.0019813796906446397,23.015724474120155,0.075
0.3,0.032832618025751076,0.0031665848147118445,23.015724474120155,0.075
0.3,0.03854077253218884,0.004759338725778643,23.015724474120155,0.075
0.3,0.044248927038626616,0.006809781420023716,23.015724474120155,0.075
0.3,0.04995708154506438,0.009358097462014808,23.015724474120155,0.075
0.3,0.05566523605150215,0.012434685894273656,23.015724474120155,0.075
0.3,0.061373390557939916,0.016061032746224058,23.015724474120155,0.075
0.3,0.06708154506437768,0.0202508500753229,23.015724474120155,0.075
0.3,0.07278969957081545,0.025011209199788574,23.015724474120155,0.075
0.3,0.07849785407725322,0.030343540192700285,23.015724474120155,0.075
0.3,0.08420600858369098,0.03624446461180912,23.015724474120155,0.075
0.3,0.08991416309012876,0.0427064769976641,23.015724474120155,0.075
0.3,0.09562231759656652,0.04971850778352642,23.015724474120155,0.075
0.3,0.10133047210300429,0.05726640044770489,23.015724474120155,0.075
0.3,0.10703862660944206,0.06533332903854532,23.015724474120155,0.075
0.3,0.11274678111587982,0.07390017419104389,23.015724474120155,0.075
0.3,0.1184549356223176,0.08294586889995811,23.015724474120155,0.075
0.3,0.12416309012875536,0.09244772032658943,23.015724474120155,0.075
0.3,0.12987124463519314,0.10238171068111572,23.015724474120155,0.075
0.3,0.13557939914163092,0.1127227783416925,23.015724474120155,0.075
0.3,0.1412875536480687,0.12344507942239069,23.015724474120155,0.075
0.3,0.14699570815450647,0.13452222963821056,23.015724474120155,0.075
0.3,0.1527038626609442,0.1459275262863032,23.015724474120155,0.075
0.3,0.15841201716738199,0.15763415030356498,23.015724474120155,0.075
0.3,0.16412017167381976,0.16961534856992108,23.015724474120155,0.075
0.3,0.16982832618025753,0.18184459684685925,23.015724474120155,0.075
0.3,0.1755364806866953,0.19429574394144686,23.015724474120155,0.075
0.3,0.18124463519313305,0.20694313785460494,23.015724474120155,0.075
0.3,0.18695278969957083,0.21976173480475167,23.015724474120155,0.075
0.3,0.1926609442060086,0.2327271921153251,23.015724474120155,0.075
0.3,0.19836909871244637,0.24581594602045936,23.015724474120155,0.075
0.3,0.20407725321888415,0.25900527548195684,23.015724474120155,0.075
0.3,0.2097854077253219,0.2722733531261549,23.015724474120155,0.075
0.3,0.21549356223175967,0.2855992844061965,23.015724474120155,0.075
0.3,0.22120171673819744,0.29896313607654434,23.015724474120155,0.075
0.3,0.22690987124463521,0.31234595503589685,23.015724474120155,0.075
0.3,0.232618025751073,0.32572977855416835,23.015724474120155,0.075
0.3,0.23832618025751073,0.33909763685181876,23.015724474120155,0.075
0.3,0.2440343347639485,0.3524335489470717,23.015724474120155,0.075
0.3,0.24974248927038628,0.3657225126302303,23.015724474120155,0.075
0.3,0.255450643776824,0.37895048936606857,23.015724474120155,0.075
0.3,0.26115879828326183,0.39210438486586047,23.015724474120155,0.075
0.3,0.2668669527896996,0.40517202601154584,23.015724474120155,0.075
