replicate,temperature,block_size,rate_window_index,rate_window_count,first_block_index,last_block_index,window_block_count,window_midpoint_time,mean_count_per_particle_block,event_count
1.0,0.45,20.0,0.0,6.0,0.0,83.0,84.0,840.0,0.101820771030414,28028.0
1.0,0.45,20.0,1.0,6.0,84.0,167.0,84.0,2520.0,0.09973916328814102,27455.0
1.0,0.45,20.0,2.0,6.0,168.0,250.0,83.0,4190.0,0.09936725847546427,27027.0
1.0,0.45,20.0,3.0,6.0,251.0,333.0,83.0,5850.0,0.10045552977855884,27323.0
1.0,0.45,20.0,4.0,6.0,334.0,416.0,83.0,7510.0,0.1112279450422992,30253.0
1.0,0.45,20.0,5.0,6.0,417.0,499.0,83.0,9170.0,0.09897386310576453,26920.0
1.0,0.45,50.0,0.0,6.0,0.0,33.0,34.0,850.0,0.2541959108941105,28322.0
1.0,0.45,50.0,1.0,6.0,34.0,67.0,34.0,2550.0,0.251413595648818,28012.0
1.0,0.45,50.0,2.0,6.0,68.0,100.0,33.0,4225.0,0.24858286866220952,26882.0
1.0,0.45,50.0,3.0,6.0,101.0,133.0,33.0,5875.0,0.24980349728595075,27014.0
1.0,0.45,50.0,4.0,6.0,134.0,166.0,33.0,7525.0,0.277840966885825,30046.0
1.0,0.45,50.0,5.0,6.0,167.0,199.0,33.0,9175.0,0.2471772963075984,26730.0
1.0,0.45,100.0,0.0,6.0,0.0,16.0,17.0,850.0,0.508391821788221,28322.0
1.0,0.45,100.0,1.0,6.0,17.0,33.0,17.0,2550.0,0.502827191297636,28012.0
1.0,0.45,100.0,2.0,6.0,34.0,50.0,17.0,4250.0,0.5004397853129656,27879.0
1.0,0.45,100.0,3.0,6.0,51.0,67.0,17.0,5950.0,0.49465974977113214,27557.0
1.0,0.45,100.0,4.0,6.0,68.0,83.0,16.0,7600.0,0.5653227036924016,29641.0
1.0,0.45,100.0,5.0,6.0,84.0,99.0,16.0,9200.0,0.48815608788526094,25595.0
2.0,0.45,20.0,0.0,6.0,0.0,83.0,84.0,840.0,0.10758606158362033,29615.0
2.0,0.45,20.0,1.0,6.0,84.0,167.0,84.0,2520.0,0.09606274612377755,26443.0
2.0,0.45,20.0,2.0,6.0,168.0,250.0,83.0,4190.0,0.09851061248350129,26794.0
2.0,0.45,20.0,3.0,6.0,251.0,333.0,83.0,5850.0,0.08521973153523463,23179.0
2.0,0.45,20.0,4.0,6.0,334.0,416.0,83.0,7510.0,0.0969774735193444,26377.0
2.0,0.45,20.0,5.0,6.0,417.0,499.0,83.0,9170.0,0.09573478534216205,26039.0
2.0,0.45,50.0,0.0,6.0,0.0,33.0,34.0,850.0,0.2686011236963507,29927.0
2.0,0.45,50.0,1.0,6.0,34.0,67.0,34.0,2550.0,0.24097542587373674,26849.0
2.0,0.45,50.0,2.0,6.0,68.0,100.0,33.0,4225.0,0.24507818496222525,26503.0
2.0,0.45,50.0,3.0,6.0,101.0,133.0,33.0,5875.0,0.21301818921593105,23036.0
2.0,0.45,50.0,4.0,6.0,134.0,166.0,33.0,7525.0,0.2427478939532647,26251.0
2.0,0.45,50.0,5.0,6.0,167.0,199.0,33.0,9175.0,0.2393264349321719,25881.0
2.0,0.45,100.0,0.0,6.0,0.0,16.0,17.0,850.0,0.5372022473927014,29927.0
2.0,0.45,100.0,1.0,6.0,17.0,33.0,17.0,2550.0,0.4819508517474735,26849.0
2.0,0.45,100.0,2.0,6.0,34.0,50.0,17.0,4250.0,0.48968748317148036,27280.0
2.0,0.45,100.0,3.0,6.0,51.0,67.0,17.0,5950.0,0.42542497621569225,23700.0
2.0,0.45,100.0,4.0,6.0,68.0,83.0,16.0,7600.0,0.4879844369850473,25586.0
2.0,0.45,100.0,5.0,6.0,84.0,99.0,16.0,9200.0,0.47881064998474215,25105.0
3.0,0.45,20.0,0.0,6.0,0.0,83.0,84.0,840.0,0.08346411497159133,22975.0
3.0,0.45,20.0,1.0,6.0,84.0,167.0,84.0,2520.0,0.10285975848990801,28314.0
3.0,0.45,20.0,2.0,6.0,168.0,250.0,83.0,4190.0,0.10675720887823494,29037.0
3.0,0.45,20.0,3.0,6.0,251.0,333.0,83.0,5850.0,0.11233092271435452,30553.0
3.0,0.45,20.0,4.0,6.0,334.0,416.0,83.0,7510.0,0.11784581107463114,32053.0
3.0,0.45,20.0,5.0,6.0,417.0,499.0,83.0,9170.0,0.10684544709199936,29061.0
3.0,0.45,50.0,0.0,6.0,0.0,33.0,34.0,850.0,0.2097057926008365,23365.0
3.0,0.45,50.0,1.0,6.0,34.0,67.0,34.0,2550.0,0.257319284137213,28670.0
3.0,0.45,50.0,2.0,6.0,68.0,100.0,33.0,4225.0,0.26583811875236957,28748.0
3.0,0.45,50.0,3.0,6.0,101.0,133.0,33.0,5875.0,0.28166005492828805,30459.0
3.0,0.45,50.0,4.0,6.0,134.0,166.0,33.0,7525.0,0.2945691273430059,31855.0
3.0,0.45,50.0,5.0,6.0,167.0,199.0,33.0,9175.0,0.26720670236080674,28896.0
3.0,0.45,100.0,0.0,6.0,0.0,16.0,17.0,850.0,0.419411585201673,23365.0
3.0,0.45,100.0,1.0,6.0,17.0,33.0,17.0,2550.0,0.514638568274426,28670.0
3.0,0.45,100.0,2.0,6.0,34.0,50.0,17.0,4250.0,0.5336660144680393,29730.0
3.0,0.45,100.0,3.0,6.0,51.0,67.0,17.0,5950.0,0.5665870864671777,31564.0
3.0,0.45,100.0,4.0,6.0,68.0,83.0,16.0,7600.0,0.5857491608178211,30712.0
3.0,0.45,100.0,5.0,6.0,84.0,99.0,16.0,9200.0,0.5331095514189808,27952.0
