model,replicate,realization,temperature,block_size,surrogate_seed,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_0p10_absolute_error,lag_one_cosine_quantile_0p25_absolute_error,lag_one_cosine_quantile_0p50_absolute_error,lag_one_cosine_quantile_0p75_absolute_error,lag_one_cosine_quantile_0p90_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,normalized_lag_one_dot_correlation_absolute_error,calibration_path_used_in_kernel,heldout_events_used_in_calibration,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,calibration_time,surrogate_realizations_per_replicate,surrogate_base_seed
radial_recoil_markov_surrogate,1.0,0.0,0.58,20.0,1781034.0,0.001481925968922826,0.004835778327877627,0.001977071764241667,0.00030989160446559527,0.0028203780001898604,0.0028601888751598192,0.0041515123706972745,0.00491367452363356,0.00491367452363356,0.001291658281416752,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,1.0,0.58,20.0,1878443.0,0.0018821888151472344,0.0017640197605532926,0.0007782306670693351,0.0013949224978483388,0.0010905556560254492,0.00012184470934140101,0.0012206556848186612,0.001977173234845697,0.001977173234845697,0.003401334681438023,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,2.0,0.58,20.0,1975852.0,0.00275476042004974,0.0028164857776121766,0.0009582210918022971,4.480739808743195e-06,0.00019741123868599608,0.0024456369998539507,0.0020324875513783036,0.0003641410560257796,0.0024456369998539507,0.0004533747147617284,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,3.0,0.58,20.0,2073261.0,0.0016248175944370002,0.004089523708936449,0.00367483494198359,0.0010954405920705623,0.004018987556426934,0.007126600348323575,0.003920327237368015,0.0008564996766241562,0.007126600348323575,0.004376553307654629,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,4.0,0.58,20.0,2170670.0,0.001987563335097642,0.0016281523782986085,0.0007143606645227951,0.0009288835742587986,0.0017688752047912981,0.00028754367617478405,0.0010939920660535396,0.0013591989057540887,0.0017688752047912981,0.0002655841524665248,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,5.0,0.58,20.0,2268079.0,0.0008956823928618629,0.00021805394006646495,0.001014764402380408,0.0004050733088437619,2.801029768983998e-05,0.005095770968109092,0.0007764547842195602,0.0008869982658223918,0.005095770968109092,0.0012030739781523914,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,6.0,0.58,20.0,2365488.0,0.0012679890910074487,0.0018167339359980161,0.0028043175463692283,0.0011957423620032603,0.002854973045308906,0.006832755945925029,0.0012458829464724874,0.0005360307479498339,0.006832755945925029,0.0006566721775106144,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,7.0,0.58,20.0,2462897.0,0.0001674531441742122,0.002598470774837325,0.0027637135646179645,0.0016174089848672857,0.0010004348077670144,0.003972255473807085,0.002646706063420212,0.005044800975983144,0.005044800975983144,0.0015557981400286802,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,8.0,0.58,20.0,2560306.0,0.0032969964323819045,0.006697097783787687,0.0026710901802442233,0.002526694973914556,0.002566331012501477,0.003914049479936399,0.002525860633775967,0.00018948905540649985,0.003914049479936399,0.0007244407231749017,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,9.0,0.58,20.0,2657715.0,0.00018643341179691575,0.0005074921746589522,0.0011867840627146353,0.0011025120386156662,0.001725977999748718,0.0009926698627799602,0.0020670040875956364,0.0009649379683949189,0.0020670040875956364,0.0022918120570603606,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,10.0,0.58,20.0,2755124.0,0.0009675568149822844,0.00182841699562164,0.0008699814483182633,0.0009329448960313513,0.0006827879846370566,0.002029905001263821,0.002207382921587009,0.00011849679641129374,0.002207382921587009,0.0015680249217609743,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
