record_type,signature,flag_value,temperature,inverse_temperature_shift,diffusion_coefficient,tau_alpha_poisson,tau_alpha_exchange,normalized_stokes_einstein_product,ngp_peak_time,ngp_peak_height,heterogeneity_ratio,late_ngp_renewal_amplitude,alpha_rate_renormalization,median_alpha_window_beta,chi4_peak,late_ngp,later_ngp,gaussian_recovery_ratio,apparent_alpha_activation_energy,local_fragility_index
temperature_row,,nan,1.0,0.0,0.072,18.968638651492036,39.00275839261582,1.0,11.30678245091849,0.2,25.0,26.0,0.24604599961886897,0.8151657719371954,0.04757485861117236,0.17119614374436876,0.06010347322501902,0.3510795974164344,3.8776224069294796,1.6840300142338784
temperature_row,,nan,0.9776470588235294,0.022864019253910906,0.06886040101154724,20.171720783538007,42.61858411659536,1.0450588460347674,12.089391056774524,0.2011464744679502,27.394216155160652,28.394216155160652,0.23232545248874278,0.8089035898210746,0.04844783500821481,0.1790736349111184,0.06287563734312344,0.35111610580938507,3.9062436236544045,1.735247945986089
temperature_row,,nan,0.9552941176470588,0.046798029556650134,0.06572043823632225,21.531656327322516,46.82885432083937,1.0959384508604981,12.978326259237075,0.2023536428620014,30.14647325691981,31.14647325691981,0.21856780352683844,0.8018903596424867,0.0493623207298121,0.18751541489391746,0.06584385874020829,0.3511383785565466,3.9664071873536244,1.8032025138937375
temperature_row,,nan,0.9329411764705883,0.07187894073139978,0.0625835325122238,23.07748856588752,51.76811821465917,1.15370462205179,13.9933828936156,0.2036264324679555,33.327790143416024,34.327790143416024,0.20481228792200018,0.7944314210493566,0.050323205360802536,0.1965594999788704,0.06902061818385212,0.3511436394133667,4.029932530650143,1.875978362456746
temperature_row,,nan,0.9105882352941177,0.09819121447028412,0.05945342606323547,24.845112728654954,57.609705548839926,1.2196766867438533,15.159005607256134,0.20497031630986015,37.02675216055552,38.02675216055552,0.1911019061114911,0.7875445065649167,0.051332145327280795,0.20624365618295742,0.07241806850048559,0.3511287078631111,4.097008720773928,1.954020720646479
temperature_row,,nan,0.888235294117647,0.1258278145695364,0.05633420393513853,26.87922911757431,64.57935775890437,1.2955019294079657,16.50561613547768,0.20639139053030037,41.35474153216013,42.35474153216013,0.177483366611255,0.7804985536149438,0.05239108997630022,0.21660423761487346,0.07604757326127178,0.35108996065204334,4.167819028884907,2.037816801249897
temperature_row,,nan,0.8658823529411764,0.15489130434782616,0.05323031556717241,29.235954061155972,72.97454163739278,1.3832561108120964,18.071389787504998,0.20789646526664557,46.452999698488824,47.452999698488824,0.1640069398157294,0.7723579684761805,0.053503107412799594,0.2276746236098031,0.07991909736694117,0.35102329851178043,4.242533037311048,2.127897261259465
temperature_row,,nan,0.8435294117647059,0.18549511854951195,0.050146596105867226,31.9863476004356,83.19220062931015,1.4855807127655887,19.904658031461942,0.20949317184074134,52.50226434593486,53.50226434593486,0.15072620613070167,0.7643829140472782,0.05467126745572125,0.2394831692525082,0.08404042119276336,0.3509241232069722,4.321295659916558,2.2248363051716837
temperature_row,,nan,0.8211764705882353,0.2177650429799427,0.047088286941681455,35.22123425424218,95.76922993611868,1.6058725236033586,22.067194018596034,0.21119008976986375,59.736068281546885,60.736068281546885,0.13769768119059408,0.7569455631617448,0.0558985930446773,0.25205058568966016,0.0884161525321512,0.3507873321945559,4.404212155081744,2.329249685774707
temperature_row,,nan,0.7988235294117647,0.25184094256259204,0.04406105479337569,39.057871159307965,111.44245722052685,1.7485487694633355,24.638758918023342,0.2129968979926704,68.45931280310064,69.45931280310064,0.1249803009455711,0.7478364444293835,0.05718799632422758,0.26538668383731423,0.09304651951945432,0.35060734085849293,4.491328067720403,2.44178961236221
temperature_row,,nan,0.7764705882352941,0.28787878787878785,0.04107100847325122,43.649291459847205,131.23905373250528,1.919422750113347,27.723472860458926,0.2149245558487532,79.07454193500566,80.07454193500566,0.11263475033642015,0.7401523264476904,0.058542194066652814,0.27948645838692066,0.09792594695601793,0.3503781454071359,4.582602983893672,2.5631353187267245
temperature_row,,nan,0.7541176470588236,0.32605304212168473,0.03812471223172533,49.197578066098586,156.6153140259375,2.126243410720537,31.458864415647106,0.21698552084082257,92.1196240040015,93.1196240040015,0.10072262140799008,0.7307349783068187,0.05996359448579057,0.2943255729759574,0.10304145314357145,0.3500934427875508,4.6778771359692755,2.6939778363446445
temperature_row,,nan,0.7317647058823529,0.36655948553054674,0.03522919429482734,55.97300145770612,189.67386372629989,2.3794817744400234,36.028912887957745,0.21919401216399903,108.32259514284496,109.32259514284496,0.08930539039524184,0.7232304907370004,0.06145416840395547,0.3098554496995895,0.10837096027003883,0.34974682670615104,4.776830444440613,2.8349974880334625
temperature_row,,nan,0.7094117647058824,0.4096185737976781,0.03239194886540474,64.3420525767668,233.51077380492785,2.693495051636863,41.68314140171435,0.2215663315734882,128.68275605761715,129.68275605761715,0.07844320894133641,0.7130073778486459,0.06302034253317446,0.32599838408429865,0.11388169352431365,0.34933207980216685,4.878934786796663,2.986832980349697
temperature_row,,nan,0.6870588235294117,0.4554794520547947,0.029620929450774547,74.80921136598735,292.78281770998797,3.088278433941503,48.76504346949922,0.22412125661402854,154.59265620043325,155.59265620043325,0.06819351259112272,0.7049699203188045,0.0646593247127788,0.3426434087109076,0.11952895308809328,0.3488435792119419,4.983402449916504,3.1500420502339064
temperature_row,,nan,0.6647058823529411,0.5044247787610621,0.02692453090029963,88.08033835544842,374.65705319139147,3.5921481444846233,57.755184818764306,0.22688052588452262,188.02500135377662,189.02500135377662,0.05860946045571573,0.6960960692758578,0.06637768744150407,0.3596439990427243,0.12525566956486045,0.34827682346503036,5.089137083562306,3.325055805458885
temperature_row,,nan,0.6423529411764706,0.5567765567765568,0.0243115569831695,105.1608239488229,490.44218951277,4.245929479192483,69.33786227775377,0.22986944233740123,231.82483199373345,232.82483199373345,0.049738233814547506,0.6860756141722364,0.06817491219715034,0.37681909088380305,0.13099327007883477,0.34762906988496556,5.194697938885518,3.5121325137552195
temperature_row,,nan,0.62,0.6129032258064517,0.021791169712862712,127.51088979361785,658.4710705474172,5.1096296492347575,84.50643638367754,0.2331176293105126,290.17631706068903,291.17631706068903,0.04161923861711118,0.676256029039322,0.07005240962417571,0.3939591271908846,0.13666443757742563,0.34690004151422477,5.24907644122625,3.6768466669563207
summary_flag,diffusion_slowdown,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary_flag,alpha_slowdown,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary_flag,ngp_peak_shift,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
