temperature,lag,wave_number,independent_replicate_count,observed_msd,observed_ngp,cumulant_fs,observed_fs,absolute_error,error_tolerance,approximation_in_unit_interval,within_validity_tolerance,observed_msd_used,observed_ngp_used,heldout_prediction_claim_allowed,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
0.45,20.0,2.0,3.0,0.03949186469853002,0.6751140847848851,0.9742435754370585,0.9742347768868321,8.798550226396529e-06,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,20.0,4.0,3.0,0.03949186469853002,0.6751140847848851,0.9034197909122671,0.9029575283359126,0.00046226257635451073,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,20.0,7.25,3.0,0.03949186469853002,0.6751140847848851,0.7367089756890103,0.7268548226920929,0.009854152996917387,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,50.0,2.0,3.0,0.04695635520102237,1.1372428051231493,0.9697208685515054,0.9696913070864693,2.9561465036076484e-05,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,50.0,4.0,3.0,0.04695635520102237,1.1372428051231493,0.8902069004842763,0.8886703237343586,0.0015365767499176952,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,50.0,7.25,3.0,0.04695635520102237,1.1372428051231493,0.7296881022469313,0.6995204967944827,0.030167605452448565,0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,100.0,2.0,3.0,0.057100198209926144,1.591737265317109,0.9637594771289257,0.9636844599785942,7.501715033153555e-05,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,100.0,4.0,3.0,0.057100198209926144,1.591737265317109,0.8747521033525093,0.87093838803019,0.003813715322319333,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,100.0,7.25,3.0,0.057100198209926144,1.591737265317109,0.7400200314629067,0.6685948251395887,0.07142520632331806,0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,200.0,2.0,3.0,0.07520056123369138,2.006542528897479,0.9535035823424637,0.9533016497076988,0.00020193263476486756,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,200.0,4.0,3.0,0.07520056123369138,2.006542528897479,0.8519826973880176,0.8424183294324846,0.009564367955532949,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,200.0,7.25,3.0,0.07520056123369138,2.006542528897479,0.7998216157478453,0.623679630548327,0.1761419851995183,0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,500.0,2.0,3.0,0.1262955126161884,2.164410449673618,0.9263296555745913,0.9255414798411173,0.0007881757334740058,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,500.0,4.0,3.0,0.1262955126161884,2.164410449673618,0.8073180055257587,0.7737458591055776,0.03357214642018114,0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,500.0,7.25,3.0,0.1262955126161884,2.164410449673618,1.2440248013514752,0.5291930232489127,0.7148317781025625,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,1000.0,2.0,3.0,0.2096882357573943,1.9242521838872673,0.886042433583095,0.8837103017827217,0.0023321318003732827,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,1000.0,4.0,3.0,0.2096882357573943,1.9242521838872673,0.7723317514794906,0.6839386458670308,0.08839310561245983,0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,1000.0,7.25,3.0,0.2096882357573943,1.9242521838872673,4.094522691531509,0.4252107551608982,3.669311936370611,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,2000.0,2.0,3.0,0.3804918087436149,1.444557669873739,0.8128677179914026,0.8061750197934496,0.006692698197952929,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,2000.0,4.0,3.0,0.3804918087436149,1.444557669873739,0.7625739521491922,0.5420765220261176,0.22049743012307466,0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,2000.0,7.25,3.0,0.3804918087436149,1.444557669873739,109.04200283991773,0.2894792740466868,108.75252356587104,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,3000.0,2.0,3.0,0.5428630069869955,1.188746539691488,0.7527222954714031,0.7409790220423944,0.011743273429008716,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,3000.0,4.0,3.0,0.5428630069869955,1.188746539691488,0.8170633791955798,0.44362214992805216,0.37344122926752765,0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,3000.0,7.25,3.0,0.5428630069869955,1.188746539691488,5925.853870164842,0.2129683136864647,5925.640901851156,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,4096.0,2.0,3.0,0.7020352157102732,0.9929712511655052,0.6981856068788881,0.6816989153185092,0.016486691560378852,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,4096.0,4.0,3.0,0.7020352157102732,0.9929712511655052,0.8763032602400441,0.36547921475070194,0.5108240454893422,0.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.45,4096.0,7.25,3.0,0.7020352157102732,0.9929712511655052,305268.0500856444,0.1585948106586421,305267.8914908338,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
