protocol_id,calibration_observables,heldout_observables,required_consistency_flags,calibration_count,heldout_count,required_consistency_count,stokes_einstein_growth_over_poisson,min_stokes_einstein_growth_over_poisson,thermodynamic_claim_allowed,simultaneous_closure_ready,all_required_dynamical_predictions_pass,stokes_einstein_growth_pass,primary_blocker,closure_stage,multik_tau_alpha_z_consistent,late_ngp_z_consistent,chi4_peak_z_consistent
synthetic_minimal_dynamical_closure,diffusion_coefficient;tau_alpha(k_anchor),tau_alpha(k!=anchor);late_ngp_recovery;stokes_einstein_growth;chi4_proxy_peak,multik_tau_alpha_z_consistent;late_ngp_z_consistent;chi4_peak_z_consistent,2.0,4.0,3.0,3.556196224015211,2.0,0.0,1.0,1.0,1.0,none,simultaneous_dynamical_signature_closure_passed,1.0,1.0,1.0
synthetic_chi4_mismatch_closure,diffusion_coefficient;tau_alpha(k_anchor),tau_alpha(k!=anchor);late_ngp_recovery;stokes_einstein_growth;chi4_proxy_peak,multik_tau_alpha_z_consistent;late_ngp_z_consistent;chi4_peak_z_consistent,2.0,4.0,3.0,3.556196224015211,2.0,0.0,1.0,0.0,1.0,chi4_peak_z_consistent,dynamical_heldout_prediction_failed,1.0,1.0,0.0
