temperature,renewal_delay,renewal_rate,tau_alpha,dynamic_correlation_length,correlation_size,single_particle_chi_peak,chi4_peak,chi4_peak_time,length_growth,correlation_size_growth,chi4_peak_growth
1.0,3.0,0.18,18.968638651492036,1.3114877048604001,8.031565497356496,0.02332146461495302,0.18730787054927706,12.50501002004008,1.0,1.0,1.0
0.9776470588235294,3.3633327926447723,0.1719543117869922,20.171720783538007,1.3443213418802609,8.650014094409837,0.023470703202901996,0.20302191351081236,13.480291754087261,1.0250354135217423,1.0770022478502972,1.0838941947044411
0.9552941176470588,3.7908961277090243,0.16391709664947227,21.531656327322516,1.381960589398325,9.397114296268109,0.023624992106301382,0.22200675107134593,14.586213557517688,1.0537350706962412,1.1700227433071508,1.1852505205484158
0.9329411764705883,4.297386264085984,0.1558975357648734,23.07748856588752,1.4252623279174386,10.30841640674668,0.023789685435795557,0.24523398365769747,15.157113877337338,1.0867523367816467,1.2834878094612545,1.3092561617328364
0.9105882352941177,4.90163273588715,0.14790562803232304,24.845112728654954,1.4752599284915577,11.43176197787391,0.023969829234249854,0.274017382456228,16.50249097452988,1.1248751498197158,1.4233541370778278,1.4629250850627729
0.888235294117647,5.627984366921529,0.13995224002819168,26.87922911757431,1.5332045682364657,12.83239882308881,0.02415828399694428,0.310008735130233,18.04564125666222,1.1690575234173972,1.5977456483810606,1.6550758610470442
0.8658823529411764,6.508238334160321,0.13204915533846104,29.235954061155972,1.6006177558050758,14.600590675557592,0.024355937986455634,0.35561108105950306,19.824693923694767,1.220459597046281,1.8179009659279028,1.8985378458293278
0.8435294117647059,7.584357339673227,0.12420912211602214,31.9863476004356,1.6793587352086434,16.863121448742287,0.024563691291261097,0.4142205094739491,21.886722583425744,1.2804990309744466,2.099605793452423,2.211442094020154
0.8211764705882353,8.912345973967739,0.1164458973757381,35.22123425424218,1.7717118935516174,19.800986918517733,0.024782321284903278,0.4907144195728734,24.290161371936122,1.3509176540394676,2.465395684693727,2.6198280837524974
0.7988235294117647,10.567856638243137,0.10877428612923469,39.057871159307965,1.8805014206796955,23.677101319444642,0.025012226586927283,0.5922170231235844,27.107928851605642,1.4338688908104278,2.9480057564415936,3.1617305849824584
0.7764705882352941,12.654415783577642,0.10121017296113778,43.649291459847205,2.0092435860439206,28.880539843100205,0.02525296287631755,0.7293192005058193,30.431460802190724,1.5320338716082682,3.595879265705537,3.893692231763158
0.7541176470588236,15.31568549930035,0.09377054304383178,49.197578066098586,2.162351617991876,35.99867216030927,0.02550242526123496,0.9180534462719868,34.37588729301882,1.648777651500778,4.482148862778725,4.901307369411713
0.7317647058823529,18.754049760493245,0.08647348886308745,55.97300145770612,2.3454150895989345,45.937428429495355,0.025755434436679783,1.1831384261055375,39.086596695216386,1.788362240001777,5.719610758900636,6.3165441080292295
0.7094117647058824,23.259302456224255,0.07933819806693852,64.3420525767668,2.565586207768864,60.126700421128724,0.026051026379782627,1.5663622588001116,48.47630171237119,1.956241143749003,7.486298958891487,8.362501021482876
0.6870588235294117,29.253802023557526,0.0723849168423222,74.80921136598735,2.832121552061953,80.88038350150694,0.026396807646045545,2.134983925627674,56.279859604439324,2.159472438488026,10.070313630403419,11.398260624963976
0.6647058823529411,37.36506520538833,0.06563488206140904,88.08033835544842,3.15715309247005,112.04551056269055,0.026763360462727342,2.998714387419611,65.89430336821991,2.407306664614221,13.95064394352124,16.00954823001262
0.6423529411764706,48.545187856347354,0.05911021412641122,105.1608239488229,3.556802649223508,160.20897487197394,0.02713178208228506,4.34675499385268,77.82795648312201,2.7120365948090286,19.947415597208913,23.206472750482384
0.62,64.27227894644832,0.05283376100124786,127.51088979361785,4.052819629239327,237.0169268033143,0.02745951192601659,6.50836912822341,92.73755679647853,3.090245996374571,29.510675954933802,34.74690683919331
