metric,mean,standard_deviation,standard_error,ci95_low,ci95_high,block_count,temperature,independent_replicate_count,independence_class,maximum_absolute_initial_fs,thermodynamic_claim_allowed
diffusion,0.0009511336796820766,2.2780301261408952e-05,1.0187660433686925e-05,0.0009311658652320503,0.000971101494132103,5.0,0.58,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.03039136139820301,0.0
alpha_relaxation_time,16.820378786626502,0.44762901214604023,0.200185779971925,16.42801465788153,17.212742915371475,5.0,0.58,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.03039136139820301,0.0
diffusion_alpha_product,0.015994735713949312,0.0004231001482827399,0.00018921613857008946,0.015623872082351936,0.016365599345546687,5.0,0.58,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.03039136139820301,0.0
ngp_peak,0.546223208873025,0.013441593533842056,0.006011263373518491,0.5344411326609287,0.5580052850851213,5.0,0.58,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.03039136139820301,0.0
ngp_peak_time,16.0,0.0,0.0,16.0,16.0,5.0,0.58,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.03039136139820301,0.0
overlap_chi4_peak,5.259746374637116,0.9670426793351331,0.4324746336273777,4.412096092727456,6.107396656546776,5.0,0.58,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.03039136139820301,0.0
overlap_chi4_peak_time,22.4,8.763560920082657,3.9191835884530843,14.718400166631953,30.081599833368045,5.0,0.58,5.0,decorrelated_parent_frames_plus_velocity_seeds,0.03039136139820301,0.0
