model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_base_seed,calibration_path_used_in_kernel,heldout_path_used_in_prediction,heldout_events_used_in_calibration,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
radial_recoil_markov_surrogate,1.0,0.0,0.45,20.0,20.0,1.0,819250.0,0.03931148910112025,0.039439034265083064,0.0032339829394791852,0.6707058833542598,0.6894572448102572,0.018751361455997317,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743489153713822,0.9742726065504118,7.630882097042768e-05,0.9033522283939887,0.9031194881740169,0.00023274021997177208,0.7277291127936705,0.7273620752980499,0.0003670374956206146
radial_recoil_markov_surrogate,1.0,0.0,0.45,100.0,20.0,5.0,806142.0,0.09567947266829632,0.0570676716703697,0.6765967467702803,0.4643604402650974,1.6297339342658397,1.1653734940007423,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9390433868017677,0.9637263303218477,0.024682943520080047,0.784411885832406,0.8712844740845151,0.0868725882521092,0.47629732315847567,0.6701586799370863,0.19386135677861066
radial_recoil_markov_surrogate,1.0,0.0,0.45,200.0,20.0,10.0,789757.0,0.1740917781626624,0.07543971565197483,1.307693986623677,0.30411242637561564,2.0528096750212144,1.7486972486455987,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921139362952837,0.9531991465279716,0.06108521023268787,0.6451592879489604,0.8424536039827798,0.19729431603381942,0.26604011531566113,0.6251232912663965,0.3590831759507354
radial_recoil_markov_surrogate,1.0,0.0,0.45,500.0,20.0,25.0,740602.0,0.41084462505707436,0.12726889615088294,2.2281620842377685,0.17825320943852896,2.240207131422164,2.061953921983635,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7652098371077328,0.9252086699236458,0.15999883281591298,0.3641570980516908,0.7741688168233672,0.41001171877167647,0.051482543001856236,0.533395281820343,0.4819127388184868
radial_recoil_markov_surrogate,1.0,0.0,0.45,1000.0,20.0,50.0,658677.0,0.8076294322012946,0.21371648432894896,2.7789758461411167,0.13188088929219877,2.035011317785304,1.9031304284931054,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5945014436364708,0.8825336715723144,0.2880322279358436,0.14713511942980464,0.6840225543370759,0.5368874349072713,0.004180664487269414,0.43196745142274323,0.42778678693547384
radial_recoil_markov_surrogate,1.0,0.0,0.45,2000.0,20.0,100.0,494827.0,1.59533587253369,0.38494087781746295,3.1443659649214766,0.11718663451955225,1.5320813966552245,1.4148947621356722,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3676210182323467,0.8061233874084176,0.4385023691760709,0.029167716636558857,0.5436221107653332,0.5144543941287744,-0.0012476999403778946,0.29754222992878293,0.2987899298691608
radial_recoil_markov_surrogate,1.0,0.0,0.45,3000.0,20.0,150.0,330977.0,2.3745546197438867,0.5507382500974113,3.311584712563345,0.10286519473379285,1.3301724324025965,1.2273072376688037,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2314967836836696,0.7425593344166428,0.5110625507329731,0.006246816220376009,0.44897180267658227,0.4427249864562063,0.0018759156333007377,0.22221602781950803,0.22034011218620728
radial_recoil_markov_surrogate,1.0,1.0,0.45,20.0,20.0,1.0,819250.0,0.03929365362585388,0.039439034265083064,0.003686211945557072,0.6640691524891367,0.6894572448102572,0.025388092321120492,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974358545319986,0.9742726065504118,8.593876957418978e-05,0.903383988993907,0.9031194881740169,0.0002645008198901566,0.7279217144650101,0.7273620752980499,0.0005596391669602241
radial_recoil_markov_surrogate,1.0,1.0,0.45,100.0,20.0,5.0,806142.0,0.09578932055120341,0.0570676716703697,0.6785216173614896,0.45238787739567,1.6297339342658397,1.1773460568701697,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9389608275826968,0.9637263303218477,0.024765502739150902,0.7841390722518872,0.8712844740845151,0.08714540183262798,0.47602333231316396,0.6701586799370863,0.19413534762392237
radial_recoil_markov_surrogate,1.0,1.0,0.45,200.0,20.0,10.0,789757.0,0.17467401006060637,0.07543971565197483,1.3154118298434208,0.3007765202864574,2.0528096750212144,1.752033154734757,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8917835527206113,0.9531991465279716,0.06141559380736028,0.6444795069381358,0.8424536039827798,0.19797409704464397,0.26633190087064124,0.6251232912663965,0.3587913903957553
radial_recoil_markov_surrogate,1.0,1.0,0.45,500.0,20.0,25.0,740602.0,0.4142058486046929,0.12726889615088294,2.254572492823647,0.18828580434927744,2.240207131422164,2.0519213270728867,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7637565339129648,0.9252086699236458,0.16145213601068098,0.36159625342035834,0.7741688168233672,0.4125725634030089,0.05065065974647723,0.533395281820343,0.4827446220738658
radial_recoil_markov_surrogate,1.0,1.0,0.45,1000.0,20.0,50.0,658677.0,0.8148366700709178,0.21371648432894896,2.8126992058166853,0.14337363897608557,2.035011317785304,1.8916376788092186,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5923858665359667,0.8825336715723144,0.29014780503634774,0.14718264517117663,0.6840225543370759,0.5368399091658993,0.005295809835759541,0.43196745142274323,0.4266716415869837
radial_recoil_markov_surrogate,1.0,1.0,0.45,2000.0,20.0,100.0,494827.0,1.6066128671527409,0.38494087781746295,3.1736613587569904,0.1210418177613104,1.5320813966552245,1.411039578893914,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365548203296423,0.8061233874084176,0.4405751841119946,0.02979148138668591,0.5436221107653332,0.5138306293786473,0.0018617582900451741,0.29754222992878293,0.29568047163873773
radial_recoil_markov_surrogate,1.0,1.0,0.45,3000.0,20.0,150.0,330977.0,2.394668471995459,0.5507382500974113,3.3481063310418415,0.11749753255161455,1.3301724324025965,1.212674899850982,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23232179059970873,0.7425593344166428,0.5102375438169341,0.006933399752098983,0.44897180267658227,0.44203840292448326,-0.0004091074579291942,0.22221602781950803,0.2226251352774372
radial_recoil_markov_surrogate,1.0,2.0,0.45,20.0,20.0,1.0,819250.0,0.03926316789099184,0.039439034265083064,0.004459195752846479,0.6588022696477116,0.6894572448102572,0.03065497516254556,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743767057762805,0.9742726065504118,0.00010409922586873677,0.9034224362643378,0.9031194881740169,0.0003029480903209425,0.7278232041160343,0.7273620752980499,0.0004611288179844353
radial_recoil_markov_surrogate,1.0,2.0,0.45,100.0,20.0,5.0,806142.0,0.09558327526131773,0.0570676716703697,0.6749110742316451,0.47765142880674194,1.6297339342658397,1.1520825054590977,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9391268309113016,0.9637263303218477,0.024599499410546177,0.784786578338199,0.8712844740845151,0.08649789574631617,0.47734671055722283,0.6701586799370863,0.1928119693798635
radial_recoil_markov_surrogate,1.0,2.0,0.45,200.0,20.0,10.0,789757.0,0.17430227090197278,0.07543971565197483,1.3104841978206738,0.3378758286892265,2.0528096750212144,1.7149338463319879,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921431505130396,0.9531991465279716,0.061055996014931946,0.645742857481925,0.8424536039827798,0.19671074650085485,0.2672870064095442,0.6251232912663965,0.3578362848568523
radial_recoil_markov_surrogate,1.0,2.0,0.45,500.0,20.0,25.0,740602.0,0.41022874758383,0.12726889615088294,2.2233229012804947,0.23398563005540685,2.240207131422164,2.006221501366757,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766209717277989,0.9252086699236458,0.15899895264565678,0.36735482505531736,0.7741688168233672,0.4068139917680499,0.05394276436508575,0.533395281820343,0.47945251745525724
radial_recoil_markov_surrogate,1.0,2.0,0.45,1000.0,20.0,50.0,658677.0,0.8045557108654053,0.21371648432894896,2.7645936081703746,0.19020062902166157,2.035011317785304,1.8448106887636426,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5970960483085965,0.8825336715723144,0.2854376232637179,0.15184535072938543,0.6840225543370759,0.5321772036076905,0.004895674864223181,0.43196745142274323,0.4270717765585201
radial_recoil_markov_surrogate,1.0,2.0,0.45,2000.0,20.0,100.0,494827.0,1.5974314977960895,0.38494087781746295,3.1498099834270743,0.17581489242463566,1.5320813966552245,1.3562665042305888,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36952328437697074,0.8061233874084176,0.43660010303144686,0.035158182474431324,0.5436221107653332,0.5084639282909018,-0.0011514540122919748,0.29754222992878293,0.29869368394107493
radial_recoil_markov_surrogate,1.0,2.0,0.45,3000.0,20.0,150.0,330977.0,2.3933319594444136,0.5507382500974113,3.345679565603252,0.15510538757771775,1.3301724324025965,1.1750670448248788,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2365083378432206,0.7425593344166428,0.5060509965734222,0.010960832510137753,0.44897180267658227,0.4380109701664445,0.0013895106627463162,0.22221602781950803,0.22082651715676171
radial_recoil_markov_surrogate,1.0,3.0,0.45,20.0,20.0,1.0,819250.0,0.039338385372031964,0.039439034265083064,0.002552012109997559,0.6805728009415384,0.6894572448102572,0.008884443868718783,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743351082254719,0.9742726065504118,6.2501675060056e-05,0.9033133267347642,0.9031194881740169,0.00019383856074728367,0.7276469282045639,0.7273620752980499,0.0002848529065140326
radial_recoil_markov_surrogate,1.0,3.0,0.45,100.0,20.0,5.0,806142.0,0.09623710276317145,0.0570676716703697,0.6863681300868465,0.47917822826414036,1.6297339342658397,1.1505557060016993,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9387326413444078,0.9637263303218477,0.02499368897743992,0.7836075009789305,0.8712844740845151,0.08767697310558464,0.4753128874723168,0.6701586799370863,0.19484579246476952
radial_recoil_markov_surrogate,1.0,3.0,0.45,200.0,20.0,10.0,789757.0,0.1757657048645304,0.07543971565197483,1.3298829183740337,0.31826369859258596,2.0528096750212144,1.7345459764286284,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8912570801167418,0.9531991465279716,0.06194206641122979,0.643329867651692,0.8424536039827798,0.19912373633108782,0.26451495132369834,0.6251232912663965,0.3606083399426982
radial_recoil_markov_surrogate,1.0,3.0,0.45,500.0,20.0,25.0,740602.0,0.4152162731984736,0.12726889615088294,2.2625117821892338,0.18737609418885293,2.240207131422164,2.052831037233311,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7633601489214487,0.9252086699236458,0.16184852100219715,0.3611373244568386,0.7741688168233672,0.41303149236652864,0.049683998555142966,0.533395281820343,0.4837112832652001
radial_recoil_markov_surrogate,1.0,3.0,0.45,1000.0,20.0,50.0,658677.0,0.8105997427008738,0.21371648432894896,2.7928742148556576,0.14266406827596678,2.035011317785304,1.8923472495093374,16.0,781031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5938806563855622,0.8825336715723144,0.28865301518675224,0.14730680221339185,0.6840225543370759,0.536715752123684,0.004977826450987966,0.43196745142274323,0.42698962497175524
