parent_group,clone_index,target_slot,a_particle_index,source_trajectory,parent_restart_sha256,first_passage_tau,escaped_within_horizon,log_u_squared,log_p_squared,cos_u_p,log_gram_eigenvalue_1,log_gram_eigenvalue_2,log_gram_eigenvalue_3,log_b_squared,cos_u_b,cos_p_b,geometry_heldout_rate,kinematic_heldout_rate,full_heldout_rate,geometry_heldout_event_probability,kinematic_heldout_event_probability,full_heldout_event_probability,thermodynamic_claim_allowed
1,1,0,128,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,10.4,True,-6.814717229324512,-1.8443504563018704,0.813975440365721,-1.352528888043364,-0.8416566251065429,-0.7057264199431342,6.056003419976688,0.5305072621530359,0.4139530767434048,0.049724170459156156,0.051070919406038445,0.05499704482128283,0.6300855103778876,0.6399161608509749,0.6671092418496688,False
1,1,1,134,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,7.45,True,-7.549088297651775,-0.3075856331193135,-0.7532919244914447,-1.3013017551949846,-1.0651517253474145,-0.8290852305350112,7.729650737819463,0.9360464079202884,-0.4788411141050142,0.04841890910949049,0.047380638210195704,0.050015229260949055,0.6203016594545032,0.6123346316548666,0.6322325924059535,False
1,1,2,236,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,20.0,False,-6.613689371599182,-2.072220169777637,-0.5584719118789416,-1.5415608193473194,-1.3181906254260565,-0.6711150074334359,5.387090552730422,-0.5219549721179361,-0.060027523361109024,0.04044863957065212,0.04019020187881345,0.039760113069881114,0.5546847369734171,0.5523770532121012,0.5485100932927256,False
1,1,3,294,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,20.0,False,-6.914569397237415,0.15214983271596783,-0.7006634677825544,-1.321264241246077,-1.153206104148116,-0.7441078634642778,8.123340795485607,-0.4561337842852946,0.695091596166913,0.04836847579523458,0.047236928158996695,0.046158151898863874,0.6199184773209178,0.6112188006630772,0.602739498323845,False
1,1,4,364,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,20.0,False,-6.382219815416956,-5.287784835182128,-0.6008039250932306,-1.3078317618237427,-1.1162039661317418,-0.6253627140801201,6.364536934825649,-0.7520489509601561,-0.057270522287313906,0.05008996615006332,0.05084870991972775,0.04922902474353093,0.6327818976092835,0.6383123187028205,0.6264040805277636,False
1,1,5,419,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,13.350000000000001,True,-5.027474400316381,-2.809736789486682,-0.5396417926994594,-1.2813248101898218,-1.0754016723704765,-0.579924085000332,7.28319837365043,-0.9356854558196851,0.21002965232313867,0.05512072988560572,0.055103604870683,0.05285747022263708,0.667931696473428,0.6678179435012613,0.6525551753094466,False
1,1,6,422,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,18.0,True,-5.490904908957275,0.3765871357128622,-0.31398717216027044,-0.9652158428740762,-0.6991612496647961,-0.541227800702953,8.498180997547523,-0.1760188046193132,-0.15058953634522024,0.07184829490645273,0.0708121488142481,0.07029492862856108,0.7623522867064767,0.7573761497466847,0.7548533246248592,False
1,1,7,451,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,20.0,False,-6.849259400968147,-0.16500390086217065,0.1998491955807251,-1.4259837523441097,-1.0320380634455353,-0.6443450316236726,8.693820544791546,0.7075455550647679,-0.28941171505134194,0.04539884987092205,0.04540168594385046,0.0471510155956721,0.5966606441931598,0.5966835215408947,0.6105502026297162,False
1,1,8,580,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,20.0,False,-7.6779506875384795,0.7458875481927902,0.5783874447363738,-1.39421123858192,-1.0463762299708905,-0.5918310557992127,7.805800420281978,0.44964334698780417,-0.46768323285503105,0.044156301204418116,0.0443230413474552,0.045355218410877425,0.5865116851670734,0.587888290552714,0.5963085248809609,False
1,1,9,682,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_canary_T058/clone_001/trajectory.lammpstrj,f6e235d87a9442c148a41b837a6ca5897707ff531e52dffe43e19a4d688408cc,14.15,True,-6.4508907417618975,-2.1067054668763,0.7380498692185526,-1.1325161339923364,-0.8072510376302735,-0.5820126484258407,7.526706530475809,-0.2186565364017622,0.4909950970759984,0.05943382367162204,0.061098201332212256,0.061755501017665734,0.6953758244346666,0.7053491039520854,0.7091972336153234,False
