replicate,temperature,block_size,count_value,heldout_probability,single_clock_probability,two_clock_probability,hmm_probability,poisson_probability
1.0,0.45,20.0,0.0,0.9201403722917303,0.9197828366586475,0.9197728106012754,0.9192801974301961,0.9044597679727134
1.0,0.45,20.0,1.0,0.060295392126945374,0.06472094274779118,0.0647434573907988,0.06431658429930978,0.09082354804005031
1.0,0.45,20.0,2.0,0.016083002746414405,0.011961597990957655,0.011950279813582598,0.013851212895464399,0.004560134773641025
1.0,0.45,20.0,3.0,0.0030051876716509,0.0026670643953905994,0.0026644509829948483,0.002248420073857295,0.00015263904279244278
1.0,0.45,20.0,4.0,0.0004247787610619469,0.0006455478268410782,0.0006458364216163544,0.00027444230720447644,3.831906052305734e-06
1.0,0.45,20.0,5.0,4.8825144949649066e-05,0.00016363965579175533,0.00016419374717004828,2.6800124900535343e-05,7.695805070614241e-08
1.0,0.45,20.0,6.0,2.4412572474824533e-06,4.2729548471141134e-05,4.306521335766292e-05,2.180930194139322e-06,1.287988598808304e-09
1.0,0.45,50.0,0.0,0.8458895331095514,0.8381226193903085,0.8378904741916332,0.8421547239800742,0.7779884213692482
1.0,0.45,50.0,1.0,0.08718339945071713,0.10802425516522002,0.10843000618027354,0.09435876412392974,0.19530904321264556
1.0,0.45,50.0,2.0,0.041367104058590176,0.0332432847756764,0.03316983840886015,0.042101171946237956,0.02451554631976612
1.0,0.45,50.0,3.0,0.01689655172413793,0.01221211955716487,0.01213826228949845,0.01572890896113035,0.002051490640919743
1.0,0.45,50.0,4.0,0.006130607262740311,0.0048502195652574956,0.004816923001888029,0.004433502129119398,0.00012875341818473034
1.0,0.45,50.0,5.0,0.0019102837961550198,0.002013081236252223,0.0020040949846834646,0.0009998730642146363,6.4645452876430955e-06
1.0,0.45,50.0,6.0,0.0004851998779371376,0.0008595311075833992,0.0008605586782842832,0.0001879156469267124,2.704804939367992e-07
1.0,0.45,50.0,7.0,0.00010680500457735734,0.0003743168477285087,0.000378100008353241,3.02715221931874e-05,9.7003438662098e-09
