count_window,window_count,complete_waiting_time_count,particles_with_complete_wait,complete_wait_particle_fraction,waiting_mean,waiting_cv2,waiting_lag1_correlation,log_waiting_lag1_correlation,shuffle_lag1_correlation_mean,shuffle_lag1_correlation_standard_deviation,actual_count_fano,sequence_shuffle_count_fano,particle_iid_count_fano,pooled_empirical_iid_count_fano,gamma_iid_count_fano,temporal_memory_excess_fraction,persistent_environment_excess_fraction,empirical_iid_relative_error,gamma_iid_relative_error,collective_covariance_ratio,replicate,temperature,threshold_scale,debye_waller_factor
50.0,100.0,119033.0,3116.0,0.9508696978944157,98.92702023808523,5.740247825664918,0.10581165192847602,0.0986263422411226,0.029600072075989674,0.002883303049940302,1.9850511785534333,1.9450411954919065,2.7395855481198548,1.8542541445569343,3.3316395692506795,0.02057024969664356,0.47745957918539084,0.06589101349609272,0.6783645707706871,7.912561756977604,1.0,0.45,0.9,0.028748489543795587
100.0,50.0,119033.0,3116.0,0.9508696978944157,98.92702023808523,5.740247825664918,0.10581165192847602,0.0986263422411226,0.02823779719886524,0.002947424538231981,2.696566471273812,2.5593218780835696,4.291935205942751,2.3550111954686805,3.7772597463393596,0.05362537411394763,0.8224691305930694,0.12666302850075373,0.4007664140966072,8.736031906874409,1.0,0.45,0.9,0.028748489543795587
200.0,25.0,119033.0,3116.0,0.9508696978944157,98.92702023808523,5.740247825664918,0.10581165192847602,0.0986263422411226,0.028283240009514987,0.0021969565839131313,3.8670092344130667,3.4451410108252203,7.115412750345049,2.9814713179796133,4.25561817513682,0.12245310780088947,1.3865440889657097,0.2289981385492761,0.10049340903183435,9.38414760959035,1.0,0.45,0.9,0.028748489543795587
500.0,10.0,119033.0,3116.0,0.9508696978944157,98.92702023808523,5.740247825664918,0.10581165192847602,0.0986263422411226,0.028900661499374924,0.0023716850254088084,6.298792162272161,5.208932334275401,14.915793115460772,3.9228004223461745,4.872567902216105,0.20922902392594955,2.8023329024064485,0.37721386556575887,0.22642821406280134,7.884804298373353,1.0,0.45,0.9,0.028748489543795587
1000.0,5.0,119033.0,3116.0,0.9508696978944157,98.92702023808523,5.740247825664918,0.10581165192847602,0.0986263422411226,0.029137672974669904,0.0025674076421497035,9.064537936039573,7.27747172870284,27.329617531166555,4.620281452829872,5.240563991351687,0.2455614084062221,4.915141276605014,0.49029046097759077,0.4218608793597961,8.977715752735765,1.0,0.45,0.9,0.028748489543795587
50.0,100.0,79155.0,3026.0,0.923405553860238,131.88362074410966,5.403559078650678,0.08356457519876494,0.09207384203943257,0.020744458217220346,0.003145026700821107,1.9477602571624604,1.919572314244887,3.9288435861343096,1.845916491534933,3.0215185613009723,0.014684491284018941,1.1283972509868865,0.052287628958964105,0.5512784749509092,8.128780297085482,1.0,0.45,1.0,0.03194276615977287
100.0,50.0,79155.0,3026.0,0.923405553860238,131.88362074410966,5.403559078650678,0.08356457519876494,0.09207384203943257,0.019461564451282016,0.002979021772315565,2.609743714392992,2.494776595134966,6.802750024181954,2.3223989547070865,3.4220190190333186,0.046083132045659614,1.9291909602327362,0.11010458923654876,0.3112471543318791,9.250686400040461,1.0,0.45,1.0,0.03194276615977287
200.0,25.0,79155.0,3026.0,0.923405553860238,131.88362074410966,5.403559078650678,0.08356457519876494,0.09207384203943257,0.02050266958248366,0.0028916641358722643,3.646766896859452,3.3026093063310507,12.315485760816694,2.9083445022865257,3.8576901503410723,0.10420778197065461,3.2345347159300832,0.2024868645179504,0.057838424952048495,9.718036971727521,1.0,0.45,1.0,0.03194276615977287
500.0,10.0,79155.0,3026.0,0.923405553860238,131.88362074410966,5.403559078650678,0.08356457519876494,0.09207384203943257,0.020499101658280054,0.0028493017666219532,5.679907262448385,4.857674471657424,28.253909311388057,3.7881130100819638,4.4497738534966995,0.16926469560452406,6.4585708600010125,0.33306780638368083,0.21657631931501342,8.780491468596226,1.0,0.45,1.0,0.03194276615977287
1000.0,5.0,79155.0,3026.0,0.923405553860238,131.88362074410966,5.403559078650678,0.08356457519876494,0.09207384203943257,0.02073888480401831,0.002935626018073919,7.927903795199562,6.608058808752995,54.35553446828986,4.422684666842396,4.822705489283563,0.1997326332353926,11.290167299469113,0.44213694047089935,0.3916796149565075,10.329341934580475,1.0,0.45,1.0,0.03194276615977287
50.0,100.0,54672.0,2907.0,0.8870918523039365,167.10070968685983,5.004849347673733,0.05588992607809876,0.07966602824901445,0.0072261854084344134,0.0029979333194235453,1.8865568388368739,1.869786353850822,6.441145146541906,1.8174369960082024,2.7342735895621813,0.00896919851378386,2.5440816714357433,0.036638091896179614,0.44934599015206644,7.794905508031261,1.0,0.45,1.1,0.035137042775750166
100.0,50.0,54672.0,2907.0,0.8870918523039365,167.10070968685983,5.004849347673733,0.05588992607809876,0.07966602824901445,0.007013051474490037,0.003129360565482854,2.4749486195412644,2.397555961041446,12.049877587042536,2.269915234966726,3.091338802514102,0.032279813175330796,4.308514345126712,0.08284349135803126,0.2490517088338935,8.475910009590422,1.0,0.45,1.1,0.035137042775750166
200.0,25.0,54672.0,2907.0,0.8870918523039365,167.10070968685983,5.004849347673733,0.05588992607809876,0.07966602824901445,0.006616866370356914,0.0022844804649349176,3.3654188719901925,3.121620897530365,23.09224247068756,2.8097950418025572,3.496313613613758,0.07809980214211953,7.218479329322639,0.1650979718489124,0.03889404160444343,9.073271749470052,1.0,0.45,1.1,0.035137042775750166
500.0,10.0,54672.0,2907.0,0.8870918523039365,167.10070968685983,5.004849347673733,0.05588992607809876,0.07966602824901445,0.006390760410224785,0.0035331012974517827,5.056495909031326,4.459885310032833,55.86405890722311,3.6182773141845623,4.0350062220608445,0.13377263259581462,14.43940777790079,0.28442989388718465,0.20201532945888778,8.204922083735285,1.0,0.45,1.1,0.035137042775750166
1000.0,5.0,54672.0,2907.0,0.8870918523039365,167.10070968685983,5.004849347673733,0.05588992607809876,0.07966602824901445,0.007740135726039547,0.003466687475533078,6.88261044818065,5.936285530051286,110.14590008757278,4.1848863585811085,4.418424655350261,0.15941364567771865,25.319926193866326,0.3919623389861703,0.3580306936420863,9.92917752861553,1.0,0.45,1.1,0.035137042775750166
50.0,100.0,118266.0,3142.0,0.9588037839487336,100.93036037407201,6.087216666677427,0.10017785800270058,0.09861846332599294,0.029287462549328777,0.0029173629249973454,1.9972346211428258,1.9587766054671412,3.231306659262276,1.8755038671658304,3.4680471500184016,0.01963369154417327,0.7229005579952592,0.06094965142720221,0.7364245108238565,9.051997427893802,2.0,0.45,0.9,0.028792192786931993
100.0,50.0,118266.0,3142.0,0.9588037839487336,100.93036037407201,6.087216666677427,0.10017785800270058,0.09861846332599294,0.029799169368700303,0.002513771002103067,2.7274062925565183,2.5832871441808947,5.307786424443879,2.3912847578995926,3.9394115036127544,0.05578905492572361,1.2196379611042323,0.12323852723162276,0.44438014767509015,9.90314142519904,2.0,0.45,0.9,0.028792192786931993
200.0,25.0,118266.0,3142.0,0.9588037839487336,100.93036037407201,6.087216666677427,0.10017785800270058,0.09861846332599294,0.029687619321648342,0.0022062304316474456,3.8915417679027153,3.4809313506528765,9.186001935271191,3.048919725428738,4.450826551664489,0.1179599296529723,2.012871037127571,0.2165265318295928,0.14371804727235182,11.742587578574215,2.0,0.45,0.9,0.028792192786931993
500.0,10.0,118266.0,3142.0,0.9588037839487336,100.93036037407201,6.087216666677427,0.10017785800270058,0.09861846332599294,0.02892627437501996,0.0030889259196116093,6.373261724098888,5.2578243856720555,20.118468362716143,4.056409391684496,5.119173049608442,0.21214807810365022,3.959674041766675,0.36352694000527186,0.1967734464361357,11.160076523894462,2.0,0.45,0.9,0.028792192786931993
1000.0,5.0,118266.0,3142.0,0.9588037839487336,100.93036037407201,6.087216666677427,0.10017785800270058,0.09861846332599294,0.028473439685187958,0.002161471415934421,8.993135557334794,7.302022287340884,37.69078408219612,4.786604156186094,5.511355017007828,0.2315951942416965,6.874222068997588,0.467749137587263,0.3871597973953844,15.09116383371183,2.0,0.45,0.9,0.028792192786931993
