temperature,model,segment_length,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se,segment_splice_base_seed,source_ensemble_directory,source_heldout_factorization,source_stationarity_control
0.45,cross_particle_segment_splice,2.0,500.0,3.0,0.5742142739938633,0.1262955126161884,3.546592844821798,0.0012781456011864685,0.07571473957611848,2.164410449673618,2.0886957100974994,0.0003140508455333395,0.0,0.0,0.0,0.0,0.0,0.685519378645307,0.9255414798411173,0.24002210119581036,7.035328605414739e-05,0.23250413356342703,0.7737458591055776,0.5412417255421506,0.00011007377597798329,0.011462743478058507,0.5291930232489127,0.5177302797708542,7.524687631994455e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,2.0,1000.0,3.0,1.131653378813776,0.2096882357573943,4.396837713504727,0.0023457425874593763,0.03898715468748817,1.9242521838872673,1.885265029199779,0.00038240014332793125,0.0,0.0,0.0,0.0,0.0,0.4752000412739326,0.8837103017827217,0.4085102605087891,0.00015305593796622488,0.056558464571275,0.6839386458670308,0.6273801812957558,0.00014000794448115265,0.00027571033954826556,0.4252107551608982,0.4249350448213499,7.8133614621541e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,2.0,2000.0,3.0,2.248308318075359,0.3804918087436149,4.908953271554728,0.004106159029890271,0.02019903136928709,1.444557669873739,1.424358638504452,0.0005573516690824679,0.0,0.0,0.0,0.0,0.0,0.22817346680083125,0.8061750197934496,0.5780015529926184,0.00028030587020831833,0.00308960628229281,0.5420765220261176,0.5389869157438247,0.00015975705955604524,-6.766776811430467e-05,0.2894792740466868,0.28954694181480106,9.29148932975617e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,2.0,3000.0,3.0,3.365874546468195,0.5428630069869955,5.200228240177039,0.005304483425282923,0.014277027917844812,1.188746539691488,1.1744695117736432,0.000693039920872998,0.0,0.0,0.0,0.0,0.0,0.10957488481718751,0.7409790220423944,0.6314041372252069,0.00033870813435011644,-2.8724817617898056e-05,0.44362214992805216,0.44365087474567005,0.00020751192652218348,-0.00016327360705307523,0.2129683136864647,0.21313158729351778,0.00010864596764704543,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,5.0,20.0,3.0,0.03920546825791093,0.03949186469853002,0.007252036408140317,1.5975766990671562e-18,0.6597200437066787,0.6751140847848851,0.01539404107820641,9.959101053058036e-18,0.0,0.0,0.0,0.0,0.0,0.9744123101212961,0.9742347768868321,0.00017753323446401126,1.0261469539034684e-17,0.9035299285874975,0.9029575283359126,0.0005724002515848925,8.324224743232072e-18,0.7279802454344745,0.7268548226920929,0.0011254227423815877,4.242937633568259e-18,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,5.0,100.0,3.0,0.08549783599234177,0.057100198209926144,0.49732993356718436,0.00015526785114757582,0.7142698385217808,1.591737265317109,0.8774674267953281,0.0003677828593038811,0.0,0.0,0.0,0.0,0.0,0.9456279348679598,0.9636844599785942,0.01805652511063438,5.238886326615504e-06,0.8080361320392395,0.87093838803019,0.06290225599095045,1.5609530518563032e-05,0.5289065502305821,0.6685948251395887,0.1396882749090066,2.8045520744159094e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,5.0,200.0,3.0,0.14251236882175716,0.07520056123369138,0.8950971440078657,0.0003537067550593728,0.5089498569757781,2.006542528897479,1.497592671921701,0.0005013367515981599,0.0,0.0,0.0,0.0,0.0,0.9113245832301068,0.9533016497076988,0.04197706647759203,1.5156324580721121e-05,0.7037836930070117,0.8424183294324846,0.1386346364254729,4.095522701669729e-05,0.3536894374525643,0.623679630548327,0.26999019309576267,5.6979341722340337e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,5.0,500.0,3.0,0.3135391913969084,0.1262955126161884,1.4825837822896593,0.0009800709184465601,0.26203686728033615,2.164410449673618,1.902373582393282,0.0005907138758096731,0.0,0.0,0.0,0.0,0.0,0.8157256137144936,0.9255414798411173,0.10981586612662375,6.223217832810053e-05,0.4651064335448125,0.7737458591055776,0.30863942556076507,0.0001222189566139484,0.1058460279409853,0.5291930232489127,0.4233469953079274,9.428671720995118e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,5.0,1000.0,3.0,0.5986084147367484,0.2096882357573943,1.8547544051509317,0.0017915539340729414,0.14361335041219966,1.9242521838872673,1.7806388334750676,0.000602200271997931,0.0,0.0,0.0,0.0,0.0,0.6781611448928956,0.8837103017827217,0.2055491568898261,0.00015357866196135842,0.23316185170380102,0.6839386458670308,0.4507767941632298,0.00019835151821261503,0.014030237394646622,0.4252107551608982,0.41118051776625153,0.0001089961505149615,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,5.0,2000.0,3.0,1.1688802159729568,0.3804918087436149,2.0720246510236393,0.0028863390035222857,0.07524772941747819,1.444557669873739,1.3693099404562608,0.0006506694641203354,0.0,0.0,0.0,0.0,0.0,0.46871444286811464,0.8061750197934496,0.337460576925335,0.0003137842075648546,0.058721023526485,0.5420765220261176,0.48335549849963255,0.00022488475063035863,0.00028404263442684496,0.2894792740466868,0.28919523141225995,0.00012218210531862465,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
